Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
711217,1947,3,,9.42035E-13,,
711308,1947,6,,9.17463E-13,,
711400,1947,9,,8.95622E-13,,
711492,1947,12,,9.12003E-13,,
711583,1948,3,,9.72066E-13,,
711674,1948,6,,9.80257E-13,,
711766,1948,9,,9.80257E-13,,
711858,1948,12,,9.91177E-13,,
711948,1949,3,,1.02121E-12,,
712039,1949,6,,1.02394E-12,,
712131,1949,9,,1.04032E-12,,
712223,1949,12,,1.10584E-12,,
712313,1950,3,,1.13041E-12,,
712404,1950,6,,1.11403E-12,,
712496,1950,9,,1.17955E-12,,
712588,1950,12,,1.25053E-12,,53.97
712678,1951,3,,1.32424E-12,,54.23790188
712769,1951,6,,1.37338E-12,,54.64395702
712861,1951,9,,1.34881E-12,,55.05757924
712953,1951,12,,1.39795E-12,,55.47129708
713044,1952,3,,1.48258E-12,,55.88473804
713135,1952,6,,1.49896E-12,,56.29757122
713227,1952,9,,1.53445E-12,,56.71699122
713319,1952,12,,1.57267E-12,,57.13826971
713409,1953,3,,1.63819E-12,,57.55937241
713500,1953,6,,1.67368E-12,,57.98467386
713592,1953,9,,1.77195E-12,,58.41932243
713684,1953,12,,1.88934E-12,,58.85428561
713774,1954,3,,2.02706E-12,,59.28566531
713865,1954,6,,2.18397E-12,,59.71880297
713957,1954,9,,2.27876E-12,,60.16020635
714049,1954,12,,2.3801E-12,,60.60189014
714139,1955,3,,2.46836E-12,,61.04041532
714230,1955,6,,2.53047E-12,,61.48046088
714322,1955,9,,2.61219E-12,,61.9290988
714414,1955,12,,2.70699E-12,,62.37891219
714505,1956,3,,2.8312E-12,,62.83041301
714596,1956,6,,2.98157E-12,,63.28343663
714688,1956,9,,3.19404E-12,,63.74413798
714780,1956,12,,3.36401E-12,,64.20535811
714870,1957,3,,3.52745E-12,,64.6631109
714961,1957,6,,3.50456E-12,,65.12240865
715053,1957,9,,3.52091E-12,,65.59104724
715145,1957,12,,3.57321E-12,,66.06170946
715235,1958,3,,3.69742E-12,,66.53158624
715326,1958,6,,3.8347E-12,,67.00539538
715418,1958,9,,4.02428E-12,,67.48997868
715510,1958,12,,4.40998E-12,,67.97653986
715600,1959,3,,4.93622E-12,,68.46127881
715691,1959,6,,5.26634E-12,,68.94947732
715783,1959,9,,5.66182E-12,,69.44887344
715875,1959,12,,6.15209E-12,,69.9510659
715966,1960,3,,6.51162E-12,,70.45639253
716057,1960,6,,6.75674E-12,,70.96467314
716149,1960,9,,7.15549E-12,,71.48328546
716241,1960,12,,7.99871E-12,30752.4382,72.00470078
716331,1961,3,,8.42359E-12,31294.12888,72.5251192
716422,1961,6,,9.10339E-12,31978.48167,73.050485
716514,1961,9,,9.83874E-12,32754.73357,73.58829495
716606,1961,12,,1.1633E-11,33397.14789,74.1285111
716696,1962,3,,1.29533E-11,33950.99845,74.66706134
716787,1962,6,,1.37735E-11,34533.83483,75.21026319
716879,1962,9,,1.52736E-11,35206.40789,75.76574566
716971,1962,12,,1.72219E-11,35601.35965,76.32296046
717061,1963,3,,2.11295E-11,35676.21239,76.87792381
717152,1963,6,,2.36656E-11,35671.52381,77.43750736
717244,1963,9,,2.68066E-11,35819.02763,78.00857501
717336,1963,12,,3.1326E-11,35814.96781,78.57908009
717427,1964,3,5.405545911,3.93408E-11,35880.80817,79.14795097
717518,1964,6,5.405545911,4.54013E-11,36036.89511,79.71599117
717610,1964,9,5.405545911,5.17582E-11,36286.26127,80.29181123
717702,1964,12,5.405545911,5.97143E-11,37032.67671,80.86719033
717792,1965,3,9.387749305,6.92057E-11,37251.61907,81.438051
717883,1965,6,9.387749305,7.54924E-11,38479.20138,82.01071737
717975,1965,9,9.387749305,7.97437E-11,37424.10752,82.59336659
718067,1965,12,9.387749305,8.37797E-11,37921.46095,83.17516563
718157,1966,3,9.387749305,9.42127E-11,38409.65367,83.75180312
718248,1966,6,9.387749305,1.035E-10,39146.67286,84.32990242
718340,1966,9,9.387749305,1.11548E-10,39977.27083,84.91761183
718432,1966,12,9.387749305,1.17474E-10,40462.19884,85.50382639
718522,1967,3,19.34325779,1.26627E-10,40725.81382,86.08407094
718613,1967,6,19.34325779,1.34367E-10,41194.65583,86.66504553
718705,1967,9,19.34325779,1.40985E-10,41804.36788,87.25509544
718797,1967,12,19.34325779,1.46707E-10,42161.61119,87.84323594
718888,1968,3,19.34325779,1.56325E-10,42921.31598,88.4291247
718979,1968,6,19.34325779,1.66344E-10,44069.20465,89.01275081
719071,1968,9,19.34325779,1.74974E-10,45273.04398,89.60321468
719163,1968,12,19.34325779,1.84004E-10,46293.44908,90.19256794
719253,1969,3,19.34325779,1.90976E-10,47146.51514,90.77705388
719344,1969,6,19.34325779,1.97884E-10,48343.15693,91.36303058
719436,1969,9,17.35215609,2.09985E-10,49507.66397,91.95840806
719528,1969,12,17.35215609,2.20071E-10,50691.32675,92.55163492
719618,1970,3,17.35215609,2.27909E-10,52008.35246,93.13782161
719709,1970,6,17.35215609,2.36847E-10,53409.8517,93.7236798
719801,1970,9,17.35215609,2.5114E-10,54804.0059,94.31830674
719893,1970,12,17.35215609,2.62205E-10,55963.22473,94.91140581
719983,1971,3,17.35215609,2.73058E-10,58896.49521,95.49900347
720074,1971,6,17.35215609,2.88528E-10,60146.12031,96.08743315
720166,1971,9,17.35215609,3.02337E-10,61277.27836,96.68504652
