Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,37.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,38.0276067085453,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,38.233542122136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,38.4398410618956,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,38.6426618885741,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,38.8412495685131,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,39.0349874612399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,39.2292485682896,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,39.4241674471732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,39.6195766734113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,39.8158104367817,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,40.016884868034,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,40.2208708691119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,40.4270587367386,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,40.6368991835577,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,40.8539563785992,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,41.075051735547,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,41.2990806936548,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,41.5285523453298,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,41.7665112694348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,42.0082959218619,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,42.2534626485031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,42.5022174733161,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,42.7590329220121,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,43.0210824182456,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714870,1957,3,NaN,NaN,NaN,43.2873255132126,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714961,1957,6,NaN,NaN,NaN,43.5610255666025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715053,1957,9,NaN,NaN,NaN,43.8450587720952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715145,1957,12,NaN,NaN,NaN,44.1329556064474,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715235,1958,3,NaN,NaN,NaN,44.4219392928314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715326,1958,6,NaN,NaN,NaN,44.7162344301495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715418,1958,9,NaN,NaN,NaN,45.0198383270827,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715510,1958,12,NaN,NaN,NaN,45.3266457935207,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715600,1959,3,NaN,NaN,NaN,45.6344271422879,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715691,1959,6,NaN,NaN,NaN,45.9474666281404,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715783,1959,9,NaN,NaN,NaN,46.2690847606589,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715875,1959,12,NaN,NaN,NaN,46.5918196887786,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715966,1960,3,NaN,NaN,NaN,46.9145865436054,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716057,1960,6,NaN,NaN,NaN,47.2381447719887,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716149,1960,9,NaN,NaN,NaN,47.5676764830065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716241,1960,12,NaN,NaN,NaN,47.8987152226629,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716331,1961,3,NaN,NaN,NaN,48.2290336719138,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716422,1961,6,NaN,NaN,NaN,48.5622377983027,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716514,1961,9,NaN,NaN,NaN,48.9030531650257,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716606,1961,12,NaN,NaN,NaN,49.2451261977507,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716696,1962,3,NaN,NaN,NaN,49.5855694766927,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716787,1962,6,NaN,NaN,NaN,49.9280495893451,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716879,1962,9,NaN,NaN,NaN,50.2783983642937,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716971,1962,12,NaN,NaN,NaN,50.6311816540444,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717061,1963,3,NaN,NaN,NaN,50.9840090368812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717152,1963,6,NaN,NaN,NaN,51.3401664867135,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717244,1963,9,NaN,NaN,NaN,51.705754611002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717336,1963,12,NaN,NaN,NaN,52.0752720938803,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717427,1964,3,NaN,NaN,NaN,52.4490650087283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717518,1964,6,NaN,NaN,NaN,52.8265320981439,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717610,1964,9,NaN,NaN,NaN,53.2140442875828,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717702,1964,12,NaN,NaN,NaN,53.6070895425917,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717792,1965,3,NaN,NaN,NaN,54.0033995524034,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717883,1965,6,NaN,NaN,NaN,54.4071613688227,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717975,1965,9,NaN,NaN,NaN,54.8242634397967,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718067,1965,12,NaN,NaN,NaN,55.2471716107429,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718157,1966,3,NaN,NaN,NaN,55.6730326023293,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718248,1966,6,NaN,NaN,NaN,56.1071991259512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718340,1966,9,NaN,NaN,NaN,56.5551519844979,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718432,1966,12,NaN,NaN,NaN,57.0076376282976,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718522,1967,3,NaN,NaN,NaN,57.4616540541311,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718613,1967,6,NaN,NaN,NaN,57.9240479887067,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718705,1967,9,NaN,NaN,NaN,58.3983560951572,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718797,1967,12,NaN,NaN,NaN,58.8719139810582,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718888,1968,3,NaN,NaN,NaN,59.3440965060123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
718979,1968,6,NaN,NaN,NaN,59.8186011283749,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719071,1968,9,NaN,NaN,NaN,60.2970187285716,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719163,1968,12,NaN,NaN,NaN,60.765595647438,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719253,1969,3,NaN,NaN,NaN,61.2186022246898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719344,1969,6,NaN,NaN,NaN,61.665913602973,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719436,1969,9,NaN,NaN,NaN,62.1106423951023,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719528,1969,12,NaN,NaN,NaN,62.5396896552278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719618,1970,3,NaN,NaN,NaN,62.9488058804615,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719709,1970,6,NaN,NaN,NaN,63.346919403881,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719801,1970,9,NaN,NaN,NaN,63.7373571964789,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719893,1970,12,NaN,NaN,NaN,64.1092279133396,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719983,1971,3,NaN,NaN,NaN,64.4587670104213,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720074,1971,6,NaN,NaN,NaN,64.7933374772824,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720166,1971,9,NaN,NaN,NaN,65.1186000471939,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720258,1971,12,6.2714209603278,NaN,NaN,65.4287731524458,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720349,1972,3,6.2714209603278,NaN,NaN,65.7236006641198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720440,1972,6,6.2714209603278,NaN,NaN,66.0032655698,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720532,1972,9,6.2714209603278,NaN,NaN,66.2757841329154,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720624,1972,12,6.2714209603278,NaN,667260.07821824,66.5415833245694,NaN,NaN,NaN,NaN,NaN,NaN,NaN
720714,1973,3,6.2714209603278,NaN,681629.213155815,66.7994715079825,NaN,NaN,NaN,8.61381365775406,NaN,NaN,NaN
720805,1973,6,6.2714209603278,NaN,689730.333276687,67.0484350465106,NaN,NaN,NaN,4.75397472086917,NaN,NaN,NaN
720897,1973,9,6.2714209603278,NaN,692136.445858633,67.2984171757073,NaN,NaN,NaN,1.39539322303858,NaN,NaN,NaN
720989,1973,12,6.2714209603278,NaN,689453.148419779,67.5528704197727,NaN,NaN,NaN,-1.55073321447503,3.32600000000009,NaN,NaN
721079,1974,3,6.2714209603278,NaN,704005.193498004,67.8131646798745,NaN,NaN,NaN,8.44265929400893,3.28272026936638,NaN,NaN
721170,1974,6,6.46956272336356,NaN,729903.664210686,68.0772496770496,NaN,NaN,NaN,14.7149316237283,5.82449821267801,NaN,NaN
721262,1974,9,6.86584624943507,NaN,741927.391085325,68.3528788700409,NaN,NaN,NaN,6.58921305054224,7.19380485229664,NaN,NaN
721354,1974,12,6.86584624943507,NaN,764195.100154869,68.6406213361401,NaN,NaN,NaN,12.0053306224316,10.8407586369571,NaN,NaN
721444,1975,3,6.86584624943507,NaN,770115.892652317,68.9422211267703,NaN,NaN,NaN,3.0990999530087,9.39065503562948,NaN,NaN
721535,1975,6,6.86584624943507,NaN,780350.03339859,69.2604113784772,NaN,NaN,NaN,5.31563669516072,6.91137360468753,NaN,NaN
721627,1975,9,6.86584624943507,NaN,771791.619328953,69.5987083221555,NaN,NaN,NaN,-4.38696159586914,4.0252224951476,NaN,NaN
721719,1975,12,6.86584624943507,NaN,760960.361638095,69.9499945748658,NaN,NaN,NaN,-5.61356584839632,-0.423287000416352,NaN,NaN
721810,1976,3,6.86584624943507,NaN,799431.407984488,70.3146221894783,NaN,NaN,NaN,20.2223654664894,3.80663684672274,NaN,NaN
721901,1976,6,6.92653862870787,NaN,817872.760039342,70.695333097234,NaN,NaN,NaN,9.22723419203544,4.80844813670763,NaN,NaN
721993,1976,9,6.92653862870787,NaN,824995.888538568,71.0962532136862,NaN,NaN,NaN,3.48373431529041,6.8936054599652,NaN,NaN
722085,1976,12,6.92653862870787,NaN,828769.306552819,71.5094816136912,NaN,NaN,NaN,1.82954512461197,8.91096939251274,NaN,NaN
722175,1977,3,6.92653862870787,NaN,842833.951111233,71.931858338952,NaN,NaN,NaN,6.78820725970837,5.42917662394203,NaN,NaN
722266,1977,6,6.92653862870787,NaN,850243.965257868,72.3712798520139,NaN,NaN,NaN,3.51671364774313,3.95797571458046,NaN,NaN
722358,1977,9,6.92653862870787,NaN,830578.772184451,72.8317083479155,NaN,NaN,NaN,-9.25155314331607,0.676716541675447,NaN,NaN
722450,1977,12,6.92653862870787,NaN,845334.704691992,73.3013348790021,NaN,NaN,NaN,7.10633741275768,1.99879484051779,NaN,NaN
722540,1978,3,6.92653862870787,NaN,859398.762188672,73.7758309568978,NaN,NaN,NaN,6.65490600048383,1.96537064692275,NaN,NaN
