Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,7.75
712678,1951,3,NaN,NaN,NaN,7.73962455626761
712769,1951,6,NaN,NaN,NaN,7.72515262217505
712861,1951,9,NaN,NaN,NaN,7.71255505827196
712953,1951,12,NaN,NaN,NaN,7.7027123414219
713044,1952,3,NaN,NaN,NaN,7.69524743221136
713135,1952,6,NaN,NaN,NaN,7.68853151737092
713227,1952,9,NaN,NaN,NaN,7.68317472001243
713319,1952,12,NaN,NaN,NaN,7.6803459333821
713409,1953,3,NaN,NaN,NaN,7.68
713500,1953,6,NaN,NaN,NaN,7.68
713592,1953,9,NaN,NaN,NaN,7.68
713684,1953,12,NaN,NaN,NaN,7.68
713774,1954,3,NaN,NaN,NaN,7.68091070961888
713865,1954,6,NaN,NaN,NaN,7.68463183894644
713957,1954,9,NaN,NaN,NaN,7.69057360126629
714049,1954,12,NaN,NaN,NaN,7.69758612400951
714139,1955,3,NaN,NaN,NaN,7.70578906349736
714230,1955,6,NaN,NaN,NaN,7.71722245308415
714322,1955,9,NaN,NaN,NaN,7.73100003141288
714414,1955,12,NaN,NaN,NaN,7.74530674111847
714505,1956,3,NaN,NaN,NaN,7.75924314170069
714596,1956,6,NaN,NaN,NaN,7.77365106203142
714688,1956,9,NaN,NaN,NaN,7.78887113322443
714780,1956,12,NaN,NaN,NaN,7.80462698392998
714870,1957,3,NaN,NaN,NaN,7.82079841092877
714961,1957,6,NaN,NaN,NaN,7.83767300171886
715053,1957,9,NaN,NaN,NaN,7.85546014641416
715145,1957,12,NaN,NaN,NaN,7.87377323268895
715235,1958,3,NaN,NaN,NaN,7.89257344843827
715326,1958,6,NaN,NaN,NaN,7.9122826449184
715418,1958,9,NaN,NaN,NaN,7.93278907589128
715510,1958,12,NaN,NaN,NaN,7.95322544880958
715600,1959,3,NaN,NaN,NaN,7.97315339463792
715691,1959,6,NaN,NaN,NaN,7.99303365547725
715783,1959,9,NaN,NaN,NaN,8.01320291429988
715875,1959,12,NaN,NaN,NaN,8.03328535916616
715966,1960,3,NaN,NaN,NaN,8.05326961348036
716057,1960,6,NaN,NaN,NaN,8.07315547148555
716149,1960,9,NaN,NaN,NaN,8.09325289939879
716241,1960,12,NaN,NaN,NaN,8.11329117406717
716331,1961,3,NaN,NaN,NaN,8.13313884552722
716422,1961,6,NaN,NaN,NaN,8.15300764946874
716514,1961,9,NaN,NaN,NaN,8.17317904859096
716606,1961,12,NaN,NaN,NaN,8.19327744991072
716696,1962,3,NaN,NaN,NaN,8.21328279811822
716787,1962,6,NaN,NaN,NaN,8.23355058178377
716879,1962,9,NaN,NaN,NaN,8.25395266130443
716971,1962,12,NaN,NaN,NaN,8.27361106879248
717061,1963,3,NaN,NaN,NaN,8.29189874896062
717152,1963,6,NaN,NaN,NaN,8.30909051230986
717244,1963,9,NaN,NaN,NaN,8.32623142065997
717336,1963,12,NaN,NaN,NaN,8.34388029446732
717427,1964,3,NaN,NaN,NaN,8.36268990692433
717518,1964,6,NaN,NaN,NaN,8.38241588955104
717610,1964,9,NaN,NaN,NaN,8.40285611505243
717702,1964,12,NaN,NaN,NaN,8.42323832099936
717792,1965,3,NaN,NaN,NaN,8.44313884552722
717883,1965,6,NaN,NaN,NaN,8.46300764946874
717975,1965,9,NaN,NaN,NaN,8.48317904859096
718067,1965,12,NaN,NaN,NaN,8.50327744991072
718157,1966,3,NaN,NaN,NaN,8.52315068493151
718248,1966,6,NaN,NaN,NaN,8.54302283105023
718340,1966,9,NaN,NaN,NaN,8.56318721461187
718432,1966,12,NaN,NaN,NaN,8.58327853881279
718522,1967,3,NaN,NaN,NaN,8.60315339463792
718613,1967,6,NaN,NaN,NaN,8.62303365547725
718705,1967,9,NaN,NaN,NaN,8.64320291429988
718797,1967,12,NaN,NaN,NaN,8.66328535916616
718888,1968,3,NaN,NaN,NaN,8.68315116001611
718979,1968,6,NaN,NaN,NaN,8.70268732688284
719071,1968,9,NaN,NaN,NaN,8.72257716335637
719163,1968,12,NaN,NaN,NaN,8.74299819393985
719253,1969,3,NaN,NaN,NaN,8.7644871777271
719344,1969,6,NaN,NaN,NaN,8.78751246116411
719436,1969,9,NaN,NaN,NaN,8.8110460342042
719528,1969,12,NaN,NaN,NaN,8.83308588882936
719618,1970,3,NaN,NaN,NaN,8.85233827889841
719709,1970,6,NaN,NaN,NaN,8.86964756314963
719801,1970,9,NaN,NaN,NaN,8.88652224326786
719893,1970,12,NaN,NaN,NaN,8.90391485851547
719983,1971,3,NaN,NaN,NaN,8.92270820297763
720074,1971,6,NaN,NaN,NaN,8.94282094702709
720166,1971,9,NaN,NaN,NaN,8.96356982623895
720258,1971,12,NaN,NaN,NaN,8.98356462709564
720349,1972,3,NaN,NaN,NaN,9.00225364823459
720440,1972,6,NaN,NaN,NaN,9.02019382483531
720532,1972,9,NaN,NaN,NaN,9.03771672476226
720624,1972,12,NaN,NaN,NaN,9.05451129650162
720714,1973,3,NaN,NaN,NaN,9.07023914394105
