Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
711217,1947,3,NaN,9.42056649782716e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
711308,1947,6,NaN,9.17485027197384e-13,NaN,NaN,NaN,-10.4331825866308,NaN,NaN,NaN,NaN,NaN
711400,1947,9,NaN,8.95643205673646e-13,NaN,NaN,NaN,-9.52247540887197,NaN,NaN,NaN,NaN,NaN
711492,1947,12,NaN,9.12024573660087e-13,NaN,NaN,NaN,7.31602400718037,NaN,NaN,NaN,NaN,NaN
711583,1948,3,NaN,9.72088786301482e-13,NaN,NaN,NaN,26.3432430994039,3.18793318063118,NaN,NaN,NaN,NaN
711674,1948,6,NaN,9.80279513574063e-13,NaN,NaN,NaN,3.37036179740096,6.84419739998319,NaN,NaN,NaN,NaN
711766,1948,9,NaN,9.80279513574063e-13,NaN,NaN,NaN,0,9.44977948409252,NaN,NaN,NaN,NaN
711858,1948,12,NaN,9.91200063003977e-13,NaN,NaN,NaN,4.4560961557172,8.68128903875333,NaN,NaN,NaN,NaN
711948,1949,3,NaN,1.02123199741269e-12,NaN,NaN,NaN,12.1194239305003,5.05542413447446,NaN,NaN,NaN,NaN
712039,1949,6,NaN,1.02396206532102e-12,NaN,NaN,NaN,1.06932329392276,4.45613227065114,NaN,NaN,NaN,NaN
712131,1949,9,NaN,1.04034311569003e-12,NaN,NaN,NaN,6.3990848582356,6.12719140655858,NaN,NaN,NaN,NaN
712223,1949,12,NaN,1.10586647125148e-12,NaN,NaN,NaN,25.1929789598304,11.5684423889154,NaN,NaN,NaN,NaN
712313,1950,3,NaN,1.13043767551321e-12,NaN,NaN,NaN,8.88758449613522,10.69352295827,NaN,NaN,NaN,NaN
712404,1950,6,NaN,1.1140568305573e-12,NaN,NaN,NaN,-5.7962841510822,8.79864286847763,NaN,NaN,NaN,NaN
712496,1950,9,NaN,1.17957975811278e-12,NaN,NaN,NaN,23.5258833331506,13.3837231508377,NaN,NaN,NaN,NaN
712588,1950,12,NaN,1.25056242823464e-12,NaN,53.97,NaN,24.0704944735342,13.0843967824986,NaN,NaN,NaN,NaN
