Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,,,,6.6
712678,1951,3,,,,6.620735301
712769,1951,6,,,,6.652536982
712861,1951,9,,,,6.685405513
712953,1951,12,,,,6.718740832
713044,1952,3,,,,6.752536716
713135,1952,6,,,,6.786822794
713227,1952,9,,,,6.822113594
713319,1952,12,,,,6.857907607
713409,1953,3,,,,6.894075789
713500,1953,6,,,,6.93117184
713592,1953,9,,,,6.969324779
713684,1953,12,,,,7.007343756
713774,1954,3,,,,7.044657534
713865,1954,6,,,,7.081917808
713957,1954,9,,,,7.119726027
714049,1954,12,,,,7.15739726
714139,1955,3,,,,7.194542805
714230,1955,6,,,,7.231459502
714322,1955,9,,,,7.269061303
714414,1955,12,,,,7.307108487
714505,1956,3,,,,7.345978238
714596,1956,6,,,,7.385595241
714688,1956,9,,,,7.426121826
714780,1956,12,,,,7.466531202
714870,1957,3,,,,7.506277691
714961,1957,6,,,,7.546015299
715053,1957,9,,,,7.586358097
715145,1957,12,,,,7.6265549
715235,1958,3,,9.3951E-05,,7.666181267
715326,1958,6,,9.86485E-05,,7.705565889
715418,1958,9,,0.000103346,,7.745678569
715510,1958,12,,0.000108044,,7.786254778
715600,1959,3,,0.000112741,,7.827520953
715691,1959,6,,0.000117439,,7.869991078
715783,1959,9,,0.000122136,,7.913410621
715875,1959,12,,0.000126834,,7.956001146
715966,1960,3,4.742638467,0.000131531,,7.99694414
716057,1960,6,4.742638467,0.000136229,,8.036500887
716149,1960,9,4.588830564,0.000140926,,8.076170249
716241,1960,12,4.544926203,0.000145624,,8.116328526
716331,1961,3,4.533777693,0.000150322,,8.157242441
716422,1961,6,4.50835909,0.000155019,,8.198946019
716514,1961,9,4.514156315,0.000159717,,8.241923995
716606,1961,12,4.525304825,0.000164414,5243.484846,8.285360486
716696,1962,3,4.502561865,0.000169112,5292.275293,8.329159815
716787,1962,6,4.503453745,0.000173809,5332.896758,8.374096521
716879,1962,9,4.553399071,0.000178507,5383.300346,8.420025423
716971,1962,12,4.564547581,0.000183204,5465.36134,8.465146172
717061,1963,3,4.499886222,0.000188876,5565.646835,8.508476661
717152,1963,6,4.522629183,0.000195035,5666.013043,8.550870616
717244,1963,9,4.569898866,0.000201194,5740.631618,8.593418784
717336,1963,12,4.564101641,0.000207353,5790.590103,8.635779738
717427,1964,3,4.569898866,0.000213512,5842.459477,8.678197929
717518,1964,6,4.581493317,0.000219671,5887.184208,8.720455377
717610,1964,9,4.586844602,0.00022583,5922.737539,8.763162411
717702,1964,12,4.630992702,0.000231989,5930.412089,8.805743745
717792,1965,3,4.630992702,0.000238148,5923.427179,8.848047656
717883,1965,6,4.681383968,0.000244307,5895.073886,8.890651014
717975,1965,9,4.653289722,0.000250466,5918.671448,8.93374483
718067,1965,12,4.75335083,0.000256625,5978.400341,8.976035775
718157,1966,3,5.012061697,0.000262784,6160.989413,9.01682613
718248,1966,6,5.231667549,0.000268943,6316.687786,9.056718559
718340,1966,9,5.504032111,0.000275102,6469.430466,9.096736374
718432,1966,12,5.512367237,0.000215565,6652.975462,9.136605341
718522,1967,3,5.209232786,0.000282288,6719.179975,9.176306789
718613,1967,6,5.097577228,0.000297685,6790.794464,9.216067311
718705,1967,9,5.153319779,0.000313083,6854.987061,9.256405829
718797,1967,12,5.367266147,0.00032848,6884.73302,9.296570718
718888,1968,3,5.412030645,0.000343878,6980.719626,9.336539227
718979,1968,6,5.723362479,0.000359275,7016.62408,9.376310943
719071,1968,9,5.606217894,0.000382738,7116.324553,9.416505799
719163,1968,12,5.682027763,0.000422332,7131.312799,9.456582348
719253,1969,3,6.148579574,0.000460326,7252.078387,9.496405543
719344,1969,6,6.632214862,0.000487122,7326.445845,9.536526025
719436,1969,9,7.069026408,0.000512317,7366.342797,9.577098852
719528,1969,12,6.957095366,0.000537513,7410.886163,9.616876703
719618,1970,3,6.737522228,0.000567509,7417.716266,9.655061376
719709,1970,6,6.581548113,0.000607102,7511.72255,9.692110542
719801,1970,9,6.473906018,0.000646696,7560.543171,9.729392784
719893,1970,12,6.006462326,0.000686289,7548.756043,9.767143736
719983,1971,3,5.300958769,0.000725883,7704.082504,9.805748173
720074,1971,6,5.342844452,0.000759611,7929.030035,9.845351002
720166,1971,9,5.651500644,0.000790406,8130.252423,9.886020533
720258,1971,12,5.211737972,0.000821201,8251.977294,9.926519341
720349,1972,3,4.876154899,0.000923851,8249.233892,9.966417181
720440,1972,6,4.961808172,0.001048832,8335.943539,10.0058286
720532,1972,9,5.181997707,0.001411092,8306.141177,10.04580957
720624,1972,12,5.351212293,0.002150235,8170.967509,10.08628048
720714,1973,3,5.743397083,0.002687794,8132.083001,10.12749037
720805,1973,6,6.265278219,0.003695716,7854.959077,10.16993641
720897,1973,9,7.471395515,0.005812354,7566.644301,10.21336045
720989,1973,12,7.37332134,0.013371774,7745.145791,10.25598452
721079,1974,3,7.037154585,0.019587297,7761.059918,10.29682613
721170,1974,6,8.307316843,0.029733718,7833.220291,10.33671856
721262,1974,9,8.760936382,0.043038297,7814.225599,10.37673637
721354,1974,12,7.864878529,0.062188828,7863.897961,10.41660534
721444,1975,3,6.929414768,0.090713039,7608.158436,10.45618674
721535,1975,6,7.277228444,0.153473022,7267.634303,10.49558774
721627,1975,9,7.185732127,0.215258681,6783.072886,10.53571027
721719,1975,12,6.218202154,0.274322948,6873.547563,10.57626855
721810,1976,3,6.140480863,0.363020141,6888.092523,10.61776768
721901,1976,6,6.49356046,0.504868456,6879.312118,10.66025355
721993,1976,9,5.795443298,0.649270174,6966.394933,10.70351895
722085,1976,12,5.703613505,0.771564789,7129.1561,10.74601345
722175,1977,3,5.31740985,0.906626424,7292.852824,10.78668212
722266,1977,6,5.091554441,1.042427202,7491.407839,10.82620813
722358,1977,9,5.183375056,1.160320555,7781.420155,10.86602403
722450,1977,12,5.771589394,1.283959067,7898.840097,10.90630084
722540,1978,3,5.612969682,1.378703796,7995.282554,10.94751526
722631,1978,6,5.694736442,1.483830128,8294.703228,10.98996832
722723,1978,9,6.044525346,1.596448685,8362.721075,11.03337762
722815,1978,12,7.086367083,1.695393092,8519.999161,11.07598681
722905,1979,3,7.208130934,1.794001525,8702.790335,11.1167115
722996,1979,6,6.806173266,1.932490097,8888.496303,11.15626064
723088,1979,9,7.177062717,2.144892996,9082.204472,11.19607221
723180,1979,12,8.423732281,2.337876586,9237.992432,11.23631681
723271,1980,3,9.274285059,2.493869415,9470.752706,11.27776768
723362,1980,6,7.840055796,2.679831143,9460.18378,11.32025355
723454,1980,9,6.862720074,2.850808422,9632.934539,11.36351895
723546,1980,12,9.160333214,3.069191663,9984.35491,11.40601345
723636,1981,3,9.616476514,3.201296725,10271.42193,11.44680223
723727,1981,6,9.963481017,3.290867451,10487.37696,11.48668791
723819,1981,9,10.30218021,3.365218545,10709.86244,11.52671989
723911,1981,12,8.718569258,3.420318316,10645.53309,11.56660314
724001,1982,3,8.705846037,3.445012421,10421.58366,11.60618127
724092,1982,6,8.685204709,3.438528119,10106.04255,11.64556589
724184,1982,9,7.88947016,3.643707573,9783.096951,11.68567857
724276,1982,12,7.028559848,4.070596412,9447.00708,11.72625478
724366,1983,3,6.285506018,4.249200305,9267.916808,11.76739341
724457,1983,6,6.127796448,4.496174952,9166.019493,11.80948157
724549,1983,9,6.265698687,4.771102653,9013.867468,11.85267163
724641,1983,12,6.270831797,5.060309258,8976.90324,11.89568011
724732,1984,3,6.241723334,5.145075553,9071.050205,11.93807566
724823,1984,6,6.885490542,5.371858149,9189.217877,11.97997217
724915,1984,9,7.001756739,5.549252535,9267.195477,12.02246494
725007,1984,12,6.749147606,6.199799409,9339.913577,12.06544134
725097,1985,3,6.218866031,6.625445144,9435.673856,12.10888554
725188,1985,6,6.070060068,7.127995377,9486.634257,12.15307241
725280,1985,9,5.657147565,7.518128636,9620.982668,12.19857091
725372,1985,12,5.512276076,7.831021424,9693.028074,12.24451977
