Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY
712588,1950,12,NaN,NaN,NaN,8.9,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,8.91877079122595,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,8.94665125268411,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,8.9742883379712,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,9.00114485931091,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,9.02710455804431,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,9.05210461154699,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,9.07692035906294,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,9.10166115290476,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,9.12669879271468,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,9.15235904253081,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,9.1780684913482,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,9.20228958317943,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,9.22424485894028,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,9.24478422533682,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,9.26461622583875,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,9.28369955213116,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,9.30214761548765,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,9.32008465600939,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,9.33767332108449,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,9.35450669356676,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,9.3705911306388,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,9.38604923889229,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,9.40106634712374,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,9.41535374977182,NaN,NaN,NaN,NaN
714870,1957,3,NaN,NaN,NaN,9.42884117541032,NaN,NaN,NaN,NaN
714961,1957,6,NaN,NaN,NaN,9.44181012594686,NaN,NaN,NaN,NaN
715053,1957,9,NaN,NaN,NaN,9.45437344162803,NaN,NaN,NaN,NaN
