Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,2.37316520707317,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,2.39304880247654,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,2.41321106171937,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,2.43328644558781,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,2.45326961348036,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,2.47315547148555,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,2.49325289939879,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,2.51329117406717,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,2.53302227506836,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,2.55254198705679,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,2.57250365445047,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,2.5929840411051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,2.61422152844069,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,2.63641594134477,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,2.65944040520836,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,2.68238565652885,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,2.70468027954661,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,2.72669432797156,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,2.74917371887306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,2.77215081062256,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,2.79601494533517,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,2.82071449810614,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,2.846174565761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,2.8715618106189,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714870,1957,3,NaN,1.10986265366007,NaN,2.89642355690903,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714961,1957,6,NaN,1.10381386449514,NaN,2.92125956183593,NaN,-2.18001358816059,NaN,NaN,NaN,NaN,NaN
715053,1957,9,NaN,1.1142127529461,NaN,2.9464738107387,NaN,3.76834855420498,NaN,NaN,NaN,NaN,NaN
715145,1957,12,NaN,1.11909466616246,NaN,2.9715968123884,NaN,1.75259642413897,NaN,NaN,NaN,NaN,NaN
715235,1958,3,NaN,1.11730373843723,NaN,2.99632039796196,NaN,-0.640134487054297,0.670450956487585,NaN,NaN,NaN,NaN
715326,1958,6,NaN,1.11403102672478,NaN,3.02080733280069,NaN,-1.17164620500955,0.925623654338253,NaN,NaN,NaN,NaN
715418,1958,9,NaN,1.11023168412613,NaN,3.04580058371791,NaN,-1.36417837834017,-0.357298802175848,NaN,NaN,NaN,NaN
715510,1958,12,NaN,1.10225011266692,NaN,3.0713012717484,NaN,-2.87564175057423,-1.5051946903917,NaN,NaN,NaN,NaN
715600,1959,3,NaN,1.09712067737185,NaN,3.09764867807066,NaN,-1.86144151354466,-1.80640772701699,NaN,NaN,NaN,NaN
715691,1959,6,NaN,1.09939222020751,NaN,3.1252123751952,NaN,0.828183401336901,-1.31403939083305,NaN,NaN,NaN,NaN
715783,1959,9,NaN,1.10419301172275,NaN,3.15351438015453,NaN,1.74670747236263,-0.543911013325015,NaN,NaN,NaN,NaN
715875,1959,12,NaN,1.10273071997854,NaN,3.18104165552579,NaN,-0.529723238124291,0.0436023826253091,NaN,NaN,NaN,NaN
715966,1960,3,NaN,1.10540199405825,NaN,3.20687573418381,NaN,0.968966958594933,0.754822769928694,NaN,NaN,NaN,NaN
716057,1960,6,NaN,1.1068578150851,NaN,3.23120026775307,NaN,0.526802388516046,0.679065645578518,NaN,NaN,NaN,NaN
716149,1960,9,NaN,1.10897890613946,NaN,3.25561499808527,NaN,0.76652701926065,0.433429152865884,NaN,NaN,NaN,NaN
716241,1960,12,NaN,1.10515682485198,NaN,3.28109518512824,NaN,-1.37859476544486,0.220008822597208,NaN,NaN,NaN,NaN
716331,1961,3,NaN,1.10277996959623,NaN,3.30865743541711,NaN,-0.860277999393134,-0.237200988972049,NaN,NaN,NaN,NaN
716422,1961,6,NaN,1.09808692467343,NaN,3.33851455179421,NaN,-1.70225976248616,-0.79241346920405,NaN,NaN,NaN,NaN
716514,1961,9,NaN,1.0866440222487,NaN,3.36970344411955,NaN,-4.1683047735529,-2.01400439333067,NaN,NaN,NaN,NaN
716606,1961,12,NaN,1.09559297779168,NaN,3.40013294132904,NaN,3.29416271005255,-0.865383703491631,NaN,NaN,NaN,NaN
716696,1962,3,NaN,1.10347153094191,NaN,3.42848135126765,NaN,2.87645259140072,0.0627107278644417,NaN,NaN,NaN,NaN
716787,1962,6,NaN,1.10999302602273,NaN,3.45559689182839,NaN,2.36399214586402,1.08425854836989,NaN,NaN,NaN,NaN
716879,1962,9,NaN,1.1176803410001,NaN,3.48280304065993,NaN,2.77022100036265,2.85616247049963,NaN,NaN,NaN,NaN
716971,1962,12,NaN,1.11613650903012,NaN,3.51050740610606,NaN,-0.552512883456586,1.87510614387547,NaN,NaN,NaN,NaN
717061,1963,3,NaN,1.11784591213708,NaN,3.53916540408307,NaN,0.612614350710601,1.30265084255568,NaN,NaN,NaN,NaN
717152,1963,6,NaN,1.11969167885041,NaN,3.56882638808692,NaN,0.660472679924851,0.873757996699396,NaN,NaN,NaN,NaN
717244,1963,9,NaN,1.12150859591951,NaN,3.59941488791881,NaN,0.649077635715514,0.342517871969477,NaN,NaN,NaN,NaN
717336,1963,12,NaN,1.13420136565148,NaN,3.62987610287654,NaN,4.52703431008825,1.61851677417584,NaN,NaN,NaN,NaN
717427,1964,3,NaN,1.12243693928855,NaN,3.65990442022054,NaN,-4.1489727377176,0.410703040698252,NaN,NaN,NaN,NaN
717518,1964,6,NaN,1.12842615664714,NaN,3.68973320722833,NaN,2.13436217178736,0.780078834352935,NaN,NaN,NaN,NaN
717610,1964,9,NaN,1.13321113019691,NaN,3.71987934909818,NaN,1.69615832514756,1.04346362747316,NaN,NaN,NaN,NaN
717702,1964,12,NaN,1.12216521318144,NaN,3.74993676110076,NaN,-3.89897935914388,-1.06120066811262,NaN,NaN,NaN,NaN
717792,1965,3,NaN,1.11847209656639,NaN,3.77970826829083,NaN,-1.31642527202723,-0.353235231609403,NaN,NaN,NaN,NaN
717883,1965,6,NaN,1.13677749265565,NaN,3.80951147420311,NaN,6.54657229106067,0.740087063678871,NaN,NaN,NaN,NaN
717975,1965,9,NaN,1.14959328572798,NaN,3.83976857288644,NaN,4.50951682457764,1.44564018959281,NaN,NaN,NaN,NaN
718067,1965,12,NaN,1.14826633264744,NaN,3.86991617486608,NaN,-0.461712188827221,2.32596048776139,NaN,NaN,NaN,NaN
718157,1966,3,NaN,1.1488008329052,NaN,3.89972602739726,NaN,0.186193827185832,2.71162208086599,NaN,NaN,NaN,NaN
718248,1966,6,NaN,1.14676091665758,NaN,3.92953424657534,NaN,-0.710276730026806,0.878221469586919,NaN,NaN,NaN,NaN
718340,1966,9,NaN,1.11993991732417,NaN,3.95978082191781,NaN,-9.35539359384148,-2.57946604002937,NaN,NaN,NaN,NaN
718432,1966,12,NaN,1.1209539377583,NaN,3.98991780821918,NaN,0.36216958372421,-2.3785766518269,NaN,NaN,NaN,NaN
718522,1967,3,NaN,1.12821835034659,NaN,4.01961124004611,NaN,2.59222519091821,-1.79164934156259,NaN,NaN,NaN,NaN
718613,1967,6,NaN,1.12167520517165,NaN,4.0490757071193,NaN,-2.31981519284051,-2.1875275937243,NaN,NaN,NaN,NaN
718705,1967,9,NaN,1.13351775325152,NaN,4.07911575887246,NaN,4.22316478968804,1.21237181721263,NaN,NaN,NaN,NaN
718797,1967,12,NaN,1.13796913868763,NaN,4.10962888751038,NaN,1.57082160322261,1.51792150918848,NaN,NaN,NaN,NaN
718888,1968,3,NaN,1.14243747825218,NaN,4.14112882463502,NaN,1.57063646548556,1.26031702118834,NaN,NaN,NaN,NaN
718979,1968,6,NaN,1.14908866426021,NaN,4.17367391272542,NaN,2.32877024245016,2.44397477649206,NaN,NaN,NaN,NaN
719071,1968,9,NaN,1.14637688536352,NaN,4.20689586181981,NaN,-0.943975510695452,1.13444470323539,NaN,NaN,NaN,NaN
719163,1968,12,NaN,1.1490499048932,NaN,4.23937039959088,NaN,0.932684377644591,0.973731697007409,NaN,NaN,NaN,NaN
719253,1969,3,NaN,1.14379206380489,NaN,4.27010866099055,NaN,-1.83032645176297,0.118569775457786,NaN,NaN,NaN,NaN
719344,1969,6,NaN,1.13486487668941,NaN,4.29970238616764,NaN,-3.12196155157062,-1.2378320327403,NaN,NaN,NaN,NaN
719436,1969,9,NaN,1.13838013956959,NaN,4.32943784515952,NaN,1.23900667026868,-0.69756690805805,NaN,NaN,NaN,NaN
719528,1969,12,NaN,1.13967642995275,NaN,4.35966465881179,NaN,0.455485944668055,-0.815758732542974,NaN,NaN,NaN,NaN
719618,1970,3,NaN,1.14080589292241,NaN,4.39080705743279,NaN,0.396415312266299,-0.26107637716504,NaN,NaN,NaN,NaN
719709,1970,6,NaN,1.13877854346025,NaN,4.42294041897809,NaN,-0.710848173113732,0.344857511341502,NaN,NaN,NaN,NaN
719801,1970,9,NaN,1.13977797358325,NaN,4.45604103849172,NaN,0.351053373367279,0.122791496888624,NaN,NaN,NaN,NaN
719893,1970,12,NaN,1.13992133679486,10.647277579979,4.48902586281765,NaN,0.0503126801651206,0.0214891556652645,NaN,NaN,NaN,NaN
719983,1971,3,NaN,1.14051322339304,11.0275901562284,4.52137426628662,NaN,0.207693839590206,-0.0256546298703455,14.2876927324415,NaN,NaN,NaN
720074,1971,6,NaN,1.13786626871596,11.3344153313585,4.55367969015053,NaN,-0.928338092987588,-0.0801099344146934,11.1293644679688,NaN,NaN,NaN
720166,1971,9,NaN,1.13874326486111,11.5436671551551,4.58645473573731,NaN,0.308294979562504,-0.090781603621906,7.38465347101351,NaN,NaN,NaN
720258,1971,12,NaN,1.14270988237658,11.8047836039194,4.61908870864501,NaN,1.39333162719834,0.244626141445622,9.04795487446688,10.8713801743734,NaN,NaN
720349,1972,3,NaN,1.14507810930925,12.2006940939717,4.65169402478076,NaN,0.82898624373388,0.400248398929918,13.4152561651655,10.6378993154792,NaN,NaN
720440,1972,6,NaN,1.14336559374219,12.4657667544851,4.68439498757409,NaN,-0.598217904311809,0.483301524742387,8.69041247888924,9.98155961337044,NaN,NaN
720532,1972,9,NaN,1.14747285652607,12.7921370626141,4.71728271714868,NaN,1.43690270421183,0.766598752707324,10.472530556905,10.8151932196126,NaN,NaN
720624,1972,12,NaN,1.14368989318286,13.031811587536,4.74942193007871,NaN,-1.31871122587148,0.0857619962331313,7.49443267372271,10.3943284755283,NaN,NaN
720714,1973,3,NaN,1.15113307155016,13.5340684253551,4.78010866099055,NaN,2.60321557851182,0.528781590677681,15.4163320869205,10.9286760336224,NaN,NaN
720805,1973,6,NaN,1.15869290380327,13.9520190434293,4.80970238616764,NaN,2.62691862129498,1.34054323000147,12.35254928344,11.9226704479244,NaN,NaN
720897,1973,9,NaN,1.16535481254386,14.3258966730117,4.83943784515952,NaN,2.2998013429538,1.55837725625435,10.7189541074644,11.9898622324817,NaN,NaN
720989,1973,12,NaN,NaN,14.7124833443749,4.86966465881179,NaN,NaN,NaN,10.7940656054427,12.8966855110637,NaN,NaN
721079,1974,3,NaN,NaN,15.1118209166259,4.90080705743279,NaN,NaN,NaN,10.8571085629434,11.6576364304094,NaN,NaN
721170,1974,6,NaN,NaN,15.4934134347709,4.93294041897809,NaN,NaN,NaN,10.1005039763335,11.0478231612477,NaN,NaN
721262,1974,9,NaN,NaN,15.4851385303604,4.96604103849172,NaN,NaN,NaN,-0.213636702986776,8.09193228045912,NaN,NaN
721354,1974,12,NaN,NaN,15.5955156501094,4.99902586281765,NaN,NaN,NaN,2.85117551987338,6.00192561014588,NaN,NaN
721444,1975,3,NaN,NaN,16.0403833582322,5.03125504787113,NaN,NaN,NaN,11.4101442518115,6.14460988341105,NaN,NaN
