Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY
711583,1948,3,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
711674,1948,6,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
711766,1948,9,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
711858,1948,12,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
711948,1949,3,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712039,1949,6,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712131,1949,9,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712223,1949,12,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712313,1950,3,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712404,1950,6,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712496,1950,9,2.00000066194174,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712588,1950,12,2.00000066194174,NaN,NaN,4.43,NaN,NaN,NaN,NaN
712678,1951,3,2.00000066194174,NaN,NaN,4.44744479570391,NaN,NaN,NaN,NaN
712769,1951,6,2.00000066194174,NaN,NaN,4.4742779641687,NaN,NaN,NaN,NaN
712861,1951,9,2.00000066194174,NaN,NaN,4.50210736406904,NaN,NaN,NaN,NaN
712953,1951,12,2.29666730955626,NaN,NaN,4.53042122639221,NaN,NaN,NaN,NaN
713044,1952,3,2.85666727359265,NaN,NaN,4.55933732797435,NaN,NaN,NaN,NaN
713135,1952,6,4.00000053350029,NaN,NaN,4.58900971846299,NaN,NaN,NaN,NaN
713227,1952,9,4.00000053350029,NaN,NaN,4.61949119870746,NaN,NaN,NaN,NaN
713319,1952,12,4.00000053350029,NaN,NaN,4.64988505810615,NaN,NaN,NaN,NaN
713409,1953,3,4.00000053350029,NaN,NaN,4.67958936642279,NaN,NaN,NaN,NaN
713500,1953,6,4.00000053350029,NaN,NaN,4.70903649854292,NaN,NaN,NaN,NaN
713592,1953,9,3.92333387175722,NaN,NaN,4.73907967086314,NaN,NaN,NaN,NaN
713684,1953,12,3.50000056561066,NaN,NaN,4.76961689788435,NaN,NaN,NaN,NaN
713774,1954,3,3.50000056561066,NaN,NaN,4.80068778858368,NaN,NaN,NaN,NaN
713865,1954,6,3.23000058295025,NaN,NaN,4.83246397734364,NaN,NaN,NaN,NaN
713957,1954,9,3.00000059772102,NaN,NaN,4.8653500102276,NaN,NaN,NaN,NaN
714049,1954,12,3.00000059772102,NaN,NaN,4.89872566214154,NaN,NaN,NaN,NaN
714139,1955,3,3.74000055019768,NaN,145457,4.93258561885996,NaN,NaN,NaN,NaN
714230,1955,6,4.50000050138993,NaN,145551,4.9676021110602,NaN,NaN,0.258495637886085,NaN
714322,1955,9,4.50000050138993,NaN,147995,5.00346184006383,NaN,NaN,6.71654609037387,NaN
714414,1955,12,4.50000050138993,NaN,147119,5.038520897759,NaN,NaN,-2.36764755566065,NaN
714505,1956,3,4.99333380304105,NaN,148955,5.07208641860713,NaN,NaN,4.99187732379909,2.40483441841918
714596,1956,6,5.50000043716921,NaN,148835,5.10454525615443,NaN,NaN,-0.322244973314127,2.25625382168451
714688,1956,9,5.50000043716921,NaN,148665,5.13689413573636,NaN,NaN,-0.456881781838945,0.452717997229641
714780,1956,12,5.50000043716921,NaN,149607,5.16914586792171,NaN,NaN,2.53455756230449,1.69114798224565
714870,1957,3,5.20000045643543,NaN,152331,5.20135062398174,NaN,NaN,7.28308167398586,2.26645631230909
714961,1957,6,5.00000046927957,NaN,152285,5.2336374303867,NaN,NaN,-0.120789596339534,2.31800315785937
715053,1957,9,5.25333378634366,NaN,151340,5.26641595396031,NaN,NaN,-2.48218800275799,1.79934752631756
715145,1957,12,7.00000034083813,NaN,151857,5.29907585610491,NaN,NaN,1.36645962732916,1.50394032364795
715235,1958,3,6.87333368230609,NaN,155117,5.33125059416458,NaN,NaN,8.58702595204699,1.82891204022819
715326,1958,6,5.71666708992139,NaN,151257,5.36318565882217,NaN,NaN,-9.95377682652452,-0.675050070591325
715418,1958,9,4.7366671528577,NaN,154551,5.39573819548017,NaN,NaN,8.7110018048752,2.12171269988106
715510,1958,12,4.27666718239923,NaN,155042,5.42877742489466,NaN,NaN,1.2707779309095,2.09736791850229
715600,1959,3,4.00000053350029,NaN,156009,5.46245723847016,NaN,NaN,2.49480785851574,0.575049801117871
715691,1959,6,4.00000053350029,NaN,158487,5.49708927167925,NaN,NaN,6.35347960694571,4.77994406870425
715783,1959,9,4.00000053350029,NaN,161850,5.53271802071311,NaN,NaN,8.48776240322547,4.72271289089039
715875,1959,12,4.00000053350029,NaN,165941,5.56819776325989,NaN,NaN,10.1105962310781,7.02970807910116
715966,1960,3,4.77666715028887,NaN,170121,5.6031003039773,NaN,NaN,10.075870339458,9.04563198277022
716057,1960,6,5.09000046349971,NaN,168948,5.63754181264841,NaN,NaN,-2.75803692665806,6.60054136932366
716149,1960,9,6.00000040505885,NaN,171442,5.67249934658546,NaN,NaN,5.90477543386135,5.92647513129441
716241,1960,12,5.51333376964627,NaN,172382,5.70795899074622,NaN,NaN,2.19316153567968,3.88150005122303
716331,1961,3,5.00000046927957,NaN,175276,5.74395592795609,NaN,NaN,6.71531830469536,3.03019615450179
716422,1961,6,5.00000046927957,NaN,175974,5.78069303406522,NaN,NaN,1.59291631484058,4.15867604233256
716514,1961,9,6.46000037551732,NaN,175126,5.81863032095865,NaN,NaN,-1.92755748008227,2.14883167485213
716606,1961,12,6.19666705909544,NaN,174768,5.85704206505608,NaN,NaN,-0.817696972465569,1.38413523453724
716696,1962,3,5.81666708349932,NaN,175568,5.89587060537283,NaN,NaN,1.83099880985071,0.166594399689629
716787,1962,6,4.6433338255183,NaN,177216,5.93584007945696,NaN,NaN,3.75467055499865,0.705786082034848
716879,1962,9,4.50000050138994,NaN,178265,5.97672988855146,NaN,NaN,2.36773203322497,1.79242374062103
716971,1962,12,4.50000050138994,NaN,177632,6.01682750340927,NaN,NaN,-1.42035733318374,1.63874393481645
717061,1963,3,4.01333386597735,NaN,178493,6.05518631740972,NaN,NaN,1.93883984867591,1.66602114280508
717152,1963,6,4.0000005335003,NaN,186171,6.09260964385718,NaN,NaN,17.206276996857,5.05315547128929
717244,1963,9,4.0000005335003,NaN,187001,6.13011667887732,NaN,NaN,1.78330674487432,4.90056937705101
717336,1963,12,4.0000005335003,NaN,191230,6.16745821477011,NaN,NaN,9.04594093079714,7.65515222482436
717427,1964,3,4.36666717661936,NaN,192542,6.2050107330507,NaN,NaN,2.74433927731002,7.87089689791756
717518,1964,6,5.00000046927958,NaN,196109,6.24268110831279,NaN,NaN,7.4103312524021,5.33810314173529
717610,1964,9,5.00000046927958,NaN,196783,6.28059197669245,NaN,NaN,1.37474567714895,5.23098806958251
717702,1964,12,5.85666708093049,NaN,199854,6.31774300435046,NaN,NaN,6.24240915119702,4.5097526538723
717792,1965,3,7.00000034083813,NaN,199276,6.35378202307554,NaN,NaN,-1.15684449648239,3.49741874500108
717883,1965,6,6.69666702698508,NaN,199419,6.38949874828515,NaN,NaN,0.287039081474916,1.68783686623254
717975,1965,9,6.00000040505885,NaN,200957,6.42496917950473,NaN,NaN,3.08496181406986,2.12111818602216
718067,1965,12,6.00000040505885,NaN,202259,6.45895502728427,NaN,NaN,2.59159919783832,1.20337846628038
718157,1966,3,6.00000040505885,NaN,202588,6.49099532207691,NaN,NaN,0.65065089810588,1.66201649972902
718248,1966,6,6.00000040505885,NaN,203766,6.52189482809414,NaN,NaN,2.32590281754096,2.17983241316023
718340,1966,9,6.85666701670977,NaN,204428,6.55203559458158,NaN,NaN,1.29952985287042,1.72723517966531
718432,1966,12,7.00000034083813,NaN,203611,6.58068986972166,NaN,NaN,-1.59860684446357,0.668449858844355
718522,1967,3,6.55000036973746,NaN,206330,6.60755597820692,NaN,NaN,5.34155816728958,1.84709854482989
718613,1967,6,5.69000042496728,NaN,209227,6.63307429410145,NaN,NaN,5.61624581980323,2.68003494204136
718705,1967,9,5.50000043716921,NaN,210092,6.65793728228818,NaN,NaN,1.65370626162019,2.77065763985365
718797,1967,12,6.89333368102168,NaN,211166,6.68202518228132,NaN,NaN,2.04481846048401,3.71050679973087
718888,1968,3,7.94333361358992,NaN,218997,6.70532389666829,NaN,NaN,14.8338274153983,6.13919449425677
718979,1968,6,7.50000030872777,NaN,218081,6.72748547232987,NaN,NaN,-1.67308227966589,4.23176741051586
719071,1968,9,7.43666697946175,NaN,222325,6.7495816951185,NaN,NaN,7.7842636451594,5.82268720370122
719163,1968,12,7.00000034083813,NaN,223067,6.77220459829458,NaN,NaN,1.33498257056112,5.6358504683519
719253,1969,3,7.3666669839572,NaN,222725,6.79562901013922,NaN,NaN,-0.613268659192045,1.70230642428892
719344,1969,6,8.00000027661741,NaN,224353,6.81962990846135,NaN,NaN,2.923784936581,2.87599561630769
719436,1969,9,8.00000027661741,NaN,225601,6.84477637026051,NaN,NaN,2.22506496458709,1.47351849769481
719528,1969,12,8.00000027661741,NaN,226619,6.87097763490895,NaN,NaN,1.80495653831321,1.5923466940426
719618,1970,3,7.85666695248905,NaN,225223,6.89831665894983,NaN,NaN,-2.46404758647776,1.12156246492312
719709,1970,6,7.07666700258121,NaN,230605,6.92710681475638,NaN,NaN,9.55852643824119,2.78667991959101
719801,1970,9,7.00000034083813,NaN,232800,6.95764163567878,NaN,NaN,3.80737624943083,3.19103195464558
719893,1970,12,7.00000034083813,NaN,234954,6.98923368237363,NaN,NaN,3.70103092783506,3.67797933977292
719983,1971,3,7.00000034083813,NaN,233843,7.02162176036981,NaN,NaN,-1.89143406794523,3.8273178139
720074,1971,6,6.00000040505885,NaN,238030,7.05539109227668,NaN,NaN,7.16207027792154,3.21979141822597
720166,1971,9,5.68333375872875,NaN,242078,7.09096216460388,NaN,NaN,6.80250388606476,3.98539518900343
720258,1971,12,5.00000046927957,NaN,243009,7.12756048046102,NaN,NaN,1.53834714430889,3.4283306519574
720349,1972,3,5.00000046927957,NaN,243540,7.16550974134333,NaN,NaN,0.874041702159161,4.14679934828068
720440,1972,6,5.10666712909603,NaN,249966,7.20534527067249,NaN,NaN,10.5543237250554,5.01449397134814
720532,1972,9,6.00000040505885,NaN,250633,7.24645342152219,NaN,NaN,1.06734515894163,3.53398491395336
720624,1972,12,7.42000031386543,NaN,254524,7.28679800173417,NaN,NaN,6.20987659246788,4.73850762728954
720714,1973,3,8.78333355964451,NaN,267015,7.32628967425251,NaN,NaN,19.6303688453742,9.6390736634639
720805,1973,6,7.99666694349815,NaN,267521,7.3670780272512,NaN,NaN,0.758009849633879,7.02295512189657
720897,1973,9,10.4000001224877,NaN,265025,7.4066238336443,NaN,NaN,-3.73204346574664,5.7422605961705
720989,1973,12,12.2566666699179,NaN,263989,7.44028974867592,NaN,NaN,-1.56362607301202,3.71870629095881
721079,1974,3,12.5999999812021,NaN,256670,7.46776759281002,NaN,NaN,-11.089856016728,-3.87431417710616
721170,1974,6,11.9633333554226,NaN,260347,7.4943182026552,NaN,NaN,5.73031519071179,-2.68165863614446
721262,1974,9,11.7266667039549,NaN,261890,7.51648650481166,NaN,NaN,2.37068220490346,-1.18290727289877
721354,1974,12,11.5000000518449,NaN,258066,7.52850885591416,NaN,NaN,-5.84062010767877,-2.24365409164776
721444,1975,3,10.7600000993682,NaN,258116,7.5296478128369,NaN,NaN,0.077499554377539,0.563369306892113
721535,1975,6,9.96333348386406,NaN,253935,7.52809620290751,NaN,NaN,-6.47925738815104,-2.46286686614403
721627,1975,9,10.7233334350563,NaN,253168,7.52531093934752,NaN,NaN,-1.20818319648725,-3.33040589560503
721719,1975,12,11.7366667033127,NaN,255985,7.52146661181128,NaN,NaN,4.45079946912716,-0.806382863298538
721810,1976,3,9.83666682533202,NaN,260268,7.51189516187609,NaN,NaN,6.69257964333843,0.833733670132816
721901,1976,6,10.543333446616,NaN,259911,7.48734121398563,NaN,NaN,-0.548665222001944,2.35335814283182
721993,1976,9,11.816666698175,NaN,263132,7.45198725509002,NaN,NaN,4.9570814625007,3.93572647411995
722085,1976,12,14.7199998450542,NaN,268662,7.41293761861511,NaN,NaN,8.40642719243573,4.95224329550558
722175,1977,3,12.2933333342298,NaN,268833,7.37301116013995,NaN,NaN,0.25459499296511,3.29083867398221
722266,1977,6,8.41333358340619,NaN,266987,7.32621452189161,NaN,NaN,-2.74668660469513,2.72247038409301
722358,1977,9,7.25666699102149,NaN,268717,7.27339185159964,NaN,NaN,2.59188649634626,2.12250885487133
722450,1977,12,5.87666707964608,NaN,273279,7.2184373782644,NaN,NaN,6.79078733388661,1.71851620251469
722540,1978,3,6.53333370414114,NaN,275841,7.16221807729278,NaN,NaN,3.75001372223994,2.60682282309092
722631,1978,6,8.52333357634191,NaN,279001,7.10119805462852,NaN,NaN,4.58234997697946,4.49984456172024
722723,1978,9,10.000000148176,NaN,282797,7.03806186115434,NaN,NaN,5.44227440045023,5.23971315547584
722815,1978,12,11.4400000556981,NaN,285314,6.97864158748651,NaN,NaN,3.56015092097863,4.40392419468748
722905,1979,3,13.0433332860642,NaN,284457,6.92445363042079,NaN,NaN,-1.2014832780726,3.12353856025753
722996,1979,6,12.4666666564315,NaN,296841,6.87082551592787,NaN,NaN,17.4142313249455,6.39424231454369
723088,1979,9,13.9999998912931,NaN,290297,6.82089340104594,NaN,NaN,-8.81818886205076,2.65207905317241
723180,1979,12,15.5466664586317,NaN,293265,6.78090504207908,NaN,NaN,4.08960478406595,2.78675424269402
723271,1980,3,16.9999996986309,NaN,290378,6.75117361126361,NaN,NaN,-3.93773549520063,2.08150968336163
723362,1980,6,16.9999996986309,NaN,284713,6.72436066423362,NaN,NaN,-7.80362148647623,-4.08568897153695
723454,1980,9,16.029999760925,NaN,284402,6.70282473970119,NaN,NaN,-0.436931225479668,-2.03067892537644
723546,1980,12,15.1999998142282,NaN,281496,6.6914004984758,NaN,NaN,-4.08717238275398,-4.01309395938827
723636,1981,3,13.5466665870731,NaN,281257,6.6926582767647,NaN,NaN,-0.339614062011549,-3.14107818085392
723727,1981,6,12.0000000197345,NaN,282155,6.70360050090132,NaN,NaN,1.27712376936398,-0.898448613164831
723819,1981,9,12.5133333201012,NaN,285437,6.72129291434341,NaN,NaN,4.65276177987278,0.363921491410053
723911,1981,12,14.6099998521184,NaN,285814,6.74257248570449,NaN,NaN,0.528312727501998,1.53394719640775
724001,1982,3,13.7933332378987,NaN,286275,6.768343370336,NaN,NaN,0.645174833982935,1.78413337268051
724092,1982,6,13.0166666211101,NaN,289232,6.80568549933988,NaN,NaN,4.13169155532273,2.50819584979887
724184,1982,9,11.3533333945973,NaN,289852,6.85230602443955,NaN,NaN,0.857443159816398,1.54675112196388
