Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,9.34
712678,1951,3,NaN,NaN,NaN,9.36438362359007
712769,1951,6,NaN,NaN,NaN,9.40028265722196
712861,1951,9,NaN,NaN,NaN,9.43540760942065
712953,1951,12,NaN,NaN,NaN,9.46902151684164
713044,1952,3,NaN,NaN,NaN,9.50133921553654
713135,1952,6,NaN,NaN,NaN,9.53271878289475
713227,1952,9,NaN,NaN,NaN,9.56302806400676
713319,1952,12,NaN,NaN,NaN,9.59109570666834
713409,1953,3,NaN,NaN,NaN,9.61630344107329
713500,1953,6,NaN,NaN,NaN,9.63944127076702
713592,1953,9,NaN,NaN,NaN,9.66154573351747
713684,1953,12,NaN,NaN,NaN,9.68289515911365
713774,1954,3,NaN,NaN,NaN,9.70394311093488
713865,1954,6,NaN,NaN,NaN,9.72480683088969
713957,1954,9,NaN,NaN,NaN,9.74517875639561
714049,1954,12,NaN,NaN,NaN,9.76403794717547
714139,1955,3,NaN,NaN,NaN,9.78092779035183
714230,1955,6,NaN,NaN,NaN,9.79650428034743
714322,1955,9,NaN,NaN,NaN,9.81132447240307
714414,1955,12,NaN,NaN,NaN,9.82538924660167
714505,1956,3,NaN,NaN,NaN,9.83910223616906
714596,1956,6,NaN,NaN,NaN,9.85259626402444
714688,1956,9,NaN,NaN,NaN,9.86541661151702
714780,1956,12,NaN,NaN,NaN,9.87663047024475
714870,1957,3,NaN,NaN,NaN,9.88573862026801
714961,1957,6,NaN,NaN,NaN,9.89341851727525
715053,1957,9,NaN,NaN,NaN,9.90050189776702
715145,1957,12,NaN,NaN,NaN,9.90755368446125
715235,1958,3,NaN,NaN,NaN,9.91493150684932
715326,1958,6,NaN,NaN,NaN,9.92238356164384
715418,1958,9,NaN,NaN,NaN,9.92994520547945
715510,1958,12,NaN,NaN,NaN,9.93747945205479
715600,1959,3,NaN,NaN,NaN,9.94493252298922
715691,1959,6,NaN,NaN,NaN,9.95238762080397
715783,1959,9,NaN,NaN,NaN,9.95995109286246
715875,1959,12,NaN,NaN,NaN,9.96748200968731
715966,1960,3,NaN,NaN,NaN,9.97497610505514
716057,1960,6,NaN,NaN,NaN,9.98243330180708
716149,1960,9,NaN,NaN,NaN,9.98996983727455
716241,1960,12,NaN,NaN,NaN,9.99748419027519
716331,1961,3,NaN,NaN,NaN,10.0049270670727
716422,1961,6,NaN,NaN,NaN,10.0123778685508
716514,1961,9,NaN,NaN,NaN,10.0199421432216
716606,1961,12,NaN,NaN,NaN,10.0274790437165
716696,1962,3,NaN,NaN,NaN,10.0348253444671
716787,1962,6,NaN,NaN,NaN,10.041959476233
716879,1962,9,NaN,NaN,NaN,10.0493301143872
716971,1962,12,NaN,NaN,NaN,10.057212240464
717061,1963,3,NaN,NaN,NaN,10.0660996964251
717152,1963,6,NaN,NaN,NaN,10.076288886563
717244,1963,9,NaN,NaN,NaN,10.0869945201353
717336,1963,12,NaN,NaN,NaN,10.0969418704815
