Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,27.94
712678,1951,3,NaN,NaN,NaN,28.0713162425259
712769,1951,6,NaN,NaN,NaN,28.271089209146
712861,1951,9,NaN,NaN,NaN,28.4755340753172
712953,1951,12,NaN,NaN,NaN,28.6809587254846
713044,1952,3,NaN,NaN,NaN,28.8871792106125
713135,1952,6,NaN,NaN,NaN,29.0940712430356
713227,1952,9,NaN,NaN,NaN,29.3052140665438
713319,1952,12,NaN,NaN,NaN,29.518189734778
713409,1953,3,NaN,NaN,NaN,29.731828966898
713500,1953,6,NaN,NaN,NaN,29.9483101661473
713592,1953,9,NaN,NaN,NaN,30.1706358850094
713684,1953,12,NaN,NaN,NaN,30.3946290523115
713774,1954,3,NaN,NaN,NaN,30.6185352533172
713865,1954,6,NaN,NaN,NaN,30.8449882194261
713957,1954,9,NaN,NaN,NaN,31.0773174173849
714049,1954,12,NaN,NaN,NaN,31.3112792288915
714139,1955,3,NaN,NaN,NaN,31.5450267415544
714230,1955,6,NaN,NaN,NaN,31.7811591115144
714322,1955,9,NaN,NaN,NaN,32.023414736298
714414,1955,12,NaN,NaN,NaN,32.2677024726166
714505,1956,3,NaN,NaN,NaN,32.514370571738
714596,1956,6,NaN,NaN,NaN,32.7635627484905
714688,1956,9,NaN,NaN,NaN,33.0182883202836
714780,1956,12,NaN,NaN,NaN,33.2741268005795
714870,1957,3,NaN,NaN,NaN,33.5285537866817
714961,1957,6,NaN,NaN,NaN,33.7845724368871
715053,1957,9,NaN,NaN,NaN,34.0466882083867
715145,1957,12,NaN,NaN,NaN,34.3109332750245
715235,1958,3,NaN,NaN,NaN,34.5760422453667
715326,1958,6,NaN,NaN,NaN,34.8449208539453
715418,1958,9,NaN,NaN,NaN,35.1206421195179
715510,1958,12,NaN,NaN,NaN,35.3972428451699
715600,1959,3,NaN,NaN,NaN,35.6720154908102
715691,1959,6,NaN,NaN,NaN,35.9484176557401
715783,1959,9,NaN,NaN,NaN,36.2308870104503
715875,1959,12,NaN,NaN,NaN,36.5146191151485
715966,1960,3,NaN,NaN,NaN,36.7997025429335
716057,1960,6,NaN,NaN,NaN,37.085976407037
716149,1960,9,NaN,NaN,NaN,37.3778297534871
716241,1960,12,NaN,NaN,NaN,37.6712962490438
716331,1961,3,NaN,NaN,NaN,37.9645154154043
716422,1961,6,NaN,NaN,NaN,38.2608273565811
716514,1961,9,NaN,NaN,NaN,38.5640418791785
716606,1961,12,NaN,NaN,NaN,38.8680356879723
716696,1962,3,NaN,NaN,NaN,39.1701811686402
716787,1962,6,NaN,NaN,NaN,39.4741521371758
716879,1962,9,NaN,NaN,NaN,39.7844929539981
716971,1962,12,NaN,NaN,NaN,40.0955824026004
717061,1963,3,NaN,NaN,NaN,40.4049159621407
717152,1963,6,NaN,NaN,NaN,40.7157485807213
717244,1963,9,NaN,NaN,NaN,41.0332959627064
717336,1963,12,NaN,NaN,NaN,41.3525655543344
717427,1964,3,NaN,NaN,NaN,41.6740239216413
717518,1964,6,NaN,NaN,NaN,41.99742698635
717610,1964,9,NaN,NaN,NaN,42.3272913923327
717702,1964,12,NaN,NaN,4013592.71495915,42.6586639272333
717792,1965,3,NaN,NaN,3996647.27098139,42.9889138429741
717883,1965,6,NaN,NaN,4097761.81869237,43.3217591192822
717975,1965,9,NaN,NaN,4118372.01081596,43.6623588916694
718067,1965,12,NaN,NaN,4298557.79772125,44.004824587322
718157,1966,3,NaN,NaN,4332170.44806876,44.3468935473063
718248,1966,6,NaN,NaN,4381950.8974682,44.6924156457484
718340,1966,9,NaN,NaN,4396789.1353993,45.0460460516031
718432,1966,12,NaN,NaN,4560597.88107035,45.4008916208968
718522,1967,3,NaN,NaN,4603389.60046984,45.7541984055142
718613,1967,6,NaN,NaN,4657153.42756439,46.1103226663389
718705,1967,9,NaN,NaN,4704554.1397668,46.4740087367902
718797,1967,12,NaN,NaN,4827620.88700702,46.8380093884651
718888,1968,3,NaN,NaN,4961083.96596344,47.2015632145333
718979,1968,6,NaN,NaN,5050628.30820502,47.5646848551444
719071,1968,9,NaN,NaN,5122379.81239341,47.9338646713716
719163,1968,12,NaN,NaN,5282527.60318969,48.3050446615036
719253,1969,3,NaN,0.0115651573193986,5303221.9287949,48.6766422264552
719344,1969,6,NaN,0.0117127507168221,5375556.37030835,49.0526362964438
719436,1969,9,NaN,0.0118271438942098,5312079.4839334,49.4370795026381
719528,1969,12,NaN,0.0120617810413639,5463137.22194275,49.821399228187
719618,1970,3,NaN,0.0121643050589794,5510772.08835123,50.2014519046281
719709,1970,6,NaN,0.0122791304220105,5641415.0716458,50.5818582643238
719801,1970,9,NaN,0.0124581526872311,5667812.35809866,50.9695717774501
719893,1970,12,NaN,0.0126352093201047,5818350.40411347,51.3589778434061
719983,1971,3,NaN,0.0128283943688161,5865890.21889046,51.7484286457646
720074,1971,6,NaN,0.0130412729484154,5902224.89793923,52.1420359502052
720166,1971,9,NaN,0.0131246997221494,5875394.9144423,52.5440862344083
720258,1971,12,NaN,0.013281276786228,6037236.74631621,52.9456743611618
720349,1972,3,NaN,0.0133847216715818,6145144.85380629,53.345707116493
720440,1972,6,NaN,0.0136343189438732,6293387.34077675,53.7448698434615
720532,1972,9,NaN,0.0138029046897433,6401849.59727826,54.1495388773913
720624,1972,12,NaN,0.0140238498410333,6534040.95817057,54.5542663953453
720714,1973,3,NaN,0.0142966735769738,6677749.65627845,54.9563692798163
720805,1973,6,NaN,0.0148649510080116,6801899.95528723,55.3601515885583
720897,1973,9,NaN,0.0156938101301467,6939102.80410422,55.7713458828022
720989,1973,12,NaN,0.0166006489267456,7047681.91789237,56.182308238084
721079,1974,3,13.1336918170636,0.0178794987512778,7112123.64837747,56.5902681913598
721170,1974,6,13.1418774915323,0.0186025085513928,7250451.94382635,57.0001958490816
721262,1974,9,13.1459703287667,0.0193100331471784,7274005.39756659,57.4169550268263
721354,1974,12,13.1459703287667,0.0203285083468508,7454826.50228901,57.8315824066984
721444,1975,3,13.1459703287667,0.0207633945465449,7268336.04744416,58.240308282232
721535,1975,6,13.1459703287667,0.0215481139724391,7547915.83004198,58.6483778039542
721627,1975,9,13.1459703287667,0.0223872244996391,7605692.93490295,59.0617513337912
721719,1975,12,13.1461369022746,0.0227575922838135,7883031.73658049,59.4727120400555
721810,1976,3,13.1374833988897,0.0234874784570739,7841242.85718668,59.8809101531029
721901,1976,6,13.1374464186282,0.024319905617531,8130902.52591902,60.286233925266
721993,1976,9,13.1374125200551,0.0252183575698218,8030588.00889004,60.6953986494236
722085,1976,12,13.1376621368206,0.0283028920979962,8231225.24838527,61.1033570667003
722175,1977,3,13.1376744635745,0.0303604688782429,8197545.8470445,61.5078282148255
722266,1977,6,13.2465599437728,0.0320476263342663,8322588.91943494,61.9130271465962
722358,1977,9,13.3021290410054,0.0335345803837395,8326168.42000742,62.3242429293344
722450,1977,12,13.3025358238826,0.0348076151067569,8510346.09655801,62.7333407480079
722540,1978,3,13.3031120996253,0.0360590484568911,8577742.63097014,63.1367173889533
722631,1978,6,13.3036329049756,0.0376179593773789,8778679.06601937,63.5389108741586
722723,1978,9,13.8406740431101,0.039265951869085,8904755.41330108,63.9466978042089
722815,1978,12,15.6367493421069,0.0406442063772986,9272617.79642672,64.3536292420578
722905,1979,3,16.5348208901784,0.0424743935676879,9527021.16299086,64.7573341701203
722996,1979,6,16.5348609521284,0.0442923002872147,9707667.6334807,65.1618716412864
723088,1979,9,17.3651544074906,0.0461443991700937,9919601.69985552,65.5729198882496
723180,1979,12,21.3321362971006,0.0485962325340222,10171876.2703242,65.9828286155347
723271,1980,3,23.8867149829918,0.0521050896109935,10297835.956849,66.3913564904265
723362,1980,6,23.4108501035802,0.0553075103558815,10315703.6682032,66.7984958103709
723454,1980,9,21.8932444826809,0.0591588825751231,10549648.4275913,67.2105955127436
723546,1980,12,25.961833583442,0.0627790494777144,10907587.2595777,67.6221090089813
723636,1981,3,28.8057557206117,0.0667080396015012,11225394.0612005,68.0304461342848
723727,1981,6,28.0661988194078,0.0709405951591155,11537710.2140658,68.4400870563525
723819,1981,9,29.1118514024679,0.0750615842848157,11597357.7968355,68.8564436596153
723911,1981,12,28.6232860491285,0.0809323852744282,11746760.3973222,69.2712975041825
724001,1982,3,29.9874193514509,0.0884823438046205,11605077.8298341,69.6812328767123
724092,1982,6,37.7774974036188,0.102199990738724,11624117.9814398,70.091095890411
724184,1982,9,46.6780828063211,0.124462083680526,11568831.5021478,70.5069863013699
724276,1982,12,44.4145629752304,0.152186915001084,11278953.4010468,70.9213698630137
724366,1983,3,56.9827363363522,0.187865652217412,11034722.1063156,71.3314129399108
724457,1983,6,57.1225577882032,0.21902753768014,10917641.4078077,71.7418151863981
724549,1983,9,55.574416877719,0.250448824735928,10931452.5027716,72.1580295642198
724641,1983,12,53.5585121952427,0.285576576261607,11060144.4843528,72.571823083568
724732,1984,3,51.4867803721291,0.323967845522033,11398471.4277077,72.9826951137134
724823,1984,6,48.3962485261415,0.367549899466337,11209605.9179634,73.390877325012
724915,1984,9,48.2884918440215,0.410092637185606,11462388.9291371,73.8027754745833
725007,1984,12,45.8575276163358,0.457987256986839,11415338.5872076,74.212830725349
725097,1985,3,47.3554149672346,0.515000281150333,11643829.4149708,74.6183674742723
725188,1985,6,52.4127108945253,0.569829961853313,11520792.3789374,75.0237186350393
725280,1985,9,56.5273877601216,0.64080610281358,11605010.527981,75.4346148740551
725372,1985,12,59.5785878439461,0.73490057466157,11584178.280662,75.8433903451594
725462,1986,3,63.3570468797153,0.856428543370556,11204762.4694851,76.2470901147805
725553,1986,6,64.4855182017066,1.009410710296,11351624.1108675,76.6503997969042
725645,1986,9,75.0910107467666,1.22986692410385,11008430.0975067,77.0588573293761
725737,1986,12,83.7060361531754,1.49118886133256,10955935.8237527,77.4645673960363
725827,1987,3,83.8571014666578,1.79148985916695,11097862.5729803,77.8642676759973
725918,1987,6,83.8480572534122,2.26359746367486,11350724.245722,78.2625484276197
726010,1987,9,82.9041727478185,2.88450197321346,11430000.9482588,78.6655196844562
726102,1987,12,92.42900008757,3.70250058988627,11567433.987811,79.0661186892242
726193,1988,3,97.7516990125921,4.96837793316718,11488368.5524915,79.4644015656139
726284,1988,6,42.9103136140017,5.60607229402148,11457650.1144715,79.860155137244
726376,1988,9,33.325154453119,5.97768188566544,11422604.7726912,80.2594924463153
726468,1988,12,33.333492688603,6.1758723874929,11626782.2891249,80.6570237668913
726558,1989,3,33.3395939212847,6.31404001608578,11770129.5138179,81.0501556557815
726649,1989,6,33.3429965037023,6.6414632040577,11946661.7063233,81.4430888355984
726741,1989,9,32.2646439302787,6.98245473291743,12021355.4156787,81.8413780028227
726833,1989,12,33.70591047715,7.31985266426463,11930456.120918,82.2375919646217
726923,1990,3,34.5766643921226,7.81436748600905,12322296.3653351,82.6286216330275
727014,1990,6,32.130880333982,8.32358095320547,12437578.2614128,83.0187647809244
727106,1990,9,28.9133600378446,8.91525081403028,12615388.776861,83.4141711568719
727198,1990,12,26.8551328942721,9.46330790584069,12793857.8143693,83.808140938073
727288,1991,3,22.7853138340725,9.9219372176764,12738185.6803697,84.1981353697692
727379,1991,6,19.8499542256176,10.3596785280473,13154353.7521676,84.588285488741
727471,1991,9,18.5783313963459,10.7606262949131,12974529.8182958,84.9841071931352
727563,1991,12,18.749196529349,11.2863077477418,13285596.5245666,85.3782251736359
727654,1992,3,16.595940940754,11.6837100816817,13361026.7413387,85.7706695067837
727745,1992,6,15.9091743003161,12.0442730324978,13467396.5878666,86.1616773717181
727837,1992,9,19.1633790670328,12.3882733846507,13559310.9383358,86.5565333805052
727929,1992,12,21.1652800579251,12.7746923618382,13638200.4152427,86.9489659020308
728019,1993,3,21.1639905579603,13.0098038277073,13813085.3258649,87.335889348566
728110,1993,6,19.9724274958726,13.221892330936,13747705.9081554,87.7218974975488
728202,1993,9,17.9777096104777,13.5434223316455,14101341.8213084,88.1125299889884
728294,1993,12,16.7828192665964,13.8949835026048,13919116.8993389,88.5004769954632
728384,1994,3,13.7231841997377,13.9968160925522,14166520.4530802,88.8829573869302
728475,1994,6,19.1054580877173,14.1006014328735,14528661.2883874,89.2644394757935
728567,1994,9,18.8061682361175,14.43720710197,14697500.0827216,89.6501212759456
728659,1994,12,18.3542800897725,14.885849365418,14638783.6324379,90.032495452538
728749,1995,3,34.6367871510002,16.113439237328,14107107.3361509,90.4083577662861
728840,1995,6,45.1540573145605,18.8288064922799,13190432.2375272,90.7819383949358
728932,1995,9,33.1222013378362,20.4661933185499,13572516.0716345,91.1593829968217
