Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,6.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,6.13501948246695,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,6.17378449176315,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,6.21432842748986,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,6.25588717407303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,6.2985832917264,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,6.34264755934906,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,6.38833271043395,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,6.43449732662979,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,6.4805285601505,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,6.52719875125799,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,6.57521787575156,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,6.62367909772763,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,6.67232167723912,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,6.72184536019112,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,6.77258521083681,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,6.82314529895196,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,6.87276270385216,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,6.92210164952899,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,6.97230748618257,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,7.02290938675681,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,7.07427602647006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,7.1263228707993,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,7.17940781747664,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,7.23233857560181,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714870,1957,3,NaN,19.5954915760762,NaN,7.28436849377113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714961,1957,6,NaN,19.7047133028795,NaN,7.33616181973607,NaN,2.22952767230726,NaN,NaN,NaN,NaN,NaN
715053,1957,9,NaN,19.7645151645285,NaN,7.38889408479501,2.97992169038857,1.21396055308736,NaN,NaN,NaN,NaN,NaN
715145,1957,12,NaN,19.7586548015302,NaN,7.44204880908655,3.17446900596846,-0.118603728945118,NaN,NaN,NaN,NaN,NaN
715235,1958,3,NaN,19.6663189444817,NaN,7.49548953549679,2.60052194518728,-1.86927415810544,0.361447265206351,NaN,NaN,NaN,NaN
715326,1958,6,NaN,19.4772981703508,NaN,7.54961895160476,2.79999738728535,-3.84455829612966,-1.1541154090045,NaN,NaN,NaN,NaN
715418,1958,9,NaN,19.2088514949609,NaN,7.6051812453139,2.4464939477247,-5.51301670369406,-2.81142069482617,NaN,NaN,NaN,NaN
715510,1958,12,NaN,19.2685063117398,NaN,7.66116023322356,2.11380467688547,1.24223599301735,-2.48067742826538,NaN,NaN,NaN,NaN
