Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,37.86
712678,1951,3,NaN,NaN,NaN,37.9482177346802
712769,1951,6,NaN,NaN,NaN,38.0843786300469
712861,1951,9,NaN,NaN,NaN,38.2261620456703
712953,1951,12,NaN,NaN,NaN,38.3709330676371
713044,1952,3,NaN,NaN,NaN,38.5190442353674
713135,1952,6,NaN,NaN,NaN,38.6711262771192
713227,1952,9,NaN,NaN,NaN,38.8282615087659
713319,1952,12,NaN,NaN,NaN,38.9867823447401
713409,1953,3,NaN,NaN,NaN,39.1447288999164
713500,1953,6,NaN,NaN,NaN,39.3046064030941
713592,1953,9,NaN,NaN,NaN,39.4688298425713
713684,1953,12,NaN,NaN,NaN,39.6343123659158
713774,1954,3,NaN,NaN,NaN,39.7996394550184
713865,1954,6,NaN,NaN,NaN,39.9666428126049
713957,1954,9,NaN,NaN,NaN,40.1381578882372
714049,1954,12,NaN,NaN,NaN,40.3115035370411
714139,1955,3,NaN,NaN,NaN,40.4859098577275
714230,1955,6,NaN,NaN,NaN,40.6634723517231
714322,1955,9,NaN,NaN,NaN,40.8458756273665
714414,1955,12,NaN,NaN,NaN,41.028748777187
714505,1956,3,NaN,NaN,NaN,41.2111519447341
714596,1956,6,NaN,NaN,NaN,41.3933451531929
714688,1956,9,NaN,NaN,NaN,41.5790388085037
714780,1956,12,NaN,NaN,NaN,41.7666304739747
714870,1957,3,NaN,NaN,NaN,41.9556386340054
714961,1957,6,NaN,NaN,NaN,42.1480002018748
715053,1957,9,NaN,NaN,NaN,42.345547104694
715145,1957,12,NaN,NaN,NaN,42.543635306787
715235,1958,3,NaN,NaN,NaN,42.739810316172
715326,1958,6,NaN,NaN,NaN,42.9364240268256
715418,1958,9,NaN,NaN,NaN,43.1376368833747
715510,1958,12,NaN,NaN,NaN,43.3411730844166
715600,1959,3,NaN,NaN,NaN,43.5466020641412
715691,1959,6,NaN,NaN,NaN,43.7559499101776
715783,1959,9,NaN,NaN,NaN,43.9712435812152
715875,1959,12,NaN,NaN,NaN,44.1874819231495
715966,1960,3,NaN,NaN,NaN,44.4038148685696
716057,1960,6,NaN,NaN,NaN,44.620648670854
716149,1960,9,NaN,NaN,NaN,44.8418384842504
716241,1960,12,NaN,NaN,NaN,45.0648341587208
716331,1961,3,NaN,NaN,NaN,45.2882821413974
716422,1961,6,NaN,NaN,NaN,45.514343555515
716514,1961,9,NaN,NaN,NaN,45.7465404782691
716606,1961,12,NaN,NaN,NaN,45.9809697614211
716696,1962,3,NaN,NaN,NaN,46.2163087668895
716787,1962,6,NaN,0.00592603613219583,NaN,46.4553787196353
716879,1962,9,NaN,0.00592603613219583,NaN,46.7008592947752
716971,1962,12,NaN,0.00592603613219583,6312.72974482974,46.9473258418075
717061,1963,3,NaN,0.00592603613219583,6446.76088838113,47.192283735185
717152,1963,6,NaN,0.00592603613219583,6588.41148698031,47.438867809066
717244,1963,9,NaN,0.00592603613219583,6731.26106427015,47.6910867037758
717336,1963,12,NaN,0.00592603613219583,6854.29882963869,47.9446933997933
717427,1964,3,9.17951875101457,0.00592603613219583,6945.41616303516,48.2000392177581
717518,1964,6,9.17951875101457,0.00592603613219583,7028.079048764,48.4572080601706
717610,1964,9,9.17951875101457,0.00592603613219583,7101.85129178231,48.7193483132519
717702,1964,12,9.74167095091577,0.00592603613219583,7193.5866217058,48.9819665051511
717792,1965,3,9.74167095091577,0.00592603613219583,7298.11442382013,49.2426312017538
717883,1965,6,9.74167095091577,0.00592603613219583,7405.9073112342,49.5044873529824
717975,1965,9,9.74167095091577,0.00592603613219583,7494.13871498559,49.7717463452791
718067,1965,12,9.74167095091577,0.00592603613219583,7544.99332817612,50.0399035755847
718157,1966,3,9.74167095091577,0.00592603613219583,7515.99414400903,50.3071654269547
718248,1966,6,9.74167095091577,0.00592603613219583,7424.65146015364,50.5763611014776
718340,1966,9,9.74167095091577,0.00592603613219583,7274.20784719167,50.8514168142672
718432,1966,12,9.74167095091577,0.00592603613219583,7224.25566179535,51.1273461472216
718522,1967,3,9.74167095091577,0.00592603613219583,6789.01538305194,51.4018965145274
718613,1967,6,9.74167095091577,0.00592603613219583,6513.25634784179,51.6779423828164
718705,1967,9,9.74167095091577,0.00592603613219583,6284.6569840264,51.9601976772777
718797,1967,12,9.74167095091577,0.00592603613219583,6086.86885040229,52.2443196508642
718888,1968,3,9.74167095091577,0.00592603613219583,5931.09462301075,52.5307965196542
718979,1968,6,9.46059485096517,0.00592603613219583,5870.61394022231,52.819400180272
719071,1968,9,9.46059485096517,0.00592603613219583,5904.14733568024,53.1140994755244
719163,1968,12,9.46059485096517,0.00592603613219583,6010.90472714927,53.4104059876665
719253,1969,3,9.46059485096517,0.00592603613219583,6242.54159736045,53.7059183155281
719344,1969,6,9.46059485096517,0.00592603613219583,6585.44651685756,54.0039959278122
719436,1969,9,9.46059485096517,0.00592603613219583,7000.76154939287,54.3093003142608
719528,1969,12,9.46059485096517,0.00592603613219583,7465.36334397757,54.6165919109612
719618,1970,3,9.46059485096517,0.00592603613219583,7939.61221593051,54.9236368639826
719709,1970,6,9.46059485096517,0.00592603613219583,8411.87212295353,55.2336701705588
719801,1970,9,9.46059485096517,0.00592603613219583,8880.9999214202,55.5515890694953
719893,1970,12,9.46059485096517,0.00592603613219583,9332.22675540605,55.8720561076974
719983,1971,3,9.46059485096517,0.00592603613219583,9741.6204774804,56.1931010431135
720074,1971,6,9.46059485096517,0.00592603613219583,10104.4448380285,56.5183681596113
720166,1971,9,9.46059485096517,0.00592603613219583,10422.946390396,56.8520366824538
720258,1971,12,9.46059485096517,0.00592603613219583,10660.9492008407,57.1873737611358
720349,1972,3,9.46059485096517,0.00592603613219583,10816.6533113658,57.5236152912706
720440,1972,6,9.46059485096517,0.00592603613219583,10910.4130647251,57.8608611806128
720532,1972,9,9.48121671909476,0.00592603613219583,10968.516135131,58.2051607466842
720624,1972,12,9.46059485096517,0.00592603613219583,11019.583531957,58.5527341899326
720714,1973,3,9.46059485096517,0.00592603613219583,11087.8445906453,58.9010780111542
720805,1973,6,9.46059485096517,0.00592603613219583,11194.5010028397,59.2530074309572
720897,1973,9,9.46059485096517,0.00592603613219583,11368.2777551713,59.6156203126228
720989,1973,12,9.46059485096517,0.00617151686921166,11613.8696718355,59.9847595121458
721079,1974,3,9.46059485096517,0.00592603613219583,11981.775753616,60.3593117178952
721170,1974,6,9.46059485096517,0.00592603613219583,12397.3148040129,60.7429437801158
721262,1974,9,9.46059485096517,0.00592603613219583,12756.035800073,61.1404429068178
721354,1974,12,9.46059485096517,0.00617151686921166,12965.8051551549,61.54381308664
721444,1975,3,9.46059485096517,0.0136382492990195,12923.72180643,61.9492411680093
721535,1975,6,9.06658435645158,0.017210603375786,12742.144885138,62.3616470351953
721627,1975,9,8.92204994351863,0.0177781083890767,12529.0160440577,62.7883094312173
721719,1975,12,8.92204994351863,0.018517774039251,12429.8975413414,63.2227734375093
721810,1976,3,9.13193328081399,0.020372528006413,12556.7207115353,63.6661907303436
721901,1976,6,8.88080620725944,0.0246299203753252,12847.1199227269,64.1188784565533
