Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712313,1950,3,NaN,5.68415316038041e-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712404,1950,6,NaN,5.69367570703523e-09,NaN,NaN,NaN,0.670111897842389,NaN,NaN,NaN,NaN,NaN
712496,1950,9,NaN,5.68857189166032e-09,NaN,NaN,NaN,-0.35856031411214,NaN,NaN,NaN,NaN,NaN
712588,1950,12,NaN,6.01098870521003e-09,NaN,7.78,NaN,22.671195490903,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,6.22754071608173e-09,NaN,7.81291301768292,NaN,14.4104087691267,9.55969236523806,NaN,NaN,NaN,NaN
712769,1951,6,NaN,6.27694367938039e-09,NaN,7.86262200619135,NaN,3.17319247201908,10.244137572227,NaN,NaN,NaN,NaN
712861,1951,9,NaN,6.37315774679575e-09,NaN,7.91302765429843,NaN,6.13126848542021,12.0344063180262,NaN,NaN,NaN,NaN
712953,1951,12,NaN,6.49676455202885e-09,NaN,7.96321611396954,NaN,7.75796301575957,8.0814633106493,NaN,NaN,NaN,NaN
713044,1952,3,NaN,6.60266751872062e-09,NaN,8.0129343040023,NaN,6.52035122059004,6.02367482994013,NaN,NaN,NaN,NaN
713135,1952,6,NaN,6.70394508725471e-09,NaN,8.06194123352752,NaN,6.13555465253597,6.80269617962333,NaN,NaN,NaN,NaN
713227,1952,9,NaN,6.86180226351209e-09,NaN,8.11176467348504,NaN,9.41876308369496,7.66722770924697,NaN,NaN,NaN,NaN
713319,1952,12,NaN,6.96196308531728e-09,NaN,8.16263499313736,NaN,5.83874719548805,7.16046471382663,NaN,NaN,NaN,NaN
713409,1953,3,NaN,7.03357481311299e-09,NaN,8.21487743100659,NaN,4.11445604741817,6.52626068434634,NaN,NaN,NaN,NaN
713500,1953,6,NaN,7.40172005486787e-09,NaN,8.26883405449554,NaN,20.9364513230759,10.4084230782223,NaN,NaN,NaN,NaN
713592,1953,9,NaN,7.55634664922146e-09,NaN,8.32475905700556,NaN,8.35625196345495,10.121894497057,NaN,NaN,NaN,NaN
713684,1953,12,NaN,7.60379510269597e-09,NaN,8.38110393631627,NaN,2.51171396322343,9.21912411073127,NaN,NaN,NaN,NaN
713774,1954,3,NaN,7.66436160858582e-09,NaN,8.4372550342054,NaN,3.18611982947169,8.96822472545296,NaN,NaN,NaN,NaN
713865,1954,6,NaN,7.74885164700835e-09,NaN,8.49423129422641,NaN,4.40950167736742,4.68987734698472,NaN,NaN,NaN,NaN
713957,1954,9,NaN,7.83517572917061e-09,NaN,8.5525316924019,NaN,4.45609677896408,3.68999852564835,NaN,NaN,NaN,NaN
714049,1954,12,NaN,7.94645991883573e-09,NaN,8.61062492116702,NaN,5.68126068957503,4.50649723607445,NaN,NaN,NaN,NaN
714139,1955,3,NaN,8.0337806452952e-09,NaN,8.66769484170863,NaN,4.39545293634399,4.81995834193864,NaN,NaN,NaN,NaN
714230,1955,6,NaN,8.1481746799953e-09,NaN,8.72448773184841,NaN,5.69565138759896,5.15331885520254,NaN,NaN,NaN,NaN
714322,1955,9,NaN,8.19131662523369e-09,NaN,8.7822563476357,NaN,2.11787041553293,4.54541044608814,NaN,NaN,NaN,NaN
714414,1955,12,NaN,8.28832612796149e-09,NaN,8.84039042706179,NaN,4.73718730046181,4.30211959309604,NaN,NaN,NaN,NaN
714505,1956,3,NaN,8.4152796600008e-09,NaN,8.89913053260684,NaN,6.12685987878893,4.74868597425572,NaN,NaN,NaN,NaN
714596,1956,6,NaN,8.53334150663839e-09,NaN,8.95827106379089,NaN,5.61178482035524,4.7270320258195,NaN,NaN,NaN,NaN
714688,1956,9,NaN,8.69147481210674e-09,NaN,9.01867547227138,NaN,7.41249159407607,6.10595597455344,NaN,NaN,NaN,NaN
714780,1956,12,NaN,8.80929715275311e-09,NaN,9.07951797111218,NaN,5.42243258795423,6.2855999721594,NaN,NaN,NaN,NaN
714870,1957,3,4.82718451489654,9.00614585686065e-09,NaN,9.14038552385306,NaN,8.93822518160903,7.0213495062836,NaN,NaN,NaN,-2.19416499138705
714961,1957,6,4.82718451489654,9.18329747609603e-09,NaN,9.20195608985327,NaN,7.86803243256094,7.61666422177076,NaN,NaN,NaN,-2.78947970687422
715053,1957,9,4.82718451489654,9.39645319823163e-09,NaN,9.2651002997826,NaN,9.28449601857864,8.11114800842422,NaN,NaN,NaN,-3.28396349352768
715145,1957,12,4.82718451489654,9.41256147414233e-09,NaN,9.32863563330331,NaN,0.685717283782481,6.84804146038687,NaN,NaN,NaN,-2.02085694549032
715235,1958,3,4.82718451489654,9.66586775728129e-09,NaN,9.39206643664528,NaN,10.7646057381866,7.32524112873524,NaN,NaN,NaN,-2.4980566138387
715326,1958,6,4.82718451489654,9.87300198804389e-09,NaN,9.45613123895269,NaN,8.5717800393686,7.51042328469865,NaN,NaN,NaN,-2.6832387698021
715418,1958,9,4.82718451489654,1.0168172663602e-08,NaN,9.5217738071783,NaN,11.9587001366154,8.21288042509023,NaN,NaN,NaN,-3.38569591019369
715510,1958,12,4.82718451489654,1.02290567642349e-08,NaN,9.58779863850455,NaN,2.39508523890157,8.67452810093883,NaN,NaN,NaN,-3.84734358604229
715600,1959,3,4.82718451489654,1.04755433617393e-08,NaN,9.65371978646755,NaN,9.63868333847608,8.37664682354171,NaN,NaN,NaN,-3.54946230864516
715691,1959,6,4.82718451489654,1.08562769073712e-08,NaN,9.72029601302164,NaN,14.5379970273388,9.95922942705766,NaN,NaN,NaN,-5.13204491216112
715783,1959,9,4.82718451489654,1.16761919604783e-08,NaN,9.7884752893139,NaN,30.2098061832007,14.8307797946273,NaN,NaN,NaN,-10.0035952797308
715875,1959,12,6.78542967749119,1.20004252243618e-08,NaN,9.856981432173,NaN,11.1075002871136,17.317026397979,NaN,NaN,NaN,-10.5315967204878
715966,1960,3,7.76455225878851,1.21062034406244e-08,NaN,9.92576666194533,NaN,3.52581560352945,15.5663531959671,NaN,NaN,NaN,-7.8018009371786
716057,1960,6,7.76455225878851,1.20545304679474e-08,NaN,9.99484952118478,NaN,-1.70732213217315,11.0374262815893,NaN,NaN,NaN,-3.27287402280083
716149,1960,9,7.76455225878851,1.22990999956382e-08,NaN,10.0653010158065,NaN,8.11543936418042,5.33485606667274,NaN,NaN,NaN,2.42969619211577
716241,1960,12,7.76455225878851,1.24305150234657e-08,NaN,10.1361628191641,NaN,4.27397217273199,3.58395466046333,NaN,NaN,NaN,4.18059759832518
716331,1961,3,7.76455225878851,1.26262555380786e-08,NaN,10.2069561651915,NaN,6.2987097233991,4.29574886961758,NaN,NaN,NaN,3.46880338917093
716422,1961,6,7.76455225878851,1.29562474337869e-08,NaN,10.2784605839794,NaN,10.4541491248316,7.48031595454542,NaN,NaN,NaN,0.284236304243096
716514,1961,9,7.76455225878851,1.3029578838733e-08,NaN,10.3516889838011,NaN,2.26397049981949,5.93928696696409,NaN,NaN,NaN,1.82526529182442
716606,1961,12,7.76455225878851,1.32210550805193e-08,NaN,10.425273671782,NaN,5.87820202498273,6.35967259249715,NaN,NaN,NaN,1.40487966629137
716696,1962,3,7.76455225878851,1.36528945201691e-08,NaN,10.4986429114062,NaN,13.0652035565935,8.13098530276307,NaN,NaN,NaN,-0.366433043974552
716787,1962,6,7.76455225878851,1.3824000500022e-08,NaN,10.5726432751181,NaN,5.01303162051619,6.69756479003534,NaN,NaN,NaN,1.06698746875317
716879,1962,9,7.76455225878851,1.38199264942669e-08,NaN,10.6483666311502,NaN,-0.117882106707441,6.06579587349667,NaN,NaN,NaN,1.69875638529185
716971,1962,12,7.76455225878851,1.39665885750504e-08,20817.6049008243,10.724437268827,NaN,4.24494532136362,5.63898637431485,NaN,NaN,NaN,2.12556588447366
717061,1963,3,7.76455225878851,1.43495390432846e-08,20731.6989840089,10.8002975372983,NaN,10.9676164992288,5.10254087209398,-1.65063977771985,NaN,NaN,2.66201138669453
717152,1963,6,7.76455225878851,1.44839789609016e-08,21131.0500423364,10.8768134170738,NaN,3.74757453076188,4.77414957326189,7.70512939890875,NaN,NaN,2.99040268552662
717244,1963,9,7.76455225878851,1.46428623191571e-08,21490.8505463307,10.9550760154811,NaN,4.38783731140296,5.95470478972251,6.81084003442203,NaN,NaN,1.809847469066
717336,1963,12,7.76455225878851,1.51154376020664e-08,21718.590840932,11.0336235161163,NaN,12.909369018406,8.22569535031789,4.23883259734652,4.32799999999996,NaN,-0.461143091529379
717427,1964,3,7.76455225878851,1.55757899842106e-08,22119.5942831249,11.1124024525588,NaN,12.182310410419,8.54557722883717,7.38544125868714,6.69455648659813,NaN,-0.781024970048661
717518,1964,6,7.76455225878851,1.58976285417499e-08,22387.8875965544,11.1914277841457,NaN,8.26509751005898,9.76009137174496,4.85168597570816,5.94782347162028,NaN,-1.99553911295645
717610,1964,9,7.76455225878851,1.62887227812058e-08,22885.1994586332,11.271926773382,NaN,9.8403164579891,11.2400186942647,8.8853735741539,6.48810482999033,NaN,-3.47546643547623
717702,1964,12,7.76455225878851,1.66024124287076e-08,23140.7241691962,11.3528078479161,NaN,7.70323497343054,9.83745800675923,4.46620027979003,6.5480000000002,NaN,-2.07290574797072
717792,1965,3,7.76455225878851,1.77919847534171e-08,23278.4844913127,11.4335265041589,NaN,28.6602282606252,14.2284582127329,2.38126207476023,5.23920191914171,NaN,-6.46390595394439
717883,1965,6,7.76455225878851,1.88226709075522e-08,23883.3133206249,11.5149649036734,NaN,23.1719208041078,18.3992370819378,10.3929244970884,6.67961958278127,NaN,-10.6346848231493
717975,1965,9,7.76455225878851,1.89326646876117e-08,24231.8618786583,11.5982778606417,NaN,2.33747443388143,16.2317324809314,5.83752435609381,5.88442509517664,NaN,-8.46718022214284
718067,1965,12,7.76455225878851,1.9348196611435e-08,24441.6956819884,11.6819118731499,NaN,8.77915350384376,16.5384650846263,3.46376690954884,5.62199999999989,NaN,-8.7739128258378
718157,1966,3,7.76455225878851,1.98411306410275e-08,24819.9904281905,11.7653411747433,NaN,10.190800506981,11.5172417018672,6.19097383625206,6.62202016395455,NaN,-3.75268944307869
718248,1966,6,7.76455225878851,2.01425941788927e-08,25370.1398329809,11.8496427503828,NaN,6.07754756156692,7.01241220134649,8.86623073255572,6.22537791300523,NaN,0.752140057442021
718340,1966,9,7.76455225878851,2.06396005579955e-08,25950.3074262868,11.935666836079,NaN,9.86975907251451,9.01582475868148,9.14725101438722,7.09167771025486,NaN,-1.25127249989296
718432,1966,12,7.76455225878851,2.09288416145512e-08,26455.4469892275,12.0213832752125,NaN,5.60555531572379,8.16946940771737,7.78625940175078,8.23900000000005,NaN,-0.404917148928859
718522,1967,3,7.76455225878851,2.14414105996855e-08,26671.7038281821,12.1057799202377,NaN,9.79641385938737,8.06546757647453,3.26975142839558,7.46057257898246,NaN,-0.300915317686019
718613,1967,6,7.76455225878851,2.19389488923637e-08,27109.8560981832,12.189905656196,NaN,9.28182015572327,8.91818947210578,6.57104282236503,6.85733810162408,NaN,-1.15363721331727
718705,1967,9,7.76455225878851,2.27511551067262e-08,27298.0021548677,12.2754054931723,NaN,14.808479993227,10.230597936222,2.77605393408413,5.19336710136898,NaN,-2.46604567743346
718797,1967,12,7.76455225878851,2.47619965277569e-08,27474.7753617224,12.3611556838984,NaN,35.3536585126829,18.3151795202112,2.59027317606348,3.85300000000011,NaN,-10.5506272614227
718888,1968,3,7.76455225878851,2.59737393794385e-08,27665.3591191401,12.4475032338674,NaN,19.5742350633683,21.138202445596,2.77467247551238,3.72550361746293,NaN,-13.3736501868075
718979,1968,6,7.76455225878851,2.67742044014398e-08,27484.7308640775,12.5343518144882,NaN,12.3272973568826,22.0395951182467,-2.61161627123187,1.38279880400931,NaN,-14.2750428594582
719071,1968,9,7.76455225878851,2.77223397597204e-08,27415.4591782435,12.62260407641,NaN,14.164908044545,21.8502516890865,-1.00814792295569,0.430276995032045,NaN,-14.085699430298
719163,1968,12,7.76455225878851,2.7797555552301e-08,27516.5370202722,12.7105986210724,NaN,1.08527336772505,12.2589429375833,1.47475687161131,0.151999999999887,NaN,-4.49439067879474
719253,1969,3,7.76455225878851,2.8193645890047e-08,27567.7982049148,12.7972416178517,NaN,5.69964271859476,8.54673436958355,0.745169126549001,-0.352646476791023,NaN,-0.782182110795033
719344,1969,6,7.76455225878851,2.8953393222967e-08,27968.88013497,12.8834464208177,NaN,10.7789866678887,8.13913567273002,5.81957147355575,1.76152087239558,NaN,-0.374583413941507
719436,1969,9,7.76455225878851,2.87663891958048e-08,28306.5633142696,12.9712629920521,NaN,-2.58351794170903,3.7660942226866,4.82941294281483,3.25037100503258,NaN,3.99845803610191
719528,1969,12,7.76455225878851,2.90996840020523e-08,28483.4681311646,13.0599826689172,NaN,4.63450319021786,4.68432717870218,2.49984167884855,3.51400000000007,NaN,3.08022508008634
719618,1970,3,7.76455225878851,2.96303331512962e-08,29087.7037281287,13.149587330285,NaN,7.2942255896175,5.09578387574317,8.48542170752012,5.51333665429577,NaN,2.66876838304535
719709,1970,6,7.76455225878851,2.9902212760243e-08,29342.830451477,13.2408160238206,NaN,3.67028757400163,3.27705816713512,3.50837901448466,4.91242520214139,NaN,4.48749409165339
719801,1970,9,7.76455225878851,3.03245227400591e-08,29623.6916634683,13.3345155828965,NaN,5.64921376490986,5.4165072079381,3.82868602203541,4.65308463827066,NaN,2.34804505085042
719893,1970,12,7.76455225878851,3.0926244706539e-08,29442.2216684596,13.4285033429176,NaN,7.93710056561025,6.27690907007073,-2.45033599552988,3.36600000000003,NaN,1.48764318871778
719983,1971,3,7.76455225878851,3.14341195249841e-08,29366.8710962689,13.5219302498616,NaN,6.56885209652035,6.08763446727927,-1.02370769487715,0.95974357669985,NaN,1.67691779150924
720074,1971,6,7.76455225878851,3.18522874489886e-08,29814.618414007,13.6162066866917,NaN,5.32119786173268,6.52150629915388,6.09867242949178,1.60784748870849,NaN,1.24304595963463
720166,1971,9,7.76455225878851,3.25871857189753e-08,30384.9666820872,13.7123356111399,NaN,9.22882880752053,7.46149576140631,7.65192779139869,2.56981819574422,NaN,0.303056497382202
720258,1971,12,7.76455225878851,3.31302503301029e-08,30793.9140652586,13.8080550205362,NaN,6.6659897029578,7.12665131016661,5.38354887731305,4.59100000000015,NaN,0.637900948621906
720349,1972,3,7.76455225878851,3.43785372616433e-08,31036.5399536465,13.9027853971934,NaN,15.0712647094751,9.36694833879123,3.15160830641662,5.68555244412718,NaN,-1.60239608000272
720440,1972,6,7.76455225878851,3.43888885990779e-08,31738.386250307,13.9965191608221,NaN,0.120439533023557,7.96363888826383,9.04541933744889,6.45243152062685,NaN,-0.199086629475317
720532,1972,9,7.76455225878851,3.45669194281379e-08,31939.8664463867,14.0915521096656,NaN,2.07079479811813,6.0751908011802,2.53926200898411,5.11733246433378,NaN,1.68936145760831
720624,1972,12,7.76455225878851,3.4946442058906e-08,31864.9263964484,14.1875264393521,NaN,4.39174374860966,5.4819740590757,-0.93851425539458,3.47800000000022,NaN,2.28257819971282
720714,1973,3,7.76455225878851,3.57386081709371e-08,31718.4188141509,14.2845846902828,NaN,9.06720187074637,3.95616282025837,-1.83910774466852,2.19701958247533,NaN,3.80838943853014
720805,1973,6,7.76455225878851,3.73560585400848e-08,32365.062453424,14.3836154957137,NaN,18.1031153917519,8.6282809997137,8.1548029624301,1.97450556614507,NaN,-0.863728740925182
720897,1973,9,7.76455225878851,3.87278509830473e-08,33470.1242676884,14.4851299590764,NaN,14.6888349207447,12.0373224566904,13.6574655569372,4.79105892277383,NaN,-4.27277019790186
720989,1973,12,7.76455225878851,3.96124759177278e-08,33865.0878263534,14.586285202399,NaN,9.13683472979432,13.35195683428,4.72019231845371,6.27700000000002,NaN,-5.58740457549145
721079,1974,3,7.76455225878851,4.12869836188143e-08,33765.9299021924,14.6857534246575,NaN,16.9088920830337,15.5248783649869,-1.17121118562596,6.45527477280179,NaN,-7.76032610619839
721170,1974,6,7.76455225878851,4.36946479449834e-08,35247.701097768,14.7851141552511,NaN,23.3261344388634,16.9680358491166,17.553447511948,8.9066370518901,NaN,-9.2034835903281
721262,1974,9,7.76455225878851,4.53742029313418e-08,35964.7790421973,14.8859360730594,NaN,15.3753840834066,17.1616854010409,8.13758539815535,7.4533776885833,NaN,-9.39713314225237
721354,1974,12,7.76455225878851,4.6634811876532e-08,37044.0036206132,14.9863926940639,NaN,11.1130013421748,17.727586564872,12.0031275837911,9.38699999999993,NaN,-9.96303430608347
