Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,24.82
712678,1951,3,NaN,NaN,NaN,24.8943797202037
712769,1951,6,NaN,NaN,NaN,25.0076803952576
712861,1951,9,NaN,NaN,NaN,25.1238160909049
712953,1951,12,NaN,NaN,NaN,25.2406879650723
713044,1952,3,NaN,NaN,NaN,25.3582610652137
713135,1952,6,NaN,NaN,NaN,25.4765421275818
713227,1952,9,NaN,NaN,NaN,25.5973509445428
713319,1952,12,NaN,NaN,NaN,25.7190359422244
713409,1953,3,NaN,NaN,NaN,25.8410139028288
713500,1953,6,NaN,NaN,NaN,25.9648823097314
713592,1953,9,NaN,NaN,NaN,26.0916076706912
713684,1953,12,NaN,NaN,NaN,26.2178825349517
713774,1954,3,NaN,NaN,NaN,26.3420691510075
713865,1954,6,NaN,NaN,NaN,26.4659028264276
713957,1954,9,NaN,NaN,NaN,26.5917095900625
714049,1954,12,NaN,NaN,NaN,26.7176822073265
714139,1955,3,NaN,NaN,NaN,26.843431397759
714230,1955,6,NaN,NaN,NaN,26.9703881909517
714322,1955,9,NaN,NaN,NaN,27.0995160018451
714414,1955,12,NaN,NaN,NaN,27.2274585868732
714505,1956,3,NaN,NaN,NaN,27.3536002767125
714596,1956,6,NaN,NaN,NaN,27.478410601482
714688,1956,9,NaN,NaN,NaN,27.6039241651757
714780,1956,12,NaN,NaN,NaN,27.7284333491615
714870,1957,3,NaN,NaN,NaN,27.851263755033
714961,1957,6,NaN,NaN,NaN,27.9738686087106
715053,1957,9,NaN,NaN,NaN,28.0975561049152
715145,1957,12,NaN,NaN,NaN,28.2195101109556
715235,1958,3,NaN,NaN,NaN,28.3384452319956
715326,1958,6,NaN,NaN,NaN,28.4558681542771
715418,1958,9,NaN,NaN,NaN,28.5739311661229
715510,1958,12,NaN,NaN,NaN,28.6909239844256
715600,1959,3,NaN,NaN,NaN,28.8066850452439
715691,1959,6,NaN,NaN,NaN,28.9226979742173
715783,1959,9,NaN,NaN,NaN,29.0392854031367
715875,1959,12,NaN,NaN,NaN,29.1527430712757
715966,1960,3,NaN,NaN,NaN,29.2618677259485
716057,1960,6,NaN,NaN,NaN,29.3672167507515
716149,1960,9,NaN,NaN,NaN,29.4717245509671
716241,1960,12,NaN,NaN,NaN,29.5752828967134
716331,1961,3,NaN,NaN,NaN,29.6783918151262
716422,1961,6,NaN,NaN,NaN,29.7819300177536
716514,1961,9,NaN,NaN,NaN,29.8859288440824
716606,1961,12,NaN,NaN,NaN,29.9869070165932
716696,1962,3,NaN,NaN,NaN,30.0831301407601
716787,1962,6,NaN,NaN,NaN,30.1763809677575
716879,1962,9,NaN,NaN,NaN,30.2688824022073
716971,1962,12,NaN,NaN,NaN,30.3597429328869
717061,1963,3,NaN,NaN,NaN,30.4489863681838
717152,1963,6,NaN,NaN,NaN,30.5374215290312
717244,1963,9,NaN,NaN,NaN,30.6257366186291
717336,1963,12,NaN,NaN,NaN,30.7116968559626
717427,1964,3,NaN,NaN,NaN,30.794895571227
717518,1964,6,NaN,NaN,NaN,30.8756356036893
717610,1964,9,NaN,NaN,NaN,30.9555598598887
717702,1964,12,NaN,NaN,NaN,31.0339493946252
717792,1965,3,NaN,NaN,NaN,31.110573882215
717883,1965,6,NaN,NaN,NaN,31.186144845841
717975,1965,9,NaN,NaN,NaN,31.2616282553513
718067,1965,12,NaN,NaN,NaN,31.3355317221728
718157,1966,3,NaN,NaN,NaN,31.407329281112
718248,1966,6,NaN,NaN,NaN,31.4779460827929
718340,1966,9,NaN,NaN,NaN,31.5483643880839
718432,1966,12,NaN,NaN,NaN,31.6172175831291
718522,1967,3,NaN,NaN,NaN,31.683916989873
718613,1967,6,NaN,NaN,NaN,31.7492000557298
718705,1967,9,NaN,NaN,NaN,31.8143596628629
718797,1967,12,NaN,NaN,NaN,31.8785909829574
718888,1968,3,NaN,NaN,NaN,31.9421287533216
718979,1968,6,NaN,NaN,NaN,32.0047981491269
719071,1968,9,NaN,NaN,NaN,32.0675126483461
719163,1968,12,NaN,NaN,NaN,32.1294011605488
719253,1969,3,NaN,NaN,NaN,32.1898250910929
719344,1969,6,NaN,NaN,NaN,32.2492177443924
719436,1969,9,NaN,NaN,NaN,32.3091996619701
719528,1969,12,NaN,NaN,NaN,32.3695756998264
719618,1970,3,NaN,NaN,NaN,32.430543687133
719709,1970,6,NaN,NaN,NaN,32.4924882608089
719801,1970,9,NaN,NaN,NaN,32.5558291731615
719893,1970,12,NaN,NaN,NaN,32.6189446461593
719983,1971,3,NaN,NaN,NaN,32.680982983958
720074,1971,6,NaN,NaN,NaN,32.742745321174
720166,1971,9,NaN,NaN,NaN,32.8055558802972
720258,1971,12,NaN,NaN,NaN,32.8687112473174
720349,1972,3,NaN,NaN,NaN,32.9325721363266
720440,1972,6,NaN,NaN,NaN,32.9970483593494
720532,1972,9,NaN,NaN,NaN,33.0626926601694
720624,1972,12,NaN,NaN,NaN,33.1281457965718
720714,1973,3,NaN,NaN,NaN,33.1924627102652
720805,1973,6,NaN,NaN,NaN,33.2563219775045
720897,1973,9,NaN,NaN,NaN,33.3214498513924
720989,1973,12,NaN,NaN,NaN,33.3875513108576
721079,1974,3,NaN,NaN,NaN,33.4549049929679
721170,1974,6,NaN,NaN,NaN,33.5241406578639
721262,1974,9,NaN,NaN,NaN,33.5953810925182
721354,1974,12,NaN,NaN,NaN,33.666371655283
721444,1975,3,NaN,NaN,NaN,33.7357978125002
721535,1975,6,NaN,NaN,NaN,33.8046627895862
721627,1975,9,NaN,NaN,NaN,33.8748250667776
721719,1975,12,NaN,NaN,NaN,33.9458970191117
721810,1976,3,NaN,NaN,NaN,34.0186366527362
721901,1976,6,NaN,NaN,NaN,34.0928985262532
721993,1976,9,NaN,NaN,NaN,34.1689287705261
722085,1976,12,NaN,NaN,NaN,34.2447393890347
722175,1977,3,NaN,NaN,NaN,34.3190309492189
722266,1977,6,NaN,NaN,NaN,34.3928210732897
722358,1977,9,NaN,NaN,NaN,34.4680325168465
722450,1977,12,NaN,NaN,NaN,34.5441870561536
722540,1978,3,NaN,NaN,NaN,34.6214855078036
722631,1978,6,NaN,NaN,NaN,34.7006587058812
722723,1978,9,NaN,NaN,NaN,34.7819782673754
722815,1978,12,NaN,NaN,NaN,34.8630114004062
722905,1979,3,NaN,NaN,NaN,34.9424916818926
722996,1979,6,NaN,NaN,NaN,35.0216476829981
723088,1979,9,NaN,NaN,NaN,35.1021054037447
723180,1979,12,NaN,NaN,NaN,35.1828346217692
723271,1980,3,NaN,NaN,NaN,35.2640613620577
723362,1980,6,NaN,NaN,NaN,35.3455723283727
723454,1980,9,NaN,NaN,NaN,35.4285832376133
723546,1980,12,NaN,NaN,NaN,35.5119691258037
723636,1981,3,NaN,NaN,NaN,35.5952911155399
723727,1981,6,NaN,NaN,NaN,35.6795785598325
723819,1981,9,NaN,NaN,NaN,35.7656323086237
723911,1981,12,NaN,NaN,172812.348859992,35.851378671132
724001,1982,3,NaN,0.0915390940086764,170338.275946287,35.9358904109589
724092,1982,6,NaN,0.109969784067462,167369.903014145,36.0203470319635
724184,1982,9,NaN,0.115830559820428,165421.485625888,36.1060456621005
724276,1982,12,NaN,0.118974995580153,164573.78265816,36.1914337899543
724366,1983,3,NaN,0.129199409256273,165635.214158017,36.2764280453415
724457,1983,6,NaN,0.138494330779276,167768.42521447,36.362494712652
724549,1983,9,NaN,0.139136564740166,170766.845811281,36.4491606460792
724641,1983,12,NaN,0.142300095011481,173712.798210972,36.532787020126
724732,1984,3,NaN,0.148541327244184,176690.174487946,36.6121963242929
724823,1984,6,NaN,0.156030805923239,179060.019400325,36.6885037125446
724915,1984,9,NaN,0.156677996187696,181481.76049491,36.7633606561177
725007,1984,12,NaN,0.16049511462255,183542.602633311,36.8360108177841
725097,1985,3,NaN,0.167090804261197,186161.874721992,36.9064160650054
725188,1985,6,NaN,0.175885057110688,188364.430502444,36.9755096079754
725280,1985,9,NaN,0.183440140775234,190700.464465015,37.0436397447456
725372,1985,12,NaN,0.189153170152681,192950.662272148,37.1087995389779
725462,1986,3,NaN,0.199943787235437,195829.44867773,37.1704944876623
725553,1986,6,NaN,0.213590744130389,197695.333291964,37.2302697997637
725645,1986,9,NaN,0.214824678502745,199905.12866404,37.2883124167679
725737,1986,12,NaN,0.224578279889791,201063.189803049,37.342607783424
725827,1987,3,NaN,0.240619585585803,202986.278919643,37.392233108573
725918,1987,6,NaN,0.268210631378066,203574.54773993,37.4384194284512
726010,1987,9,NaN,0.282759322196487,204743.735143661,37.4828640993224
726102,1987,12,NaN,0.298448600949619,205297.604382219,37.5257704017759
726193,1988,3,NaN,0.359509747923915,207641.411040678,37.5679788125458
726284,1988,6,NaN,0.430040270639241,209115.207875712,37.6092627594701
726376,1988,9,NaN,0.461713699842615,211838.87519304,37.6495830048726
726468,1988,12,NaN,0.504489155751575,213590.706547435,37.6877062419235
726558,1989,3,NaN,0.63248898650645,216462.963586282,37.7228056283029
726649,1989,6,NaN,0.800978542329125,217288.592668448,37.755503171782
726741,1989,9,NaN,1.32734510793145,217603.43816347,37.7874195176048
726833,1989,12,NaN,3.30644403564233,214196.661696143,37.8192096767919
726923,1990,3,NaN,8.23933366056427,209952.24108334,37.8514986733707
727014,1990,6,NaN,10.1351670897605,203540.106059637,37.8841766574218
727106,1990,9,NaN,11.1937774769343,196672.807281151,37.9171755342695
727198,1990,12,36.8891674035266,12.9139376828847,189700.318854479,37.949401842301
727288,1991,3,37.1503940086468,16.2814418132133,185054.937205483,37.9802496048008
727379,1991,6,37.1503940086468,18.1887036590298,181098.018600767,38.0102166507345
727471,1991,9,36.2961124081185,19.3051098015239,178550.946414418,38.0401626962984
727563,1991,12,36.0331207583691,21.182657380055,176473.430761528,38.0699758197521
727654,1992,3,35.8354357598998,23.9186523152966,177067.190982619,38.1001790543884
727745,1992,6,35.7577737962154,26.0943217582622,177731.165272023,38.1308185997426
727837,1992,9,35.4294754951859,28.0649303584102,179146.14329343,38.1614460420341
727929,1992,12,35.2794467017047,30.8590475856999,180986.790490459,38.1906160350584
728019,1993,3,35.1823692470992,33.8183889443579,182782.647555676,38.2175374898703
728110,1993,6,35.0556304900318,36.0574051424187,184302.334770739,38.2430415778438
728202,1993,9,34.7767432561312,37.8928302818889,186362.513395767,38.2679075776721
728294,1993,12,34.6055668516506,41.3667828794351,187808.129633979,38.2920154274757
728384,1994,3,34.2738934414393,44.8332252442582,189601.825746299,38.3155858739498
728475,1994,6,33.6889150743597,47.8108522271114,191402.886706182,38.3389213112916
728567,1994,9,32.6259185806991,50.8580301249192,194026.488597458,38.3618038406034
728659,1994,12,31.7843034244117,55.1763891952505,197661.478968264,38.3831869388958
728749,1995,3,31.4573892011767,59.6616050317887,203396.926476978,38.4027450706632
728840,1995,6,30.3638334235406,63.1019249455595,207136.397159869,38.4212725686287
728932,1995,9,28.2212810243866,64.1265760900131,236351.759360883,38.4388791420656
729024,1995,12,26.4170799982236,67.5760388181095,232538.21844822,38.4549387567398
729115,1996,3,24.8396447026293,71.9391323758754,239717.290863383,38.4695138378493
729206,1996,6,24.3946480643638,75.5678600482665,245350.647681437,38.4831213799883
729298,1996,9,24.0906612116136,77.08426534381,249361.397491692,38.4956983352649
729390,1996,12,23.1839337467662,80.3133203014023,237164.402439187,38.5066679968369
729480,1997,3,22.9304077865085,84.5513528281946,254489.799948797,38.5158872476031
729571,1997,6,23.0355190338563,86.9408992029046,258476.440617531,38.5240122368505
729663,1997,9,23.3782661140588,88.2728150555622,258490.362784784,38.5313630252962
729755,1997,12,23.7268772060443,91.1276666303411,262053.427776477,38.5379277806884
729845,1998,3,23.9625673228714,96.2199015480785,269066.600292183,38.5438857400862
729936,1998,6,21.9999990267132,98.2163058194475,268862.777791759,38.5494705357784
730028,1998,9,18.666666159245,98.0814490199249,271785.973784489,38.5545522160591
730120,1998,12,16.4999996122463,99.4587524419989,271705.491333542,38.5587751146802
730210,1999,3,12.999999782811,102.105930887572,272597.769763751,38.5622523206498
730301,1999,6,12.9999995655234,104.358987713591,279593.660007319,38.5655800028391
730393,1999,9,13.3333328072674,105.240618723613,286544.643312462,38.5683324510754
730485,1999,12,15.6666658190638,108.636530437867,292241.128889659,38.5698164923155
730576,2000,3,17.1666657256685,112.554890067869,289932.774234719,38.5695549803473
730667,2000,6,17.4999990943269,114.840599878305,293338.421999306,38.5677406672343
730759,2000,9,18.4999989473099,116.603861808546,295104.344211336,38.5648056728675
730851,2000,12,18.9999989373814,118.628347623129,305591.296375239,38.5612489533679
730941,2001,3,18.3333323915135,120.163038450742,299909.530858891,38.5568010920095
731032,2001,6,16.499999239981,122.448748245773,297934.380256723,38.550126091361
731124,2001,9,14.8333326757802,122.318136327365,300606.871732041,38.5417916915719
