Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,1.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,1.47658260353658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,1.48652440123827,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,1.49660553085969,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,1.50664322279391,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,1.51663480674018,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,1.52657773574278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,1.53662644969939,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,1.54664558703359,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,1.55656942276361,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,1.56650382473437,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,1.57658952429548,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,1.58663872495536,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,1.59657534246575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,1.60651141552511,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,1.61659360730594,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,1.62663926940639,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,1.63646664211578,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,1.64607719172911,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,1.655963811557,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,1.66636566972971,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,1.67782948552048,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,1.690504496973,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,1.70366759592735,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,1.71609785920776,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714870,1957,3,NaN,NaN,NaN,1.72694018793107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714961,1957,6,NaN,NaN,NaN,1.7366806350618,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715053,1957,9,NaN,NaN,NaN,1.74628331642887,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715145,1957,12,NaN,NaN,NaN,1.75640584258819,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715235,1958,3,NaN,NaN,NaN,1.76775550797123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715326,1958,6,NaN,NaN,NaN,1.78041798253318,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715418,1958,9,NaN,NaN,NaN,1.79362462160323,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715510,1958,12,NaN,NaN,NaN,1.80609017006683,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715600,1959,3,NaN,NaN,NaN,1.81694767252681,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715691,1959,6,NaN,NaN,NaN,1.82669401350563,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715783,1959,9,NaN,NaN,NaN,1.83629559382416,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715875,1959,12,NaN,NaN,NaN,1.84640991139905,NaN,NaN,NaN,NaN,NaN,NaN,NaN
715966,1960,3,NaN,NaN,NaN,1.85768962295056,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716057,1960,6,NaN,NaN,NaN,1.86995174060029,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716149,1960,9,NaN,NaN,NaN,1.88286972834209,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716241,1960,12,NaN,NaN,NaN,1.89575192628123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716331,1961,3,NaN,NaN,NaN,1.90809918198857,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716422,1961,6,NaN,NaN,NaN,1.92017999336097,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716514,1961,9,NaN,NaN,NaN,1.9325845360291,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716606,1961,12,NaN,NaN,NaN,1.9455149999615,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716696,1962,3,NaN,NaN,NaN,1.95940777395332,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716787,1962,6,NaN,NaN,NaN,1.97454985981216,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716879,1962,9,NaN,NaN,NaN,1.99026606683933,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716971,1962,12,NaN,NaN,NaN,2.00524469499463,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717061,1963,3,NaN,NaN,NaN,2.01860028018519,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717152,1963,6,NaN,NaN,NaN,2.03082725567421,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717244,1963,9,NaN,NaN,NaN,2.04293901868847,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717336,1963,12,NaN,NaN,NaN,2.0555652963289,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717427,1964,3,NaN,0.332097978931007,NaN,2.06949663238008,NaN,NaN,NaN,NaN,NaN,NaN,NaN
717518,1964,6,NaN,0.333311719076021,NaN,2.08465289253209,NaN,1.4619060903903,NaN,NaN,NaN,NaN,NaN
717610,1964,9,NaN,0.338011071973174,NaN,2.10031720987205,4.77328230856541,5.63958916317819,NaN,NaN,NaN,NaN,NaN
717702,1964,12,NaN,0.342833963957095,4555229.84363881,2.11525396206012,4.7960942615215,5.70737751963799,NaN,NaN,NaN,NaN,NaN
717792,1965,3,NaN,0.345162359001195,4614438.59455542,2.12859096104155,5.11564577109289,2.71664454387695,3.93389327819487,5.19918888389776,NaN,NaN,NaN
717883,1965,6,NaN,0.348086409250435,4702241.99172836,2.14081059804242,4.76658570600051,3.38860848871497,4.4326944805217,7.61118782913616,NaN,NaN,NaN
717975,1965,9,NaN,0.350232786580437,4792027.91805581,2.15292373198303,5.12679595602082,2.4664879443277,3.61577345260231,7.63771209439108,NaN,NaN,NaN
718067,1965,12,NaN,0.354058937435806,4830875.37837848,2.16556023021255,4.50874833197676,4.36983743609704,3.27417194876168,3.24267395657643,6.0511882869005,NaN,NaN
718157,1966,3,NaN,0.358413905888153,4817471.05688353,2.17927265819419,4.95998712924495,4.92004916908701,3.83922132335202,-1.1098875831027,4.39993854436946,NaN,NaN
718248,1966,6,NaN,0.360360226358364,4838676.48629345,2.19401011474376,4.80939336818623,2.1721483884819,3.52608340393392,1.76071047730505,2.90147752508452,NaN,NaN
718340,1966,9,NaN,0.357954507303135,4891711.36116213,2.20948322363103,5.15211287425345,-2.67034914428848,2.20473953854838,4.38424639621326,2.08019328791325,NaN,NaN
718432,1966,12,NaN,0.362373165751667,4921095.82246283,2.2249046075154,4.3626877066339,4.93767599891061,2.34826110479645,2.40279600583131,1.86757962103843,NaN,NaN
718522,1967,3,NaN,0.364274131081911,4972391.5829,2.23986504597844,4.96152741755482,2.09835110312417,1.63504403637344,4.16945837169192,3.21580605648082,NaN,NaN
718613,1967,6,NaN,0.366516201293366,5138316.2264784,2.25477524160794,4.73775760853041,2.46195929949408,1.70828367969776,13.3476731115882,6.19259710860489,NaN,NaN
718705,1967,9,NaN,0.364616669602587,5285975.95494999,2.26990218572491,5.22257956532701,-2.07306709398011,1.86117569789654,11.4947949455252,8.05984991097652,NaN,NaN
718797,1967,12,NaN,0.363620193951233,5367112.02741194,2.28496401937462,4.61754464353168,-1.09317618685958,0.344128185369129,6.13972315829187,9.06335135587524,NaN,NaN
718888,1968,3,NaN,0.368353453267021,5414393.83197638,2.29995221011027,4.47514036198627,5.20681677698383,1.11984954105708,3.5238172278091,8.88912793184713,NaN,NaN
718979,1968,6,NaN,0.368976250553697,5505320.92637762,2.31486660361416,4.84326926038988,0.676304002204461,0.671197958412108,6.71743483927918,7.14250901896602,NaN,NaN
719071,1968,9,NaN,0.363931592593072,5556678.18175038,2.32993967454909,5.35461709936032,-5.46881589593295,-0.187889656899358,3.73146314698545,5.12113995802228,NaN,NaN
719163,1968,12,NaN,0.368073194511735,5596236.45043938,2.34496838055038,4.30516279316967,4.55206638055614,1.22462960929499,2.84761991931913,4.2690449138608,NaN,NaN
719253,1969,3,NaN,0.376418678046202,5600496.69838305,2.35985413414542,4.26749553667766,9.06937387335375,2.18953418453067,0.304508072981037,3.43718747069317,NaN,NaN
719344,1969,6,NaN,0.373927488935944,5688132.29857799,2.37475573710156,5.6541175170669,-2.64725345000227,1.34188538552742,6.25913056748982,3.32063061618206,NaN,NaN
719436,1969,9,NaN,0.378318209775591,5751778.66656366,2.38988428644322,4.54887788391948,4.69686874547881,3.95311027548092,4.47573049604205,3.51109922928485,NaN,NaN
719528,1969,12,NaN,0.37370950990707,5855097.89190075,2.40495808743304,5.14150350715496,-4.87282900947741,1.53130287110746,7.18520174899703,4.62563445547495,NaN,NaN
719618,1970,3,NaN,0.369785887001805,5887166.52502263,2.41974868497936,4.88950281544829,-4.19965005037318,-1.76207808784203,2.19081789674175,5.11865004263537,NaN,NaN
