Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,16.24
712678,1951,3,NaN,NaN,NaN,16.2857675717272
712769,1951,6,NaN,NaN,NaN,16.3539489583705
712861,1951,9,NaN,NaN,NaN,16.4218204655574
712953,1951,12,NaN,NaN,NaN,16.4880880457243
713044,1952,3,NaN,NaN,NaN,16.5525125859565
713135,1952,6,NaN,NaN,NaN,16.6149441014489
713227,1952,9,NaN,NaN,NaN,16.6771305984316
713319,1952,12,NaN,NaN,NaN,16.7391301978072
713409,1953,3,NaN,NaN,NaN,16.8013169258404
713500,1953,6,NaN,NaN,NaN,16.8641796677413
713592,1953,9,NaN,NaN,NaN,16.9276795399182
713684,1953,12,NaN,NaN,NaN,16.9896415035876
713774,1954,3,NaN,NaN,NaN,17.0487242201258
713865,1954,6,NaN,NaN,NaN,17.1057864218552
713957,1954,9,NaN,NaN,NaN,17.162926309467
714049,1954,12,NaN,NaN,NaN,17.2204660812421
714139,1955,3,NaN,NaN,NaN,17.2787862353826
714230,1955,6,NaN,NaN,NaN,17.3379078208339
714322,1955,9,NaN,NaN,NaN,17.3985248929122
714414,1955,12,NaN,NaN,NaN,17.4594999957325
714505,1956,3,NaN,NaN,NaN,17.5210414338936
714596,1956,6,NaN,NaN,NaN,17.5834109614238
714688,1956,9,NaN,NaN,NaN,17.646768424697
714780,1956,12,NaN,NaN,NaN,17.7093020273462
714870,1957,3,NaN,NaN,NaN,17.7700729108786
714961,1957,6,NaN,NaN,NaN,17.830207706689
715053,1957,9,NaN,NaN,NaN,17.8906354977112
715145,1957,12,NaN,NaN,NaN,17.9501994642694
715235,1958,3,NaN,NaN,NaN,18.0084644728353
715326,1958,6,NaN,NaN,NaN,18.0661255605366
715418,1958,9,NaN,NaN,NaN,18.1240121085432
715510,1958,12,NaN,NaN,NaN,18.1810431865525
715600,1959,3,NaN,NaN,NaN,18.2370995162956
715691,1959,6,NaN,NaN,NaN,18.2931131291005
715783,1959,9,NaN,NaN,NaN,18.3489821079305
715875,1959,12,NaN,NaN,NaN,18.4025865511096
715966,1960,3,NaN,NaN,NaN,18.4532919900533
716057,1960,6,NaN,NaN,NaN,18.5017220564655
716149,1960,9,NaN,NaN,NaN,18.5490256764353
716241,1960,12,NaN,NaN,NaN,18.5948615325762
716331,1961,3,NaN,NaN,NaN,18.6393493479501
716422,1961,6,NaN,NaN,NaN,18.6830794100379
716514,1961,9,NaN,NaN,NaN,18.7260713854748
716606,1961,12,NaN,NaN,NaN,18.7668343041602
716696,1962,3,NaN,NaN,NaN,18.8044800655283
716787,1962,6,NaN,NaN,NaN,18.8396702658825
716879,1962,9,NaN,NaN,NaN,18.8740890263529
716971,1962,12,NaN,NaN,NaN,18.9083723086563
717061,1963,3,NaN,NaN,NaN,18.9428989062501
717152,1963,6,NaN,NaN,NaN,18.9773313947931
717244,1963,9,NaN,NaN,NaN,19.0124125333888
717336,1963,12,NaN,NaN,NaN,19.0479485095559
717427,1964,3,NaN,NaN,NaN,19.0840823456485
717518,1964,6,NaN,NaN,NaN,19.1205166344277
717610,1964,9,NaN,NaN,NaN,19.1581181968794
717702,1964,12,NaN,NaN,NaN,19.1967860251268
717792,1965,3,NaN,NaN,NaN,19.2364292328537
717883,1965,6,NaN,NaN,NaN,19.2773034725207
717975,1965,9,NaN,NaN,NaN,19.3202344526908
718067,1965,12,NaN,NaN,NaN,19.3647494598879
718157,1966,3,NaN,NaN,NaN,19.4107759564044
718248,1966,6,NaN,NaN,NaN,19.458925768486
718340,1966,9,NaN,NaN,NaN,19.5097548574482
718432,1966,12,NaN,NaN,NaN,19.562164933499
718522,1967,3,NaN,NaN,NaN,19.6158419745631
718613,1967,6,NaN,NaN,NaN,19.6717968408841
718705,1967,9,NaN,NaN,NaN,19.7303856540818
718797,1967,12,NaN,NaN,NaN,19.7899384099329
718888,1968,3,NaN,NaN,NaN,19.8503353285747
718979,1968,6,NaN,NaN,NaN,19.912166385362
719071,1968,9,NaN,NaN,NaN,19.9756403588646
719163,1968,12,NaN,NaN,NaN,20.0389316926655
719253,1969,3,NaN,NaN,NaN,20.1011852760609
719344,1969,6,NaN,NaN,NaN,20.1636537681742
719436,1969,9,NaN,NaN,NaN,20.226916778147
719528,1969,12,NaN,NaN,NaN,20.2893101400077
719618,1970,3,NaN,NaN,NaN,20.3501086612903
719709,1970,6,NaN,NaN,NaN,20.4102535491803
719801,1970,9,NaN,NaN,NaN,20.470660155929
719893,1970,12,NaN,NaN,NaN,20.5302027523315
719983,1971,3,NaN,NaN,NaN,20.5883456547706
720074,1971,6,NaN,NaN,NaN,20.6456509196447
720166,1971,9,NaN,NaN,NaN,20.7033236920659
720258,1971,12,NaN,NaN,NaN,20.7607441205046
720349,1972,3,NaN,NaN,NaN,20.8182788018891
720440,1972,6,NaN,NaN,NaN,20.875830475158
720532,1972,9,NaN,NaN,NaN,20.9338360644432
720624,1972,12,NaN,NaN,NaN,20.9910303579351
720714,1973,3,NaN,NaN,NaN,21.0466607277582
720805,1973,6,NaN,NaN,NaN,21.1014492439197
720897,1973,9,NaN,NaN,NaN,21.1566071848641
720989,1973,12,NaN,NaN,NaN,21.2115616318548
721079,1974,3,NaN,NaN,NaN,21.2661643835616
721170,1974,6,NaN,NaN,NaN,21.3208127853881
721262,1974,9,NaN,NaN,NaN,21.3762648401826
721354,1974,12,NaN,NaN,NaN,21.4315159817352
721444,1975,3,NaN,NaN,NaN,21.4862985111845
721535,1975,6,NaN,NaN,NaN,21.5413485831619
721627,1975,9,NaN,NaN,NaN,21.597041958257
721719,1975,12,NaN,NaN,NaN,21.6518535820671
721810,1976,3,NaN,NaN,NaN,21.7053635277989
721901,1976,6,NaN,NaN,NaN,21.7577102905692
721993,1976,9,NaN,NaN,NaN,21.8101521656291
722085,1976,12,NaN,NaN,NaN,21.8624377253887
722175,1977,3,NaN,NaN,NaN,21.9146163465023
722266,1977,6,NaN,NaN,NaN,21.9671519136392
722358,1977,9,NaN,NaN,NaN,22.0203301114176
722450,1977,12,NaN,NaN,NaN,22.0726726564534
722540,1978,3,NaN,NaN,NaN,22.1238063680361
722631,1978,6,NaN,NaN,NaN,22.174838724637
722723,1978,9,NaN,NaN,NaN,22.2256595594989
722815,1978,12,NaN,NaN,NaN,22.2742559758459
722905,1979,3,NaN,NaN,NaN,22.3195703554551
722996,1979,6,NaN,NaN,NaN,22.3626190113234
723088,1979,9,NaN,NaN,NaN,22.4048241601631
723180,1979,12,NaN,NaN,NaN,22.4461896353838
723271,1980,3,NaN,NaN,NaN,22.4876416375516
723362,1980,6,NaN,NaN,NaN,22.5292574942257
723454,1980,9,NaN,NaN,NaN,22.570149230201
723546,1980,12,NaN,NaN,NaN,22.6080537002385
723636,1981,3,NaN,NaN,NaN,22.6419877152715
723727,1981,6,NaN,NaN,NaN,22.6735862090483
723819,1981,9,NaN,NaN,NaN,22.7035082511815
723911,1981,12,NaN,NaN,150660.346045774,22.7311556119731
724001,1982,3,NaN,NaN,152189.275648892,22.7563172145746
724092,1982,6,NaN,NaN,153279.83996423,22.779458932427
724184,1982,9,NaN,NaN,155117.009656121,22.8015552335478
724276,1982,12,NaN,NaN,156596.224647141,22.8228964258999
724366,1983,3,NaN,NaN,158634.043801107,22.8437947657884
724457,1983,6,NaN,NaN,160832.861073495,22.8642142385693
724549,1983,9,NaN,NaN,163702.641200731,22.8843192638306
724641,1983,12,NaN,NaN,166054.494944647,22.9036645612193
724732,1984,3,NaN,NaN,170206.740423985,22.9218978572363
724823,1984,6,NaN,NaN,172917.407458747,22.938787689214
724915,1984,9,NaN,NaN,175856.64584615,22.9556870601792
725007,1984,12,NaN,NaN,175955.687559502,22.9736312910696
725097,1985,3,NaN,NaN,178678.793983234,22.9933413466989
725188,1985,6,NaN,NaN,175770.928296889,23.0146825869908
725280,1985,9,NaN,NaN,176688.626388742,23.0376953936722
725372,1985,12,NaN,NaN,175783.995199121,23.0617640639778
725462,1986,3,NaN,NaN,176687.864516492,23.0868916415135
725553,1986,6,NaN,NaN,177621.00194318,23.1138797587972
725645,1986,9,NaN,NaN,178853.384246178,23.1423112589801
725737,1986,12,NaN,NaN,179955.927712223,23.170648492736
725827,1987,3,NaN,NaN,180185.596279939,23.1982156067694
725918,1987,6,NaN,NaN,180497.96290054,23.2259393437175
726010,1987,9,NaN,NaN,181164.929834919,23.2539054092551
726102,1987,12,NaN,NaN,181433.102124897,23.2810937974932
726193,1988,3,NaN,NaN,182439.646738819,23.3073842831842
726284,1988,6,NaN,NaN,182033.377730487,23.3332101242924
726376,1988,9,NaN,NaN,182300.532029651,23.3585160942335
726468,1988,12,NaN,NaN,180525.711077406,23.3823530187578
726558,1989,3,NaN,NaN,179101.858570993,23.4052895831871
726649,1989,6,NaN,NaN,176111.435674079,23.4289906112814
726741,1989,9,NaN,NaN,173074.358333785,23.4507313975784
726833,1989,12,NaN,NaN,170074.560677688,23.4663586716265
726923,1990,3,NaN,0.0274235561265055,170700.245920279,23.4750818777928
727014,1990,6,NaN,0.0277791869528475,168150.773717989,23.48190019181
727106,1990,9,NaN,0.027880286193498,165467.464320628,23.4870630408714
727198,1990,12,NaN,0.0338659104855337,160648.955893275,23.4896860746343
727288,1991,3,NaN,0.0471466596841805,158274.62829747,23.4886522074639
727379,1991,6,NaN,0.0664037460152124,152262.941345477,23.4831252320572
727471,1991,9,NaN,0.0826726637793133,146964.969903869,23.4742454630773
727563,1991,12,NaN,0.110894255812756,139780.043267543,23.4636668044889
727654,1992,3,NaN,0.166673402399504,136721.878314706,23.4510870199182
727745,1992,6,NaN,0.211163912158362,132858.389747235,23.4334804038914
727837,1992,9,NaN,0.245361841304513,130230.6911178,23.4117506126018
727929,1992,12,NaN,0.330358636054122,127530.149092025,23.3880653194894
728019,1993,3,NaN,0.451545472272084,128720.651997538,23.3631162937783
728110,1993,6,NaN,0.661713327905088,128631.843432717,23.3347306500425
728202,1993,9,NaN,0.934300704636713,128451.188386385,23.3033467182672
728294,1993,12,27.844464216766,1.34766402236785,129464.304542873,23.2708981101686
728384,1994,3,28.1419438870428,1.65079712201712,131415.238360632,23.2383830731349
728475,1994,6,28.2703328781882,1.95924252131688,132137.376926331,23.2046282160581
728567,1994,9,27.7529153297335,2.10931498689065,133400.628391198,23.1690658400962
728659,1994,12,26.0911879260536,2.33077147907664,134542.234726957,23.1324516855101
728749,1995,3,25.2559301591276,2.46225089570964,136602.149445877,23.0947198943786
728840,1995,6,23.1604113274392,2.55754027093074,133659.086353211,23.0549025830185
728932,1995,9,22.3577736545887,2.6886876689686,132109.17658139,23.0136500540028
729024,1995,12,21.7079648350687,2.93504556581725,125030.092992636,22.9732138148722
729115,1996,3,22.1401185859772,3.13890506533678,140148.50558551,22.9348295594445
729206,1996,6,22.1955211893473,3.3812787374163,139409.228169767,22.8980951885232
729298,1996,9,22.1697541576285,3.84643697677667,135100.476766998,22.8611370486892
729390,1996,12,22.1588257712463,4.39659201044238,133093.181460343,22.8231147709685
729480,1997,3,25.0182701052161,6.76654169613767,135062.515187813,22.7832293259712
729571,1997,6,25.4873658147568,9.33769473115457,129107.546042388,22.7413325771037
729663,1997,9,22.9382956077943,10.0146809191237,129916.505784666,22.6977872813639
729755,1997,12,22.8386976455731,11.5087651977347,126939.50559881,22.6543911298605
729845,1998,3,23.0384391889139,13.3757065079176,121987.409769229,22.6120547945205
729936,1998,6,22.9310639398217,14.6835282791901,124147.61704091,22.5698264840183
730028,1998,9,22.2784516756338,15.3127037700703,131013.086382289,22.5269771689498
730120,1998,12,22.2393471052477,16.552793720971,133659.586025483,22.4842831050228
730210,1999,3,22.3269980286684,18.1232423062829,130029.50886564,22.4419214888602
730301,1999,6,22.4766162833707,21.0333864608787,128213.344835838,22.3992939697267
730393,1999,9,22.4480548892667,22.8996637340737,126294.197734483,22.3562048132195
730485,1999,12,22.2655984806725,25.3585944367941,124603.658900482,22.3139475735772
730576,2000,3,22.2891147365298,27.8699841001266,128250.279904317,22.2728038861894
730667,2000,6,22.1033929044315,30.4082672825369,135435.231936399,22.2325032777032
