Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,7.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,7.01987390530488,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,7.03478660185741,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,7.04990829628953,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,7.06496483419086,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,7.08008952719418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,7.0954092998713,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,7.11072302101705,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,7.1253080175292,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,7.13884117541032,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,7.15181012594686,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,7.16437344162803,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,7.17619002184076,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,7.18705637287678,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,7.19712823730163,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,7.20692538957309,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,6.05368895273646,NaN,7.21668351107573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,6.05027476990709,NaN,7.22657669731896,NaN,-0.225593541791227,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,6.13289591045125,NaN,7.23651682773863,NaN,5.46230666779672,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,6.29997266048354,NaN,7.24660145714994,3.43218277199059,10.8970869534938,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,6.46131649573004,NaN,7.25664267958308,4.5450559579362,10.2440974868685,6.73353960165582,NaN,NaN,NaN,NaN
714505,1956,3,NaN,6.50428098701435,NaN,7.26652293935816,4.73654912094547,2.65979797229915,7.50389419279604,NaN,NaN,NaN,NaN
714596,1956,6,NaN,6.59560270547695,NaN,7.2761356202551,3.11622654916656,5.61609922110841,7.54467060556479,NaN,NaN,NaN,NaN
714688,1956,9,NaN,6.60862011451126,NaN,7.28598828497806,3.11322856116197,0.789459863827005,4.89918719748911,NaN,NaN,NaN,NaN
714780,1956,12,NaN,6.66808378559514,NaN,7.29636889677352,2.22976464547091,3.59915807254907,3.20007989086668,NaN,NaN,NaN,NaN
714870,1957,3,NaN,6.79131220295915,NaN,7.30774844379968,2.76824032830004,7.39213371194944,4.41295842719356,NaN,NaN,NaN,NaN
714961,1957,6,NaN,6.84377850224669,NaN,7.32040892419769,3.85243934325635,3.09020099324408,3.76274630010155,NaN,NaN,NaN,NaN
715053,1957,9,NaN,6.92336898731441,NaN,7.33361974921512,2.62874325658339,4.65184459383624,4.76270185529381,NaN,NaN,NaN,NaN
