Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,21.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,21.4975441616839,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,21.6307261394307,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,21.7670227168781,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,21.9039724836564,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,22.0416558820698,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,22.1801834093776,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,22.3213011836339,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,22.4626287709646,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,22.6028251385198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,22.7435072906346,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,22.887113870495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,23.0314388977894,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,23.1757625069777,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,23.3216409929547,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,23.4707847508282,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,23.6200188365821,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,4.92794980919272e-05,NaN,23.7678612092616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,4.99944254233691e-05,NaN,23.9160797793912,NaN,5.80304068932077,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,5.11819691335804e-05,NaN,24.0672344046343,7.26515137047646,9.5014090083427,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,5.20513106622873e-05,NaN,24.2189770019812,9.02827362158204,6.7941233479159,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,5.59555849700978e-05,NaN,24.3717347864843,12.7978508234533,30.0032737553273,13.5473921948573,NaN,NaN,NaN,NaN
714596,1956,6,NaN,5.67782471944798e-05,NaN,24.5255455194571,17.2386243735146,5.88082297644894,13.5691563882635,NaN,NaN,NaN,NaN
714688,1956,9,NaN,5.61011773861574e-05,NaN,24.6819538381209,10.8788602546089,-4.76992398869396,9.6112133547233,NaN,NaN,NaN,NaN
714780,1956,12,NaN,5.63152705053406e-05,NaN,24.8379058795546,-0.570351427959783,1.52647861708539,8.19183953064734,NaN,NaN,NaN,NaN
714870,1957,3,NaN,5.69632091108616e-05,NaN,24.9914632617032,1.26718497680537,4.60222316048055,1.80075704918875,NaN,NaN,NaN,NaN
714961,1957,6,NaN,5.85526867390046e-05,NaN,25.1443600466243,7.3552705898999,11.1614331632863,3.12521015037134,NaN,NaN,NaN,NaN
715053,1957,9,NaN,6.24502762273498e-05,NaN,25.3000356617451,13.5135512436348,26.6262042301734,11.3172292222855,NaN,NaN,NaN,NaN
