Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
712588,1950,12,NaN,NaN,NaN,2.24
712678,1951,3,NaN,NaN,NaN,2.24265330169627
712769,1951,6,NaN,NaN,NaN,2.24717541428656
712861,1951,9,NaN,NaN,NaN,2.25235711185114
712953,1951,12,NaN,NaN,NaN,2.25802271432682
713044,1952,3,NaN,NaN,NaN,2.26447491968477
713135,1952,6,NaN,NaN,NaN,2.27219819622416
713227,1952,9,NaN,NaN,NaN,2.28038516745449
713319,1952,12,NaN,NaN,NaN,2.28779836119541
713409,1953,3,NaN,NaN,NaN,2.29361843512217
713500,1953,6,NaN,NaN,NaN,2.29841108665707
713592,1953,9,NaN,NaN,NaN,2.30301919927026
713684,1953,12,NaN,NaN,NaN,2.30810977157452
713774,1954,3,NaN,NaN,NaN,2.31428211579443
713865,1954,6,NaN,NaN,NaN,2.32155085224553
713957,1954,9,NaN,NaN,NaN,2.32949729941879
714049,1954,12,NaN,NaN,NaN,2.33741972580119
714139,1955,3,NaN,NaN,NaN,2.34493252298922
714230,1955,6,NaN,NaN,NaN,2.35238762080397
714322,1955,9,NaN,NaN,NaN,2.35995109286246
714414,1955,12,NaN,NaN,NaN,2.36748200968731
714505,1956,3,NaN,NaN,NaN,2.37486823605948
714596,1956,6,NaN,NaN,NaN,2.38200698849969
714688,1956,9,NaN,NaN,NaN,2.38935448196447
714780,1956,12,NaN,NaN,NaN,2.3972173895338
714870,1957,3,NaN,NaN,NaN,2.40609286786944
714961,1957,6,NaN,NaN,NaN,2.416276680767
715053,1957,9,NaN,NaN,NaN,2.42698331887868
715145,1957,12,NaN,NaN,NaN,2.43693815831021
715235,1958,3,NaN,NaN,NaN,2.44528919522063
715326,1958,6,NaN,NaN,NaN,2.45255426866031
715418,1958,9,NaN,NaN,NaN,2.45965004728769
715510,1958,12,NaN,NaN,NaN,2.46725490207369
715600,1959,3,NaN,NaN,NaN,2.47609969642511
715691,1959,6,NaN,NaN,NaN,2.48628888656297
715783,1959,9,NaN,NaN,NaN,2.49699452013526
715875,1959,12,NaN,NaN,NaN,2.50694187048151
715966,1960,3,NaN,NaN,NaN,2.51544185167824
716057,1960,6,NaN,NaN,NaN,2.52302749517081
716149,1960,9,NaN,NaN,NaN,2.53028862092033
716241,1960,12,NaN,NaN,NaN,2.53752665337587
716331,1961,3,NaN,NaN,NaN,2.54492706707271
716422,1961,6,NaN,NaN,NaN,2.55237786855078
716514,1961,9,NaN,NaN,NaN,2.55994214322161
716606,1961,12,NaN,NaN,NaN,2.56747904371652
716696,1962,3,NaN,NaN,NaN,2.57482534446713
716787,1962,6,NaN,NaN,NaN,2.58195947623295
716879,1962,9,NaN,NaN,NaN,2.58933011438722
716971,1962,12,NaN,NaN,27530.3387537813,2.59721224046397
717061,1963,3,NaN,NaN,27930.0092805831,2.60609969642511
717152,1963,6,NaN,NaN,27611.4684909207,2.61628888656297
717244,1963,9,NaN,NaN,27489.2515535403,2.62699452013526
717336,1963,12,NaN,NaN,27577.1403296627,2.63694187048151
717427,1964,3,NaN,NaN,27989.2819668621,2.64559291550116
717518,1964,6,NaN,NaN,28224.21967042,2.65362452045674
717610,1964,9,NaN,NaN,28039.628947441,2.66115038777953
717702,1964,12,NaN,NaN,28250.2983251098,2.66790029122895
717792,1965,3,NaN,NaN,28219.2445936048,2.67361843512217
717883,1965,6,NaN,NaN,28342.9326870197,2.67841108665707
717975,1965,9,NaN,NaN,28004.3128572157,2.68301919927026
718067,1965,12,NaN,NaN,28545.7964455905,2.68810977157452
718157,1966,3,NaN,NaN,28665.8478070004,2.69428211579443
718248,1966,6,NaN,NaN,29050.9528699496,2.70155085224553
718340,1966,9,NaN,NaN,29928.4743737179,2.70949729941879
718432,1966,12,NaN,NaN,29420.1541907189,2.71741972580119
718522,1967,3,NaN,NaN,29674.6515053467,2.72508105536597
718613,1967,6,NaN,NaN,29379.5773557985,2.73298096105059
718705,1967,9,NaN,NaN,28271.658016374,2.7408116702155
718797,1967,12,NaN,NaN,28344.2591519643,2.74785586690365
718888,1968,3,NaN,NaN,28297.6847897686,2.75365140508518
718979,1968,6,NaN,NaN,27568.7211360946,2.75844554775984
719071,1968,9,NaN,NaN,28435.4496985275,2.7630364390522
719163,1968,12,NaN,NaN,28879.6822073449,2.76811342262851
719253,1969,3,NaN,NaN,29013.4978666351,2.77464965925268
719344,1969,6,NaN,NaN,29343.998988995,2.78302999011026
719436,1969,9,NaN,NaN,29706.6368069281,2.79164734215185
719528,1969,12,NaN,NaN,30573.4755688057,2.79835459619003
719618,1970,3,NaN,NaN,30370.6833990296,2.80218499482885
719709,1970,6,NaN,NaN,31532.3335369341,2.80482177837987
719801,1970,9,NaN,NaN,30813.5347678602,2.80702165687703
719893,1970,12,NaN,NaN,31286.7547538259,2.80920958922961
719983,1971,3,NaN,NaN,31646.4339703085,2.81189154784153
720074,1971,6,NaN,NaN,31697.7898424814,2.81511738650667
720166,1971,9,NaN,NaN,31158.8137445595,2.81808361437504
720258,1971,12,NaN,NaN,31265.428211442,2.81978331106353
720349,1972,3,NaN,NaN,30690.2124196495,2.82
720440,1972,6,NaN,NaN,31465.1809599668,2.82
720532,1972,9,NaN,NaN,30837.9748733546,2.82
720624,1972,12,NaN,NaN,30817.5311818626,2.82
720714,1973,3,NaN,NaN,30904.1508882714,2.82
720805,1973,6,NaN,NaN,30745.5927326925,2.82
720897,1973,9,NaN,NaN,30503.915346257,2.82
720989,1973,12,NaN,NaN,30914.3081600622,2.82
721079,1974,3,NaN,NaN,30958.5857940144,2.82
721170,1974,6,NaN,NaN,30878.2481438464,2.82
721262,1974,9,NaN,NaN,31574.3070806522,2.82
721354,1974,12,NaN,NaN,31845.1862342676,2.82
721444,1975,3,NaN,NaN,31382.9668821408,2.82056185590492
721535,1975,6,NaN,NaN,32154.7541581129,2.82274135793748
721627,1975,9,NaN,NaN,32686.0978100079,2.82590385418638
721719,1975,12,NaN,NaN,33751.5263100697,2.82906112613976
721810,1976,3,NaN,NaN,33673.9802140803,2.83157481814708
721901,1976,6,NaN,NaN,34385.1765273633,2.83381291450057
721993,1976,9,24.8951945558616,NaN,34861.254740234,2.83617808585469
722085,1976,12,24.4846245658801,NaN,35086.267134259,2.83895392110718
722175,1977,3,24.4852411569532,NaN,34739.3433453052,2.84256371441879
722266,1977,6,24.4886699179241,NaN,35230.64041908,2.8473273832368
722358,1977,9,24.4890846321004,NaN,35445.0919342595,2.85279746717113
722450,1977,12,27.370358952366,NaN,35546.8795771012,2.85825305043482
722540,1978,3,29.898133749607,NaN,35431.056202845,2.86328767123288
722631,1978,6,28.9131517212338,NaN,36340.9749692235,2.86825570776256
722723,1978,9,26.403042681322,NaN,36566.4045254976,2.87329680365297
722815,1978,12,26.3331059296491,NaN,37439.6931183065,2.8783196347032
722905,1979,3,24.6847966054556,NaN,37693.27511794,2.88328834865948
722996,1979,6,24.677528877923,NaN,38601.9624743937,2.88825841386931
723088,1979,9,24.6795083918241,NaN,39423.3923998552,2.89330072857497
723180,1979,12,26.0802109840713,NaN,39756.1305619802,2.89832133979154
723271,1980,3,29.7988986498437,NaN,39895.1449419913,2.90348527247867
723362,1980,6,27.9105986669652,NaN,40838.3177894338,2.90895230998888
723454,1980,9,27.9052351958854,NaN,41362.5898497958,2.91427086005097
723546,1980,12,27.9055203755598,NaN,42110.0363271568,2.91873799718448
723636,1981,3,30.552232357789,NaN,42295.0607064357,2.92192050267883
