Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
712588,1950,12,NaN,NaN,NaN,13.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,13.6764066378368,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,13.7474636048003,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,13.8207598659177,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,13.894961775587,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,13.9702966049296,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,14.0470445555708,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,14.1255862388704,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,14.2039008998045,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,14.2806730551999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,14.3569460319605,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,14.4346784511336,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,14.5133461088706,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,14.593008426953,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,14.674300577063,NaN,NaN,NaN,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,14.7579205259993,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,14.8418642241865,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,14.9252306840221,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,15.0092013746153,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,15.0950266671509,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,15.1811051691566,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,15.2673791446299,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,15.3538613965241,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,15.4418961902306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,15.5302917015506,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714870,1957,3,10.0739720796835,0.799585170394673,NaN,15.6183352640294,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714961,1957,6,10.0739720796835,0.80275804321284,NaN,15.7068682663831,NaN,1.58725946185376,NaN,NaN,NaN,NaN,NaN
715053,1957,9,10.0739720796835,0.819409432836078,NaN,15.797530961171,NaN,8.29709014516766,NaN,NaN,NaN,NaN,NaN
715145,1957,12,10.0739720796835,0.824189367986904,NaN,15.8890914328723,NaN,2.33335617545015,NaN,NaN,NaN,NaN,NaN
715235,1958,3,10.0739720796835,0.830022045811285,NaN,15.9812319355589,NaN,2.83074645266419,3.80658328137682,NaN,NaN,NaN,6.2673887983067
715326,1958,6,10.139447005414,0.836107195617537,NaN,16.0749447482829,NaN,2.93252442484453,4.15432180177551,NaN,NaN,NaN,5.98512520363854
715418,1958,9,10.2703968568751,0.843464463644986,NaN,16.1711642966443,NaN,3.5197726157657,2.93565461232855,NaN,NaN,NaN,7.33474224454657
715510,1958,12,10.2703968568751,0.845711291498544,NaN,16.2676631270374,NaN,1.0655234217449,2.61128380777438,NaN,NaN,NaN,7.65911304910074
715600,1959,3,10.0739720796835,0.847785426691419,NaN,16.3633331969646,NaN,0.981013361758642,2.14010952718395,NaN,NaN,NaN,7.93386255249956
715691,1959,6,10.0739720796835,0.847852037026187,NaN,16.4593717581934,NaN,0.03142792158053,1.40470521844691,NaN,NaN,NaN,8.66926686123661
715783,1959,9,10.0739720796835,0.847189921551659,NaN,16.5575873795305,NaN,-0.312373124372073,0.441685224126019,NaN,NaN,NaN,9.63228685555749
715875,1959,12,10.0739720796835,0.852431629873117,NaN,16.6566080650279,NaN,2.47486812017644,0.794637418481798,NaN,NaN,NaN,9.27933466120171
715966,1960,3,10.0739720796835,0.852418005023477,817381,16.756768342124,NaN,-0.00639340407474265,0.546432881034178,NaN,NaN,NaN,9.52753919864933
716057,1960,6,10.0739720796835,0.857985743066337,830710,16.8580090295583,NaN,2.61267969941895,1.19522105244845,6.52278435637726,NaN,NaN,8.87875102723507
716149,1960,9,10.2049219311446,0.862889012433649,846017,16.9614492189133,NaN,2.28594444928109,1.85307809767572,7.37056253084711,NaN,NaN,8.35184383346886
716241,1960,12,10.2703968568751,0.864531545559188,854368,17.0652081399587,NaN,0.761411074597504,1.41945878848637,3.94838401592403,NaN,NaN,8.85093806838875
716331,1961,3,10.2703968568751,0.870093441114432,860564,17.1680727602749,NaN,2.57336847165988,2.07356437649011,2.90085771002657,5.28309319644083,NaN,8.19683248038501
716422,1961,6,10.4013467083362,0.875739718372598,856804,17.2711550868504,NaN,2.5957107553574,2.06926227501295,-1.74769104912593,3.14116839811727,NaN,8.33208443332325
716514,1961,9,10.4668216340667,0.879403141640121,875942,17.3767338459501,NaN,1.67329319004972,1.91381845967602,8.93459881139671,3.53716296481039,NaN,8.5530031743907
716606,1961,12,10.4668216340667,0.883007536749594,883904,17.4837532731528,NaN,1.63947338316353,2.13711012458839,3.63585716862531,3.45705831679088,NaN,8.32971150947834
716696,1962,3,10.2703968568751,0.882992726005736,906767,17.592293143115,NaN,-0.00670922647492489,1.48251719663386,10.3463724567374,5.36892084725831,NaN,8.78787966024126
716787,1962,6,10.2703968568751,0.888288531842664,912575,17.7035998658688,NaN,2.39902580438371,1.43293871532799,2.56206941805334,6.5091899664334,NaN,8.83745814154713
716879,1962,9,10.0739720796835,0.888514620340502,930389,17.8180197044487,NaN,0.101808585716583,1.036098038425,7.808234939594,6.21582250879624,NaN,9.03787404125852
716971,1962,12,10.008497153953,0.89106164133367,942306,17.9320373163729,NaN,1.14664224306961,0.912121839154793,5.12344836407141,6.6072786184925,NaN,9.09637531479818
717061,1963,3,9.87754730249191,0.896835547257229,954770,18.0436284161944,NaN,2.59192210986328,1.56771634055377,5.29085031826179,5.29386270122313,NaN,8.30983096193813
717152,1963,6,9.87754730249191,0.896226504467558,980017,18.1543785073894,NaN,-0.271640789232379,0.893625476446019,10.5772070760497,7.39029668794346,NaN,8.98392182604589
717244,1963,9,9.87754730249191,0.901399608310485,1005881,18.2671839099272,NaN,2.30883769544425,1.45017174450612,10.5565515700238,8.11402542377435,NaN,8.42737555798578
717336,1963,12,9.87754730249191,0.902753883223477,1023606,18.3813254604509,NaN,0.600965387828353,1.31216981490829,7.0485474921984,8.6277705968125,NaN,8.56537748758362
717427,1964,3,9.87754730249191,0.906872397146767,1042779,18.4979347146639,NaN,1.8248667770153,1.11914050688924,7.49233591831234,9.21782209327901,NaN,8.75840679560267
717518,1964,6,9.87754730249191,0.916232903678693,1061652,18.6167857229362,NaN,4.1286983974266,2.23229274200281,7.23950137085615,8.32995754155286,NaN,7.64525456048909
717610,1964,9,10.0739720796835,0.925310945500159,1071627,18.7383654779886,NaN,3.96320271189455,2.65268999112294,3.75829367815442,6.53616083811106,NaN,7.42128208856057
717702,1964,12,10.139447005414,0.937702260544373,1102964,18.8595936048279,NaN,5.35660584346243,3.87130733751107,11.6969803858992,7.75278769370247,NaN,6.26813966790298
717792,1965,3,10.3358717826057,0.946684645111528,1124186,18.9784727644723,NaN,3.8316574226622,4.39006061823252,7.6963527368074,7.80673565539773,NaN,5.94581116437313
717883,1965,6,10.4668216340667,0.955476969606457,1135061,19.09660657663,NaN,3.71499613533609,4.28319762040834,3.86946644060686,6.91460101803605,NaN,6.18362401365838
717975,1965,9,10.4668216340667,0.961205292921673,1131477,19.216986709657,NaN,2.39810000551887,3.87916598156224,-1.26301582029515,5.58496566435895,NaN,6.58765565250449
718067,1965,12,10.4668216340667,0.969156832052614,1150297,19.3387577995197,NaN,3.30898682705828,3.35443059399047,6.65325057424934,4.29143652920676,NaN,7.11239104007626
718157,1966,3,10.4668216340667,0.979962309349667,1166451,19.4620402888831,NaN,4.45974353775853,3.51517946445811,5.61733187168187,3.75960917499418,NaN,6.95164216960861
718248,1966,6,10.4668216340667,0.985052617326545,1179145,19.5878857276479,NaN,2.07775663545931,3.09538049172136,4.35303326071994,3.88384412820105,NaN,7.37144114234537
718340,1966,9,10.8596711884499,0.991710763156539,1196517,19.7172041564986,NaN,2.70367113913738,3.17366856586298,5.89308354782492,5.74823880644502,NaN,7.68600262258696
718432,1966,12,10.8596711884499,1.00619714709042,1200454,19.8466881243938,NaN,5.84298748065476,3.82191135766557,1.31615346877646,4.36035215253104,NaN,7.03775983078437
718522,1967,3,10.8596711884499,1.01408661105387,1244097,19.9748280303821,NaN,3.13634916825362,3.482205527562,14.5421648809534,6.65660194898885,NaN,7.37746566088794
718613,1967,6,10.8596711884499,1.02365980678662,1246074,20.1035282642339,NaN,3.77608603777998,3.91930225665011,0.635641754621986,5.67606189230332,NaN,6.94036893179983
718705,1967,9,11.0560959656416,1.03168540873324,1308731,20.2347316105163,NaN,3.13604261627478,4.03087745558656,20.1134122050536,9.37838743620023,NaN,7.02521851005499
718797,1967,12,11.0560959656416,1.03028916089672,1284968,20.365995939955,NaN,-0.541346354110829,2.39436315993989,-7.26291346350013,7.04016980242474,NaN,8.66173280570167
718888,1968,3,11.0560959656416,1.03426587856675,1306065,20.4969953780002,NaN,1.5439229377377,1.98989586223956,6.56732307730624,4.98096209539931,NaN,9.06620010340199
718979,1968,6,11.0560959656416,1.04094989234937,1311856,20.6275038912772,NaN,2.58502728210823,1.68904605300793,1.7735717594453,5.27914072518966,NaN,9.36704991263362
719071,1968,9,10.990621039911,1.04860193098793,1326015,20.7603302635075,NaN,2.94040614050476,1.63969773261188,4.31724213633203,1.32066864772058,NaN,9.35092330729914
719163,1968,12,10.8596711884499,1.05522218556044,1351085,20.894595812027,NaN,2.5253642500054,2.42000261771291,7.56250871973549,5.14541996376563,NaN,8.43966857073703
719253,1969,3,10.8596711884499,1.06462555716847,1360795,21.0301818017089,NaN,3.56450868327187,2.93538433693521,2.87472660861454,4.19044993932154,NaN,7.92428685151473
719344,1969,6,10.8596711884499,1.07521443822542,1359647,21.1684251188257,NaN,3.97844330737848,3.29166140732393,-0.337449799565718,3.64300654949933,NaN,7.56800978112601
719436,1969,9,10.8596711884499,1.07889643725698,1421739,21.3103920542307,NaN,1.36977291251191,2.88903781061182,18.2670943266892,7.21892286286354,NaN,7.97063337783812
719528,1969,12,10.8596711884499,1.09201800289642,1402548,21.4524798100084,NaN,4.86481007308032,3.48702082267545,-5.39930324764248,3.8090127564143,NaN,7.3726503657745
719618,1970,3,10.8596711884499,1.09557023968848,1432738,21.5927906409606,NaN,1.30116418690375,2.90662593168578,8.61004400562405,5.28683600395357,NaN,7.95304525676416
719709,1970,6,10.8596711884499,1.12876610374817,1461974,21.7331413658186,NaN,12.1200313251055,4.98055677257632,8.16227391190853,7.52599755671876,NaN,5.87911441587362
719801,1970,9,10.9251461141805,1.1385814684425,1445096,21.8764847275768,NaN,3.47826344598241,5.5320445155302,-4.61786598120074,1.64284724552115,NaN,5.39310159865028
719893,1970,12,11.0560959656416,1.14839682647593,1495942,22.0211481166635,NaN,3.44827605418709,5.16281081721837,14.0740822755027,6.65888083687689,NaN,5.89328514842318
719983,1971,3,11.0560959656416,1.16727798866254,1518099,22.1668625771695,NaN,6.57652886225674,6.54524432814534,5.92456124635845,5.9578932086676,NaN,4.51085163749621
720074,1971,6,11.1870458171026,1.18884369868404,1505723,22.3151268067975,NaN,7.39008538872952,5.32241309659925,-3.26092040110694,2.99246087823724,NaN,5.86463272050337
720166,1971,9,11.2525207428332,1.20194390648217,1525337,22.4671620241302,NaN,4.40771408811321,5.56503331521358,5.21052012886838,5.55264148540996,NaN,5.68748742761957
720258,1971,12,11.2525207428332,1.23312656910843,1536301,22.6191780179147,NaN,10.377410279494,7.37808923527869,2.87516791371348,2.69789871532453,NaN,3.87443150755446
720349,1972,3,11.2525207428332,1.25146030907702,1527244,22.7703852021923,NaN,5.94707483493522,7.21184852555459,-2.35813164217171,0.602398130820191,NaN,4.04067221727857
720440,1972,6,11.2525207428332,1.24708266329539,1543222,22.9211326189056,NaN,-1.39921202450449,4.89879070527273,4.18479299967788,2.49043150699033,NaN,6.35373003756043
720532,1972,9,11.1215708913721,1.29033732365942,1544175,23.074265484518,NaN,13.8738711192513,7.35420485935646,0.247015659445026,1.23500577249487,NaN,3.76736603201563
720624,1972,12,11.0560959656416,1.32442963866453,1571522,23.2281826807068,NaN,10.56849689767,7.40419287390037,7.08391212135933,2.29258459117061,NaN,3.65190309174118
720714,1973,3,11.0560959656416,1.35355074434616,1591790,23.3822462708345,NaN,8.79506312196287,8.15770460546513,5.15882055739593,4.2263056852736,NaN,2.89839136017642
720805,1973,6,10.8596711884499,1.40042662360009,1584710,23.5380348000678,NaN,13.8527142627574,12.29621458288,-1.7791291564842,2.68840127991953,NaN,-1.43654339443001
720897,1973,9,10.6632464112583,1.4164649474935,1630542,23.697314858758,NaN,4.58098228729222,9.77477916211662,11.5685519748093,5.59308368546311,NaN,0.888467249141719
720989,1973,12,10.8596711884499,1.44336821546585,1661950,23.8566495242641,NaN,7.59729861863752,8.98036206145696,7.70492265761942,5.75416697952687,NaN,1.87930912699298
721079,1974,3,11.1215708913721,1.50123257714457,1693005,24.0145371631558,NaN,16.035925153041,10.9106979117911,7.47435241734109,6.35856488607165,NaN,0.210872979580968
721170,1974,6,11.3834705942942,1.54176522435493,1716274,24.1729923290159,NaN,10.7998315057753,10.0925388287392,5.49768016042481,8.30208681714635,NaN,1.29093176555501
721262,1974,9,11.9072700001385,1.59128659155808,1735712,24.3344094793933,NaN,12.8479658046181,12.3421087386552,4.53027896478073,6.45000251450132,NaN,-0.434838738516683
721354,1974,12,12.4310694059828,1.65528440637577,1719328,24.4958688165061,NaN,16.0870619176211,14.682060242093,-3.77574159768443,3.45245043473028,NaN,-2.25099083611017
721444,1975,3,12.4310694059828,1.7190356768572,1712443,24.6564507355499,NaN,15.4055146622241,14.5082849272364,-1.60178860578088,1.14813600668633,NaN,-2.07721552125363
721535,1975,6,12.3655944802523,1.76237230659512,1741961,24.8181975175101,NaN,10.0839395764364,14.3087338302426,6.89494482444087,1.49667244274517,NaN,-1.94313934999037
721627,1975,9,12.1691697030607,1.81488320830505,1755909,24.982620363976,NaN,11.9182312417018,14.0513103003046,3.20282715858735,1.16361470105639,NaN,-1.88214059724389
721719,1975,12,12.4310694059828,1.86465148962757,1770386,25.1457074033435,NaN,10.9689220980787,12.6484054610415,3.29789300014977,2.96964860689756,NaN,-0.21733605505869
721810,1976,3,12.4310694059828,1.90778399075331,1793655,25.3066961331564,NaN,9.25266761444004,10.9798950910188,5.25738454777655,4.74246442071356,NaN,1.45117431496404
721901,1976,6,12.3463840158446,1.97414168738451,1757868,25.4659317083867,NaN,13.9130419277708,12.0161545887274,-7.98079898308202,0.913166253435065,NaN,0.330229427117173
721993,1976,9,12.3819764746941,2.01727420545052,1799693,25.6263922718574,NaN,8.73949794822693,11.1517367188874,9.51721062104775,2.49352329761963,NaN,1.23023975580666
722085,1976,12,12.3819764746941,2.06040670962463,1786540,25.786378554845,NaN,8.55263088331134,10.4982202350403,-2.92338748886618,0.912456379569207,NaN,1.88375623965378
722175,1977,3,12.4139867417798,2.12118039733046,1782638,25.94486686295,NaN,11.7983866819956,11.1855643831505,-0.873644027001887,-0.614220683464765,NaN,1.22842235862928
722266,1977,6,12.3710362568293,2.20139093514955,1784351,26.1030868867034,NaN,15.1256419152353,11.5112937038535,0.384374169068565,1.50654087792712,NaN,0.859742552975836
722358,1977,9,12.3714414500836,2.23447184254903,1777465,26.2640192563722,NaN,6.01091007894593,10.7668871446256,-1.54364247841369,-1.23509954197743,NaN,1.60455430545795
