Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1965,12,253.94514465332,19.20508118401,-32.7893676757812,0,0,-3.58395557373221,251.120574878469,1.55712972909795,253.94514465332,19.20508118401,-32.7893676757812,0,0,-2.92501223110161,252.178349741843,1.70689478778902,0.252503324155718,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.91937428850461,306.352715778011,1.21028963165601
1966,3,255.22428894043,37.2670572802561,-26.9690799713135,0,1,-4.65746662034663,252.75016238097,1.58220137676272,255.22428894043,37.2670572802561,-26.9690799713135,0,1,-3.91915390412385,253.924309232289,1.72722786203041,0.251341168692782,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.90573459029669,307.640891690176,1.20471923090241
1966,6,257.124969482422,32.3735479205161,-20.7457714080811,0,1,-5.43199341200797,254.438101706886,1.62740898475811,257.124969482422,32.3735479205161,-20.7457714080811,0,1,-4.61415940169282,255.71490973204,1.763837963108,0.247014228849674,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.8762528212012,308.591118418326,1.18397950224172
1966,9,259.224578857422,27.3494779995625,-18.578031539917,0,1,-5.993203825674,256.195615678059,1.68392020854502,259.224578857422,27.3494779995625,-18.578031539917,0,1,-5.10128753046271,257.559536492212,1.80918817856599,0.245184976863352,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.85937336547748,309.697091432851,1.17521159900664
1966,12,260.430236816406,20.0329463227303,-19.4103660583496,0,0,-6.37658976827574,258.013848990075,1.74400540137121,260.430236816406,20.0329463227303,-19.4103660583496,0,0,-5.42329532093287,259.449160157213,1.85610712866189,0.242845679774175,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.83930465145263,310.781647813875,1.16399896637355
1967,3,261.07958984375,27.3904859503008,-14.0278587341309,0,1,-6.58103954228598,259.901739824622,1.80908596480552,261.07958984375,27.3904859503008,-14.0278587341309,0,1,-5.57192800637748,261.391644466831,1.90710064332795,0.240199879238163,317.124298095703,2.19496369361877,2.3010470867157,0,0,2.81710841882637,311.893991492596,1.15131721271002
1967,6,262.224273681641,22.5716273408763,-13.4660997390747,0,0,-6.64285850276185,261.865731704741,1.87750774039294,262.224273681641,22.5716273408763,-13.4660997390747,0,0,-5.58028172932354,263.39167168947,1.96097260445218,0.236716506279769,317.185882568359,2.66898798942566,1.04130709171295,0,0,2.79148703513972,312.825041583262,1.13462083776592
1967,9,263.693572998047,18.7498234021278,-9.91934013366699,0,0,-6.60619798432085,263.90485808939,1.94548022917608,263.693572998047,18.7498234021278,-9.91934013366699,0,0,-5.49029403255511,265.449649448273,2.01487557795222,0.235266616346699,318.127410888672,3.61509037017822,0.948461472988129,0,0,2.77626728137128,313.901086085953,1.1276712787496
1967,12,264.54443359375,15.7564776183827,-6.8398003578186,0,0,-6.46153793388848,266.000782827227,2.01030387535473,264.54443359375,15.7564776183827,-6.8398003578186,0,0,-5.29455298485151,267.551701292307,2.06638357237814,0.233160625557888,318.878723144531,4.01541996002197,1.33501613140106,0,0,2.75796153154899,314.850070932927,1.1175769212809
1968,3,266.330261230469,23.9121657108878,-4.64036417007446,0,1,-6.23404580901151,268.178726998664,2.07912117915939,266.330261230469,23.9121657108878,-4.64036417007446,0,1,-5.01361498164519,269.718528336291,2.12234985785128,0.232279414917813,320.89794921875,4.53413534164429,1.88700866699219,0,0,2.74437086976948,316.00834367782,1.11335313490283
