Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1962,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.214690138321932,292.100738525391,1.53810846805573,1.43980872631073,0,0,2.69110110240662,291.704700803755,1.02904486227511
1962,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.216556159661385,293.324737548828,1.31253671646118,1.49073684215546,0,0,2.7051103887149,292.692001485019,1.03798900701911
1962,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21798669272099,293.652404785156,0.748095214366913,1.54605162143707,0,0,2.71811356123644,293.513200677903,1.0448457853826
1963,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.221954502983094,294.739593505859,1.32197558879852,1.68209636211395,0,0,2.74429669126932,294.496427968884,1.0638641473652
1963,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.225811424958971,295.855743408203,1.51128315925598,1.72524774074554,0,0,2.76976757030131,295.438106615481,1.08235100369915
1963,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.230415691194532,298.031433105469,1.5377414226532,2.13029646873474,0,0,2.79740344068781,296.61065368436,1.10442000300803
1963,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23224874240095,298.682922363281,1.92390096187592,2.27353048324585,0,0,2.81131907456877,297.477273361979,1.11320611652491
1964,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.236717782214959,300.772003173828,1.69176089763641,2.17277717590332,0,0,2.83726015471948,298.673236086821,1.13462695353147
1964,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.238382944421906,301.854217529297,1.1847562789917,1.92562925815582,0,0,2.84845703998086,299.657629111272,1.14260834768076
1964,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.241147108423273,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.86456752820777,300.797255118047,1.15585743674617
1964,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2426501652085,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.87518702248187,301.660255455871,1.16306183315969
1965,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.247604342679674,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.90141861693964,302.939681474496,1.18680801411313
1965,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.249047565974368,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.90876540826656,303.94738990644,1.19372561884397
1965,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.251831127841473,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.92083239291861,305.155836796498,1.20706768504486
1965,12,253.94514465332,19.20508118401,-32.7893676757812,0,0,-2.92501223110161,252.178349741843,1.70689478778902,0.252503324155718,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.91937428850461,306.352715778011,1.21028963165601
1966,3,255.22428894043,37.2670572802561,-26.9690799713135,0,1,-3.91915390412385,253.924309232289,1.72722786203041,0.251341168692782,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.90573459029669,307.640891690176,1.20471923090241
1966,6,257.124969482422,32.3735479205161,-20.7457714080811,0,1,-4.61415940169282,255.71490973204,1.763837963108,0.247014228849674,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.8762528212012,308.591118418326,1.18397950224172
1966,9,259.224578857422,27.3494779995625,-18.578031539917,0,1,-5.10128753046271,257.559536492212,1.80918817856599,0.245184976863352,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.85937336547748,309.697091432851,1.17521159900664
1966,12,260.430236816406,20.0329463227303,-19.4103660583496,0,0,-5.42329532093287,259.449160157213,1.85610712866189,0.242845679774175,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.83930465145263,310.781647813875,1.16399896637355
1967,3,261.07958984375,27.3904859503008,-14.0278587341309,0,1,-5.57192800637748,261.391644466831,1.90710064332795,0.240199879238163,317.124298095703,2.19496369361877,2.3010470867157,0,0,2.81710841882637,311.893991492596,1.15131721271002
1967,6,262.224273681641,22.5716273408763,-13.4660997390747,0,0,-5.58028172932354,263.39167168947,1.96097260445218,0.236716506279769,317.185882568359,2.66898798942566,1.04130709171295,0,0,2.79148703513972,312.825041583262,1.13462083776592
1967,9,263.693572998047,18.7498234021278,-9.91934013366699,0,0,-5.49029403255511,265.449649448273,2.01487557795222,0.235266616346699,318.127410888672,3.61509037017822,0.948461472988129,0,0,2.77626728137128,313.901086085953,1.1276712787496
1967,12,264.54443359375,15.7564776183827,-6.8398003578186,0,0,-5.29455298485151,267.551701292307,2.06638357237814,0.233160625557888,318.878723144531,4.01541996002197,1.33501613140106,0,0,2.75796153154899,314.850070932927,1.1175769212809
1968,3,266.330261230469,23.9121657108878,-4.64036417007446,0,1,-5.01361498164519,269.718528336291,2.12234985785128,0.232279414917813,320.89794921875,4.53413534164429,1.88700866699219,0,0,2.74437086976948,316.00834367782,1.11335313490283
1968,6,268.969573974609,23.4740046668268,-3.3991117477417,0,1,-4.72902998285321,271.941626725895,2.17515039426132,0.228804318606165,322.552947998047,4.62652826309204,2.83050990104675,0,0,2.71620074639423,317.091312218048,1.09669643127702
1968,9,271.664642333984,19.6237382406495,-2.44511032104492,0,0,-4.4603896742906,274.212030520849,2.2224136910446,0.223994932159673,323.325927734375,4.44615316390991,2.20865368843079,0,0,2.68129675090751,318.06031337332,1.0736442573293
1968,12,273.893463134766,19.5359944840163,-2.64237833023071,0,0,-4.20390885871531,276.525719706278,2.26490101777586,0.219584662576536,323.716918945312,4.6284761428833,1.73939299583435,0,0,2.64900633914344,318.951935618368,1.05250511562839
1969,3,275.719360351562,14.7923490445454,-3.38191342353821,0,0,-3.95341063370988,278.873272548766,2.30269817665628,0.216385170253188,325.26953125,4.34696102142334,2.14415216445923,0,0,2.62168698006441,320.051803417102,1.03716942688663
1969,6,278.225860595703,14.1699373969299,-3.85987162590027,0,0,-3.72247920737729,281.261446385566,2.33963101599373,0.210612425481621,325.571899414062,4.75921201705933,3.7299964427948,0,0,2.58169813739542,320.881985970267,1.00949971930323
1969,9,280.606170654297,22.5794937645418,-2.65598344802856,0,0,-3.50503517100577,283.685831650042,2.37318969421842,0.206621101587226,326.230133056641,4.58822154998779,4.38154220581055,0,0,2.55096871857038,321.847452868591,0.99036865264453
