Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1963,9,248.964401245117,12.4780053359747,-5.9463152885437,0,0,-2.12076400017314,247.983752216105,0.41665920441565
1963,12,249.976348876953,12.1168210425972,-6.37218284606934,0,0,-2.25654788952318,248.356846807902,0.385970156771747
1964,3,250.89990234375,11.7755522406514,-6.81094551086426,0,0,-2.39428729864128,248.702072299593,0.354827569526885
1964,6,251.647048950195,11.452746566128,-7.12244510650635,0,0,-2.53658371534116,249.006316841749,0.320404260617789
1964,9,252.194412231445,11.1467495032646,-6.97460699081421,0,0,-2.66930499360298,249.277686213362,0.295271209552348
1964,12,252.362289428711,10.8564482690748,-6.60984802246094,0,0,-2.77277383254896,249.529973563579,0.295805904743318
1965,3,252.262512207031,10.5806511084138,-6.30227375030518,0,0,-2.809704997271,249.828815418616,0.354946037600317
1965,6,251.961791992188,10.3183138244791,-5.9656982421875,0,0,-2.7541413862947,250.247724014758,0.494082912988374
1965,9,252.269439697266,10.0685259782657,-5.71486902236938,0,0,-2.58483065239045,250.933890672298,0.734018870970539
1965,12,253.168228149414,9.83031849508929,-5.36205816268921,0,0,-2.35795975733332,251.921201312715,1.02241601422539
1966,3,255.563888549805,9.60301172404756,-4.87760734558105,0,0,-2.12847514700749,253.302265075284,1.31481231083976
1966,6,253.882507324219,9.38585394740993,-4.43959760665894,0,0,-1.99183569090981,254.514922956866,1.49429868483662
1966,9,262.588897705078,9.1781874566981,-3.9636766910553,0,0,-1.58899052426683,256.936677104212,1.96165128262096
1966,12,263.859344482422,-48.2007146722678,-5.94234704971313,0,1,-2.00186367282434,258.522466517565,1.65945370217143
1967,3,227.154510498047,48.813801558971,2.50561285018921,1,1,-2.37395726872998,259.834969551738,1.39465310651617
1967,6,226.584167480469,20.4953781397915,18.7337398529053,1,1,-2.67417273085642,260.939483723525,1.19475909102417
1967,9,267.897888183594,19.5734267269748,-1.94979524612427,1,1,-2.89835791826039,262.00532108554,1.0699083657368
1967,12,267.283569335938,18.7262365107646,-1.38044321537018,1,1,-3.16527859450239,262.861966706399,0.904310986431674
1968,3,267.898803710938,17.9456805649039,-14.3983869552612,1,1,-3.40346931724847,263.607505620933,0.76707117978816
1968,6,268.533721923828,17.2246270896537,-27.8556785583496,1,1,-3.6461221307309,264.211002531186,0.626380750939635
1968,9,269.95166015625,23.8367161627773,-12.3965120315552,1,1,-3.87236343116952,264.647584773231,0.497739545769225
1968,12,270.802459716797,33.4023952517782,-11.4023771286011,1,1,-4.01331342240458,265.037795378174,0.445212237682727
1969,3,272.346343994141,30.4198492984671,-12.6792554855347,1,1,-4.09378831915002,265.517998393465,0.451477186550489
1969,6,273.410369873047,21.6648005698311,-16.6311473846436,1,0,-4.24092940233004,265.912769639918,0.394934244896265
1969,9,274.083709716797,19.5734101726892,-19.2843399047852,1,0,-4.40498845325026,266.222000932199,0.321939106072734
1969,12,274.647918701172,18.7262499571818,-20.4305038452148,0,0,-4.55199133845876,266.432173251719,0.260803426804548
1970,3,274.776733398438,20.9004773718483,-19.041374206543,0,0,-4.60447808307353,266.620142261981,0.27942999963115
1970,6,275.533874511719,25.1389494777636,-14.9093990325928,0,1,-4.50424084926311,267.015188287915,0.434497700364955
1970,9,276.091247558594,23.8103534121798,-12.9175996780396,0,1,-4.33809119828725,267.630701654374,0.643328078928533
1970,12,276.4912109375,22.602425073315,-14.2231693267822,0,0,-4.1335235064566,268.488196566065,0.879763699061821
1971,3,278.525665283203,21.5015204758691,-15.8886156082153,0,0,-3.93516148071117,269.671616533544,1.11027222380361
1971,6,281.228515625,17.805450804139,-16.8854579925537,0,0,-3.91460942939163,270.933555666788,1.17667609913287
1971,9,283.712188720703,15.7402826886358,-16.4944801330566,0,0,-4.09782580405301,272.053380171313,1.05579476555574
1971,12,285.398223876953,15.1769896539789,-15.0259990692139,0,0,-4.44552226140393,272.874634946004,0.784618746138001
1972,3,285.786407470703,37.3430987099964,-12.6583995819092,0,1,-4.89577133018826,273.28843179818,0.419464125741371
1972,6,286.374572753906,38.9050455510394,-11.6027965545654,0,1,-5.38714472424012,273.390891859435,0.0259841778221877
1972,9,285.873138427734,49.2355243220471,-15.3348731994629,0,1,-6.03278410779338,272.956240709911,-0.501684874273747
1972,12,284.411651611328,49.9001143462167,-20.8026809692383,0,1,-6.78911269334344,271.867063599606,-1.12377629634091
1973,3,283.386291503906,47.4902128584226,-42.4143295288086,0,1,-7.58626219689915,270.175865832585,-1.77077442904136
1973,6,280.70751953125,49.463586299785,-58.0731582641602,0,1,-8.41706454849798,267.629237960998,-2.45231213905166
1973,9,278.045837402344,49.9404851545682,-62.0371589660645,0,1,-8.94354228333287,264.593537994151,-2.86077943237965
1973,12,279.059539794922,49.99988362136,-66.8888092041016,0,1,-9.07039810240389,261.791067986674,-2.88875534943725
1974,3,279.455444335938,49.8093271461135,-74.9287643432617,0,1,-9.20152497061865,258.93175392056,-2.91915571967524
1974,6,280.417633056641,49.8936755653852,-82.1372146606445,0,1,-9.31364065602595,256.138606904886,-2.92319617416999
1974,9,280.543548583984,49.7682308359897,-84.7216949462891,0,1,-9.5148370154903,253.229006697031,-3.0035750116306
1974,12,280.581176757812,49.7616012013357,-86.4870300292969,0,1,-9.7584374769286,250.253537614245,-3.1114778119307
1975,3,277.512542724609,49.795726918732,-84.0673904418945,0,1,-10.0634212093871,246.935322372554,-3.27934083864713
1975,6,273.265747070312,49.9820204055324,-75.6029510498047,0,1,-10.1243104850068,243.624664819407,-3.22680153382996
1975,9,267.725341796875,49.6121327754686,-76.5837631225586,0,1,-9.83307604929492,240.563291682555,-2.86570227146615
1975,12,267.120971679688,48.1592824325162,-78.790283203125,0,1,-9.09226013550403,238.585457950283,-2.08289447283041
