Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign,lw_decomp_r,lw_decomp_g_pos,lw_decomp_g_neg,lw_decomp_z_pos,lw_decomp_z_neg,int_decomp_r,int_decomp_gh_pos,int_decomp_gh_neg,int_decomp_gf_pos,int_decomp_gf_neg,int_decomp_z_pos,int_decomp_z_neg
1968,9,158.254959106445,-5.07479667663574,1.49815881252289,0,0,2.2848772727778,157.661220302651,1.54616304120065,158.254959106445,-5.07479667663574,1.49815881252289,0,0,1.66657821739844,157.594657913225,1.43287843672996,0.245925974701373,323.325927734375,4.44615316390991,2.20865368843079,0,0,2.49549574420983,319.777568850871,1.009005088041,2.2848772727778,1.54616304120065,0,0.738714231577149,0,1.66657821739844,1.43287843672996,0,0.245925974701373,0,-0,-0.012226194032891
1968,12,159.514053344727,-2.99935293197632,3.47754311561584,0,0,2.43309010961056,159.266148028553,1.57583128927459,159.514053344727,-2.99935293197632,3.47754311561584,0,0,1.77757729902921,159.167659909085,1.46268150358016,0.240442275784195,323.716918945312,4.6284761428833,1.73939299583435,0,0,2.46054333064116,320.578468242547,0.986506122181715,2.43309010961056,1.57583128927459,0,0.857258820335966,0,1.77757729902921,1.46268150358016,0,0.240442275784195,0,0.0744535196648543,0
1969,3,160.193176269531,1.21461236476898,6.49718761444092,0,0,2.66652909787014,160.953454287971,1.63839194822253,160.193176269531,1.21461236476898,6.49718761444092,0,0,1.97399594228119,160.843339984451,1.52642863313233,0.236894004712089,325.26953125,4.34696102142334,2.14415216445923,0,0,2.43182980695976,321.611681901416,0.971947987076829,2.66652909787014,1.63839194822253,0,1.02813714964761,0,1.97399594228119,1.52642863313233,0,0.236894004712089,0,0.210673304436765,0
1969,6,161.105514526367,0.194932341575623,7.82197570800781,0,0,2.8946788701058,162.65818239405,1.70594142460754,161.105514526367,0.194932341575623,7.82197570800781,0,0,2.17529190906217,162.535746161333,1.59560673575333,0.231256156279095,325.571899414062,4.75921201705933,3.7299964427948,0,0,2.39360860596464,322.346268730362,0.948816564048403,2.8946788701058,1.70594142460754,0,1.18873744549826,0,2.17529190906217,1.59560673575333,0,0.231256156279095,0,0.348429017029742,0
1969,9,164.932678222656,3.28463411331177,7.16164016723633,0,0,3.00572012140499,164.716747990903,1.76686279179696,164.932678222656,3.28463411331177,7.16164016723633,0,0,2.30277262539765,164.607523533081,1.66383646862675,0.227892654062256,326.230133056641,4.58822154998779,4.38154220581055,0,0,2.36556986804121,323.271891498218,0.935016513628562,3.00572012140499,1.76686279179696,0,1.23885732960803,0,2.30277262539765,1.66383646862675,0,0.227892654062256,0,0.411043502708646,0
1969,12,164.287307739258,6.05203437805176,5.93602180480957,0,0,2.92492054359561,166.397101321684,1.71305547112162,164.287307739258,6.05203437805176,5.93602180480957,0,0,2.27774609091069,166.312176155615,1.63236337773269,0.223661957306512,325.741577148438,4.66998434066772,4.30650901794434,0,0,2.33562443176452,323.973291200162,0.917658466933054,2.92492054359561,1.71305547112162,0,1.21186507247399,0,2.27774609091069,1.63236337773269,0,0.223661957306512,0,0.421720755871491,0
1970,3,164.7578125,1.34606862068176,3.51129198074341,0,0,2.84449900568125,168.185738054589,1.69176641902031,164.7578125,1.34606862068176,3.51129198074341,0,0,2.2615552134244,168.152247567982,1.62902190534386,0.22206815716174,325.592651367188,4.33164119720459,3.92694425582886,0,0,2.31914321766775,324.778235287517,0.911119294089082,2.84449900568125,1.69176641902031,0,1.15273258666094,0,2.2615552134244,1.62902190534386,0,0.22206815716174,0,0.410465150918801,0
1970,6,166.469451904297,0.244347020983696,1.65830063819885,0,0,2.66716375185632,169.897258895222,1.63849857679686,166.469451904297,0.244347020983696,1.65830063819885,0,0,2.16107105625708,169.932501459597,1.59368207108203,0.22112797372774,325.734039306641,4.5012731552124,3.24606156349182,0,0,2.30630213327639,325.593047323391,0.907261833039066,2.66716375185632,1.63849857679686,0,1.02866517505946,0,2.16107105625708,1.59368207108203,0,0.22112797372774,0,0.346261011447313,0
1970,9,169.211624145508,1.20746004581451,1.58473455905914,0,0,2.46066669094626,171.584726330262,1.57683061643906,169.211624145508,1.20746004581451,1.58473455905914,0,0,2.02520020687956,171.701014915765,1.54467627198851,0.220601137864436,326.651031494141,4.42521715164185,2.13953065872192,0,0,2.29467788742994,326.597563279611,0.905100288016088,2.46066669094626,1.57683061643906,0,0.883836074507203,0,2.02520020687956,1.54467627198851,0,0.220601137864436,0,0.259922797026613,0
1970,12,170.101928710938,3.06881213188171,1.6463623046875,0,0,2.30607645347216,173.067538295238,1.5146272811117,170.101928710938,3.06881213188171,1.6463623046875,0,0,1.91193154077489,173.244981688374,1.48696410659984,0.217862565396752,325.573760986328,5.5785083770752,1.13124179840088,0,0,2.27716056983026,327.040898654114,0.893864250191221,2.30607645347216,1.5146272811117,0,0.791449172360458,0,1.91193154077489,1.48696410659984,0,0.217862565396752,0,0.207104868778297,0
