Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1962,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.264561334737401,292.100738525391,1.53810846805573,1.43980872631073,0,0,1.94214169933375,292.45996569154,1.04403893288767
1962,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.266837226991707,293.324737548828,1.31253671646118,1.49073684215546,0,0,1.95554812310467,293.591216641061,1.05302029111566
1962,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.268311429343118,293.652404785156,0.748095214366913,1.54605162143707,0,0,1.96747928579042,294.526465126018,1.05883793885076
1963,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27339081842603,294.739593505859,1.32197558879852,1.68209636211395,0,0,1.995266658888,295.650835928224,1.07888274231045
1963,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278182365028056,295.855743408203,1.51128315925598,1.72524774074554,0,0,2.02189083596746,296.728345291002,1.09779163240289
1963,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.283919581337332,298.031433105469,1.5377414226532,2.13029646873474,0,0,2.0505230660035,298.07498083169,1.12043242078275
1963,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.285405675449559,298.682922363281,1.92390096187592,2.27353048324585,0,0,2.06202842073534,299.058494535283,1.12629699699772
1964,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.290682424009261,300.772003173828,1.69176089763641,2.17277717590332,0,0,2.08793829558135,300.426505396228,1.14712064056172
1964,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.291697767783631,301.854217529297,1.1847562789917,1.92562925815582,0,0,2.09555157509557,301.544932250294,1.15112749376179
1964,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.294169386846008,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.10878907842648,302.839269454857,1.16088124909021
1964,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.294637087887871,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.11528707340122,303.806002818987,1.16272693866213
1965,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300041858673783,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.14039663763006,305.258563343697,1.18405579659757
1965,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300045936197308,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.14174874643062,306.388926320775,1.18407188773694
1965,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.301747726543988,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.14780035546593,307.74142857843,1.19078766644024
1965,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30013989313639,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.13640765099897,309.066428459881,1.18444267019657
1966,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.295682126411384,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.10939636987722,310.479235766281,1.16685097631108
1966,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.286539320515553,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.06328885634911,311.472680590376,1.13077070282532
1966,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.281291904510979,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.03373318783592,312.632060421514,1.11006281438323
1966,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.275598223250588,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.00164194812958,313.754827881862,1.08759382845525
1967,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.269760530859857,317.124298095703,2.19496369361877,2.3010470867157,0,0,1.96827022595795,314.902355092105,1.06455653111097
1967,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.262936500015005,317.185882568359,2.66898798942566,1.04130709171295,0,0,1.93199920220909,315.826764966269,1.03762684432086
1967,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.259406060575398,318.127410888672,3.61509037017822,0.948461472988129,0,0,1.90979813251397,316.909069677763,1.02369466398616
1967,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.255295696579934,318.878723144531,4.01541996002197,1.33501613140106,0,0,1.88552434272799,317.838264170567,1.00747392619821
1968,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.253366097706867,320.89794921875,4.53413534164429,1.88700866699219,0,0,1.86834467426132,319.011425831556,0.999859146244302
1968,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24793511423308,322.552947998047,4.62652826309204,2.83050990104675,0,0,1.8344314619296,320.093353812473,0.97842684512543
1968,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.240830452284572,323.325927734375,4.44615316390991,2.20865368843079,0,0,1.79347885810802,321.037048499665,0.95038970324069
1968,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234623859337433,323.716918945312,4.6284761428833,1.73939299583435,0,0,1.75706290741941,321.889621745705,0.925896612881016
1969,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23048506804924,325.26953125,4.34696102142334,2.14415216445923,0,0,1.72767975135086,322.989399041637,0.909563692410009
1969,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.222729381748698,325.571899414062,4.75921201705933,3.7299964427948,0,0,1.68356608166361,323.771195310888,0.878957411801897
1969,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.217800694158621,326.230133056641,4.58822154998779,4.38154220581055,0,0,1.65159221970164,324.712200935168,0.859507321949622
1969,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.211853262722478,325.741577148438,4.66998434066772,4.30650901794434,0,0,1.61714267745381,325.425087197529,0.836036961187431
1970,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.209440040627,325.592651367188,4.33164119720459,3.92694425582886,0,0,1.598937409185,326.23023388839,0.826513657928153
1970,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208120203699058,325.734039306641,4.5012731552124,3.24606156349182,0,0,1.58569571705394,327.037332815204,0.821305182777383
1970,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.207560108041158,326.651031494141,4.42521715164185,2.13953065872192,0,0,1.57473822669819,328.034855303366,0.819094876144443
1970,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203960948259015,325.573760986328,5.5785083770752,1.13124179840088,0,0,1.55430947169532,328.465078109358,0.804891504582344
1971,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208958033362257,328.252807617188,5.03568029403687,-0.506063401699066,0,0,1.56685225965143,329.734013153501,0.824611511679813
1971,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.204479807196662,328.793273925781,4.53709173202515,-0.0617176927626133,0,0,1.53959106082016,330.413028963869,0.806939078662349
1971,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203652883399015,329.612121582031,3.75224614143372,0.655690133571625,0,0,1.52928671449286,331.222852654204,0.803675787599308
1971,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203499552096996,329.845611572266,2.27759718894958,-0.101146534085274,0,0,1.523831043672,331.862172917661,0.803070695970568
1972,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.207418914804164,331.665863037109,3.81802749633789,-0.925238788127899,0,0,1.53417884659689,332.813365468054,0.818537684986377
1972,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208536420287209,333.911163330078,2.69639086723328,0.481130748987198,0,0,1.53000838609603,333.809983861522,0.822947699144992
1972,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206307800698688,334.851104736328,2.99610805511475,1.24993205070496,0,0,1.51191096218763,334.514724480624,0.81415289313405
1972,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206924220923148,336.510559082031,2.50357961654663,2.08515548706055,0,0,1.50440030191687,335.393410842451,0.816585473518459
1973,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206143041661177,338.954986572266,2.77796268463135,3.53107190132141,0,0,1.48684338571974,336.454481367768,0.813502704209513
1973,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.200078111275286,340.038452148438,5.41118144989014,4.89767456054688,0,0,1.44523080817109,337.308417857653,0.789568657103163
1973,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.193308591614895,339.511322021484,5.28131055831909,7.6540002822876,0,0,1.402270839543,337.873051176343,0.762854087911062
1973,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.191274393267067,340.455596923828,5.5307674407959,6.45159912109375,0,0,1.37722538067522,338.881462055449,0.754826526837347
1974,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.184067068627965,339.593353271484,6.80897235870361,5.22454738616943,0,1,1.33076273666597,339.464765876094,0.7263842469681
1974,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.180510170794047,339.830871582031,9.8184871673584,6.26708221435547,0,1,1.29906397375436,340.32302117231,0.712347653818157
1974,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.174321235977432,338.880676269531,11.2713623046875,6.09521865844727,0,1,1.25766901908313,340.875924057771,0.687924247774854
1974,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171783629073984,338.491729736328,9.65632438659668,2.29752230644226,0,1,1.23262856268303,341.618333966298,0.67791008449512
1975,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.168631223555096,337.265441894531,7.73817729949951,-1.97696793079376,0,1,1.20789818717016,342.070097666937,0.665469740189949
1975,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.170856718684464,337.97802734375,6.05059862136841,-3.76218819618225,0,1,1.20650651169454,342.787009350199,0.674252216141392
1975,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.172473293022871,339.675323486328,5.95547771453857,-3.16738605499268,0,1,1.20176909393291,343.546341824258,0.680631706738075
1975,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.172854153524474,341.013366699219,6.46425580978394,-2.86888527870178,0,1,1.19244130675222,344.147336545594,0.682134697309497
1976,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.175414794919141,343.237609863281,6.03245210647583,-2.21198081970215,0,1,1.19138448270847,345.002231089216,0.692239761648737
1976,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.174989932257018,343.968688964844,4.77071857452393,-1.15599727630615,0,1,1.17943861515997,345.5716343654,0.69056312526184
1976,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.178104046337013,344.515075683594,6.21643304824829,-0.653274774551392,0,1,1.18488518869014,346.193588103852,0.702852359983893
1976,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.183719609196604,345.235382080078,6.21274375915527,-0.801753997802734,0,0,1.20232977250928,346.878601097729,0.72501306710805
1977,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.190753102792496,346.414215087891,6.67542695999146,-1.01826095581055,0,0,1.22589401061231,347.642783413849,0.752769357178236
1977,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197835591591886,348.338073730469,6.06592512130737,-0.518225848674774,0,0,1.2481079512976,348.551178908885,0.780718997119553
1977,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.202389974760185,350.125305175781,6.59842157363892,-0.0717783272266388,0,0,1.25837299001005,349.49753160973,0.798691968671544
