Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1977,12,251.836441040039,5.71802663803101,-2.15645980834961,0,0,1.06358641731055,253.623962368346,1.2010954394441
1978,3,254.596221923828,5.86627769470215,-3.14087820053101,0,0,1.06607223092499,254.991968397677,1.21584128287232
1978,6,257.089874267578,14.2362594604492,-2.5150785446167,0,0,1.0238843109044,256.201555746978,1.19598684922639
1978,9,259.325988769531,11.0334920883179,-2.79749393463135,0,0,0.986202073610339,257.395133896105,1.1807298117725
1978,12,261.552185058594,6.71508693695068,-2.48688530921936,0,0,0.941433721747678,258.644747979235,1.16596064539695
1979,3,263.301788330078,2.66218447685242,-1.73112154006958,0,0,0.865621127696422,259.769814831444,1.13196422390076
1979,6,264.525665283203,13.6130638122559,-1.63680911064148,0,0,0.789227749099353,260.845772116734,1.10366491757443
1979,9,265.513397216797,20.1977634429932,-0.754835367202759,0,0,0.722482001293578,261.932556670248,1.08786213177427
1979,12,266.724182128906,19.8728981018066,-0.703378140926361,0,0,0.647745923313716,263.114129084749,1.07399976882704
1980,3,268.166717529297,26.3039226531982,-2.11928653717041,0,1,0.513862945639069,264.353988474626,1.02669506449491
1980,6,268.938598632812,23.5453548431396,-5.76072406768799,0,1,0.300643533994313,265.276936466531,0.922018073597226
1980,9,269.990844726562,6.94022226333618,-11.5101585388184,0,1,0.0856228004080922,266.034910213763,0.820482728171046
1980,12,271.463836669922,10.4066820144653,-12.1549959182739,0,1,-0.0855073910829021,266.54554532603,0.74796145355843
1981,3,273.064208984375,15.0032367706299,-9.63989925384521,0,1,-0.127697657121919,266.954428920488,0.761963634801574
1981,6,274.636962890625,15.1769914627075,-7.21376752853394,0,0,-0.000227710502844536,267.647761418602,0.895234298256082
1981,9,275.926330566406,6.87347555160522,-3.94755673408508,0,1,0.243758466667706,268.692246110438,1.10566758420322
1981,12,277.337188720703,8.53095149993896,-2.4828188419342,0,1,0.540994184242598,270.198880114776,1.34948481325578
1982,3,278.781890869141,3.23329997062683,-2.54205656051636,0,1,0.807163484073848,272.036600239005,1.56337946287728
1982,6,280.075531005859,4.20588874816895,-1.81681191921234,0,0,1.00927684795295,273.959236407894,1.71812996103659
1982,9,280.928009033203,2.25755262374878,0.767739534378052,0,0,1.18952117607716,275.810637759762,1.84044184393876
1982,12,282.140838623047,5.4358925819397,2.4639036655426,0,0,1.4010007580352,277.929122180221,1.98010943252542
1983,3,283.626861572266,-0.710862159729004,2.76121473312378,0,0,1.58593910046214,280.267885156742,2.09709953771901
1983,6,284.978820800781,8.07940006256104,3.7282555103302,0,0,1.71001718218264,282.632886433069,2.16346965216904
1983,9,286.424072265625,8.51299667358398,4.5204963684082,0,0,1.7882494464851,285.018767962382,2.19115686581029
1983,12,288.096893310547,1.910111784935,3.40069937705994,0,0,1.81379674178087,287.427914962412,2.17888617130031
1984,3,289.709777832031,-5.59412956237793,3.052659034729,0,0,1.77429694728871,289.657814156911,2.11662077781641
1984,6,291.262359619141,1.97452533245087,3.95850419998169,0,0,1.7120894864714,291.717225964155,2.03755342329141
1984,9,292.671295166016,-2.18493318557739,5.00309038162231,0,0,1.66060198788662,293.651603886606,1.96761608600452
1984,12,294.120269775391,0.82587456703186,6.58131122589111,0,0,1.62758104012656,295.606867759904,1.91789046215161
1985,3,295.265014648438,5.9316463470459,9.20034313201904,0,0,1.58790191038592,297.511273662129,1.86812364925713
1985,6,296.393737792969,4.77376747131348,8.50948143005371,0,0,1.52630556233574,299.482067834793,1.81279514760521
1985,9,297.224822998047,3.72316288948059,5.48892116546631,0,0,1.399438572284,301.308703321067,1.71710760199342
1985,12,298.298980712891,2.90824222564697,4.53378391265869,0,0,1.22890589878708,302.909786916641,1.59597443696157
1986,3,299.568756103516,-1.75868558883667,2.46523427963257,0,0,1.05859826232512,304.280748851229,1.48093342863996
1986,6,300.721099853516,3.19062352180481,2.15976047515869,0,0,0.942111459243659,305.473080520936,1.40869675668912
1986,9,302.039001464844,3.51155185699463,2.81332397460938,0,0,0.927293135971579,306.664286766214,1.41273967438218
1986,12,303.489898681641,4.01899242401123,2.73044872283936,0,0,1.02071709062303,308.003353936493,1.4962462434058
1987,3,305.472137451172,0.980352401733398,2.82229518890381,0,0,1.19387798984699,309.640072365376,1.63929476213057
1987,6,307.514038085938,3.9096040725708,2.33076357841492,0,0,1.40209541852627,311.439069610822,1.80232532107185
1987,9,310.024597167969,5.869797706604,1.85335290431976,0,0,1.64446032418909,313.497925937653,1.9858243840877
1987,12,313.674835205078,2.83917045593262,1.4681943655014,0,0,1.87106076724345,315.916358266527,2.16073748839422
1988,3,318.830108642578,3.08334708213806,1.1389319896698,0,0,1.97186915923064,318.859187013828,2.25948753194328
1988,6,320.058990478516,4.74145555496216,1.28325057029724,0,0,1.90536860727049,320.70406057935,2.20116027141149
1988,9,322.654022216797,4.44617605209351,0.752671182155609,0,0,1.98397820671084,323.044082227718,2.2599275884817
1988,12,325.937316894531,3.90336966514587,0.753528952598572,0,0,2.0433566547784,325.533030990265,2.30893150434275
1989,3,330.332946777344,6.93055391311646,1.10736668109894,0,0,2.01076519238813,328.370236628133,2.30667076863911
1989,6,331.428283691406,4.47414493560791,0.53253972530365,0,0,1.84858430605973,330.249937172036,2.184924662055
1989,9,333.587097167969,11.5669040679932,0.08662049472332,0,0,1.80703405156067,332.488002920385,2.16344572272473
1989,12,336.080932617188,4.84315013885498,-0.317590206861496,0,0,1.75572463015398,334.68869755732,2.13604683543968
1990,3,339.616851806641,3.4465160369873,-1.89016604423523,0,0,1.66320430321977,337.147809608441,2.09287527862964
1990,6,340.597900390625,6.78098106384277,-0.637838184833527,0,0,1.50002811697854,338.779762925173,1.97610690609973
1990,9,342.321533203125,3.93576383590698,-0.300238698720932,0,0,1.48944305890575,340.658242074413,1.97626531114411
1990,12,344.316101074219,10.1507930755615,-0.0877268686890602,0,0,1.54034593766451,342.685346299626,2.02219223164458
1991,3,347.68505859375,2.45279860496521,-0.372859269380569,0,0,1.57999116038755,345.167597416163,2.07193775549931
1991,6,348.368194580078,8.77209854125977,0.780918896198273,0,0,1.54558924750647,346.898239870993,2.03990063284283
1991,9,350.306793212891,3.81158328056335,0.525920033454895,0,0,1.65000337147004,349.087373879954,2.1146707020867
1991,12,352.458557128906,5.82870244979858,0.0533234775066376,0,0,1.76065923046905,351.340635229884,2.18908203117664
1992,3,356.513519287109,1.11949980258942,-0.00352093949913979,0,0,1.8297423243873,354.144282925735,2.24789014507902
1992,6,357.394378662109,6.56359577178955,0.239666178822517,0,0,1.77804478046392,356.009131612703,2.18618830742066
1992,9,359.705810546875,5.38016414642334,0.958489239215851,0,0,1.86576387325893,358.362465222969,2.23401891042424
1992,12,362.080322265625,-1.59419679641724,-0.141878932714462,0,0,1.94399470771554,360.724372301559,2.26935251473574
1993,3,364.833465576172,1.04652440547943,1.43753218650818,0,0,2.01169012344736,363.232856846588,2.29614028897923
1993,6,365.554382324219,6.68153810501099,1.7558559179306,0,0,2.08679319378005,365.11486708865,2.30224334889413
1993,9,371.621643066406,6.01109075546265,1.56094455718994,0,0,2.22442560409957,368.673185369842,2.40620305525947
1993,12,372.578247070312,2.29971647262573,1.75448572635651,0,0,2.02298057387882,370.599427601701,2.21888054520328
1994,3,374.957763671875,4.45071601867676,1.12263655662537,0,0,1.917305991696,372.983848413249,2.12108023060944
1994,6,375.307312011719,6.94271802902222,1.60412430763245,0,0,1.78275715719586,374.686256275014,1.98086312452934
1994,9,375.993103027344,6.36385345458984,2.20817995071411,0,0,1.80404734245322,376.42420934719,1.94850579751424
1994,12,379.150939941406,2.75436162948608,1.413703083992,0,0,1.89202392849437,378.825306805336,1.98126418908546
1995,3,382.154357910156,3.24300098419189,1.5318797826767,0,0,1.82934672535045,381.055388356815,1.90286312784257
1995,6,384.539947509766,8.32125759124756,2.70726037025452,0,0,1.6514539164687,383.058521689101,1.74014575940978
1995,9,384.124572753906,8.15164375305176,3.13420391082764,0,0,1.44668656663749,384.205253267283,1.5341595124516
1995,12,385.827667236328,9.78600120544434,3.9749436378479,0,0,1.36946401592672,385.973919745572,1.44097590806398
1996,3,386.011291503906,6.00986099243164,1.26950800418854,0,0,1.21258566217035,387.059976359078,1.27419890962421
1996,6,390.956573486328,4.46364212036133,0.844579339027405,0,0,1.00096466774113,389.271974578351,1.12256647401012
1996,9,391.185668945312,4.25944423675537,0.53377366065979,0,0,0.412558663458789,389.697472645398,0.670420228942311
1996,12,390.565582275391,5.43733978271484,0.602688670158386,0,0,-0.101845250176398,389.798282994976,0.285927665880679
1997,3,386.389587402344,4.92227220535278,1.50850772857666,0,0,-0.462468556867013,388.598586519573,-0.0132421138560874
1997,6,389.233856201172,3.95585680007935,1.67550790309906,0,0,-0.52979731365331,389.372366328055,-0.0219991271992944
1997,9,388.058959960938,10.9965381622314,0.677163243293762,0,0,-0.873435962697169,388.849691537505,-0.254249410637005
1997,12,384.026031494141,10.4727478027344,0.0106896562501788,1,0,-1.11228452371594,388.065492887259,-0.40806886849517
1998,3,380.380798339844,10.0061826705933,-2.0468761920929,1,0,-1.20544102304693,387.331890046821,-0.452619437987715
1998,6,376.220062255859,8.45415592193604,-1.84290063381195,1,0,-1.18405924115395,386.755187563354,-0.414125653879446
1998,9,377.556732177734,3.34498023986816,-1.40487289428711,0,0,-1.08696317351438,386.305156493831,-0.324841783409507
1998,12,381.573638916016,-2.17001128196716,-0.734151661396027,1,0,-0.954352617453476,386.245527638441,-0.20465491761756
