Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1962,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.252841484684275,292.100738525391,1.53810846805573,1.43980872631073,0,0,2.33039326591503,292.509783275245,1.12920506706596
1962,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.254473541531156,293.324737548828,1.31253671646118,1.49073684215546,0,0,2.34051379919104,293.621907322468,1.13649392974425
1962,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.255537274069517,293.652404785156,0.748095214366913,1.54605162143707,0,0,2.34900561850027,294.558327473132,1.14124462235239
1963,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.259313035445985,294.739593505859,1.32197558879852,1.68209636211395,0,0,2.37049720860287,295.662180878715,1.15810739660664
1963,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.262888097653473,295.855743408203,1.51128315925598,1.72524774074554,0,0,2.39117876744744,296.720824478516,1.17407383646841
1963,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.267204224344122,298.031433105469,1.5377414226532,2.13029646873474,0,0,2.414421693006,298.017970757697,1.19334991426579
1963,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26837041614403,298.682922363281,1.92390096187592,2.27353048324585,0,0,2.42351518280021,298.995185470909,1.19855819601303
1964,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.272285793156743,300.772003173828,1.69176089763641,2.17277717590332,0,0,2.4446867684576,300.311999086449,1.21604450197959
1964,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.272970828134193,301.854217529297,1.1847562789917,1.92562925815582,0,0,2.45075373363947,301.404014633137,1.21910390881949
1964,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.274695982154413,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.46142807864927,302.653193581825,1.22680854899566
1964,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.274843734332971,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.46563147429235,303.608689565971,1.22746841898854
1965,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278588380733314,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.48545892374462,304.991556818496,1.24419223191393
1965,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278281112506814,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.48597321440985,306.083231592505,1.24281995378977
1965,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.279245500431696,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.49115843489653,307.367306721927,1.24712696746181
1965,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.277822650076467,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.48347166289885,308.622235010444,1.24077243338364
1966,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.274428408436439,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.46473689662564,309.960973869993,1.22561354890093
1966,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.267615914266942,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.43031004857429,310.94039536847,1.19518854587914
1966,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.263575610010497,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.40870903057876,312.071568874068,1.17714430743242
1966,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25905443343859,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.38446445158586,313.169330580916,1.15695246470348
1967,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.254324475063428,317.124298095703,2.19496369361877,2.3010470867157,0,0,2.35884519405855,314.284804030555,1.13582819005799
1967,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.248857916997225,317.185882568359,2.66898798942566,1.04130709171295,0,0,2.33033575327623,315.203608795676,1.11141421750331
1967,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24582691436564,318.127410888672,3.61509037017822,0.948461472988129,0,0,2.31313945330892,316.266678615356,1.09787757997664
1967,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24229145207687,318.878723144531,4.01541996002197,1.33501613140106,0,0,2.29371261102615,317.194270990018,1.08208799570061
1968,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.240293110770214,320.89794921875,4.53413534164429,1.88700866699219,0,0,2.28033943874138,318.337477098273,1.0731632849
1968,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.235619332272205,322.552947998047,4.62652826309204,2.83050990104675,0,0,2.25352018877504,319.400325342609,1.052289912918
1968,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22960468796742,323.325927734375,4.44615316390991,2.20865368843079,0,0,2.2204318792939,320.342221942117,1.02542815471387
1968,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.224123509525109,323.716918945312,4.6284761428833,1.73939299583435,0,0,2.19014422952824,321.201261457638,1.00094888669233
1969,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22006849013747,325.26953125,4.34696102142334,2.14415216445923,0,0,2.16559559685565,322.275544908701,0.982838929596917
1969,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.213267249672085,325.571899414062,4.75921201705933,3.7299964427948,0,0,2.1284842049416,323.06758604914,0.952464186285162
1969,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208478590111522,326.230133056641,4.58822154998779,4.38154220581055,0,0,2.10078747404804,323.998418525712,0.931077748664005
1969,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.202863956537325,325.741577148438,4.66998434066772,4.30650901794434,0,0,2.07014211809491,324.722532851616,0.906002462108008
1970,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19983963402273,325.592651367188,4.33164119720459,3.92694425582886,0,0,2.05222675307138,325.521579006528,0.892495658380026
1970,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197663236722234,325.734039306641,4.5012731552124,3.24606156349182,0,0,2.03849118832186,326.314051620465,0.88277573895012
1970,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196166180882356,326.651031494141,4.42521715164185,2.13953065872192,0,0,2.02753642812709,327.273278580491,0.876089798776251
1970,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.192496553028105,325.573760986328,5.5785083770752,1.13124179840088,0,0,2.00823702803064,327.730649743698,0.859701023127187
1971,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.195197922902734,328.252807617188,5.03568029403687,-0.506063401699066,0,0,2.0170306898074,328.925784861924,0.871765501210202
1971,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.190888219266115,328.793273925781,4.53709173202515,-0.0617176927626133,0,0,1.99340046651489,329.596587698072,0.852518109153082
1971,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.189243306002991,329.612121582031,3.75224614143372,0.655690133571625,0,0,1.98294967581547,330.383644352547,0.84517182895732
1971,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18797758879551,329.845611572266,2.27759718894958,-0.101146534085274,0,0,1.97525658863756,331.004327810308,0.839519060836828
1972,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.189800106501225,331.665863037109,3.81802749633789,-0.925238788127899,0,0,1.98121394123665,331.893313117178,0.847658533007232
1972,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.189658881204415,333.911163330078,2.69639086723328,0.481130748987198,0,0,1.97665581052017,332.814681562246,0.847027812455361
1972,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.187196436867926,334.851104736328,2.99610805511475,1.24993205070496,0,0,1.96128294056714,333.47631817869,0.836030389996769
1972,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186959233040766,336.510559082031,2.50357961654663,2.08515548706055,0,0,1.95540537383054,334.28247527403,0.834971023635703
1973,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18593103354039,338.954986572266,2.77796268463135,3.53107190132141,0,0,1.94361624578034,335.244140580855,0.830379023682732
1973,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.181319477418609,340.038452148438,5.41118144989014,4.89767456054688,0,0,1.91409009439771,336.036625965338,0.809783540523481
1973,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.176285211836001,339.511322021484,5.28131055831909,7.6540002822876,0,0,1.88323595131035,336.579274080999,0.787300211840551
1973,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.174799987679614,340.455596923828,5.5307674407959,6.45159912109375,0,0,1.86774865236516,337.515160356246,0.780667112666911
1974,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.169574734303211,339.593353271484,6.80897235870361,5.22454738616943,0,1,1.83503757649061,338.074020402308,0.757330821169075
1974,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167214104182688,339.830871582031,9.8184871673584,6.26708221435547,0,1,1.81530852093293,338.885104591627,0.746788107037764
1974,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.162976280733444,338.880676269531,11.2713623046875,6.09521865844727,0,1,1.78758129929167,339.430259609486,0.7278617361608
1974,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161511281763728,338.491729736328,9.65632438659668,2.29752230644226,0,1,1.77330390644665,340.14622085984,0.721318963870422
1975,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.159673975364019,337.265441894531,7.73817729949951,-1.97696793079376,0,1,1.75886036768301,340.605995638572,0.713113444515498
1975,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161933138650115,337.97802734375,6.05059862136841,-3.76218819618225,0,1,1.76388879959136,341.302454846744,0.72320300174609
1975,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16385497885203,339.675323486328,5.95547771453857,-3.16738605499268,0,1,1.76702851084909,342.040051254577,0.73178605407551
1975,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.164943452547264,341.013366699219,6.46425580978394,-2.86888527870178,0,1,1.7666301071731,342.641778294192,0.736647242157684
1976,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167694262543853,343.237609863281,6.03245210647583,-2.21198081970215,0,1,1.77349603020188,343.472590556428,0.748932522757748
1976,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.168249486496353,343.968688964844,4.77071857452393,-1.15599727630615,0,1,1.77096504532998,344.056988125986,0.751412185860906
1976,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171374712672291,344.515075683594,6.21643304824829,-0.653274774551392,0,1,1.78155169790572,344.693977647674,0.765369631325221
1976,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.176232430293821,345.235382080078,6.21274375915527,-0.801753997802734,0,0,1.8008834555509,345.386128966855,0.787064486342613
1977,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.182045803482199,346.414215087891,6.67542695999146,-1.01826095581055,0,0,1.82472318594107,346.147758173047,0.813027355803132
1977,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.187802054448268,348.338073730469,6.06592512130737,-0.518225848674774,0,0,1.84752266745715,347.033789317259,0.838735114030802
1977,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.191628826638214,350.125305175781,6.59842157363892,-0.0717783272266388,0,0,1.86067196766414,347.95801345266,0.855825705603579
1977,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.193483956900437,350.126770019531,5.77099084854126,0.265451848506927,0,0,1.86590103800044,348.604099635246,0.864110827385656
1978,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19870603098248,350.446563720703,6.19207906723022,0.431894451379776,0,0,1.8877241960513,349.26520587609,0.887432919966309
1978,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206653664693968,354.237670898438,6.84202527999878,1.09146618843079,0,0,1.91918574229371,350.598461015945,0.922927523509724
1978,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.205720255959228,355.238464355469,6.80454158782959,1.88469922542572,0,0,1.90863895895959,351.354086010315,0.918758864738289
1978,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206798408682677,356.574554443359,7.11619281768799,3.17512392997742,0,0,1.90704691751235,352.325367006129,0.923573958748312
1979,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206030518188654,356.752899169922,5.42757225036621,3.45447134971619,0,0,1.89713175547596,353.112314021577,0.920144514257092
1979,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206852092057069,356.860595703125,8.69945430755615,3.40047931671143,0,0,1.89495193410794,353.940104280211,0.923813711882403
1979,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208413181649431,357.600280761719,7.31444835662842,4.1434383392334,0,0,1.89581437886497,354.890277985796,0.930785630592817
1979,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208603617227492,357.849273681641,8.25732040405273,6.22476148605347,0,0,1.89029947533629,355.744723604375,0.931636127179499
1980,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.209258229817672,358.164428710938,9.66786766052246,7.54290056228638,0,0,1.887002323979,356.748509530086,0.934559665833451
1980,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208056925406088,356.08203125,8.8497486114502,4.79822158813477,0,0,1.87743473173845,357.327710578312,0.929194569079873
1980,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21260069833728,355.962371826172,8.80780124664307,1.32587110996246,0,0,1.89529682161551,358.243630854909,0.949487328489611
1980,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.216478335809593,357.81103515625,9.62799549102783,6.77771997451782,0,0,1.90864330984219,359.344530880367,0.966805087430352
1981,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21650155715841,359.750885009766,8.77752113342285,6.98759508132935,0,0,1.90262793632502,360.478101621209,0.966908795351466
1981,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.212550797173348,359.006744384766,7.48833751678467,7.81903505325317,0,0,1.8792413430862,361.141495852789,0.949264466931766
1981,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.212834159428691,360.197662353516,7.29952526092529,7.87652778625488,0,0,1.87482632424885,362.300954888849,0.950529979570833
1981,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.208363506131445,359.102600097656,7.05227994918823,4.52694797515869,0,0,1.84941462949868,363.041634107106,0.930563776783148
1982,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206947108366886,357.535888671875,5.81238269805908,5.53453922271729,0,0,1.84063513933558,363.675042906698,0.924238060357626
1982,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.210119894706252,357.991271972656,5.37435817718506,6.49524927139282,0,0,1.85368333514054,364.651492585999,0.938407912332685
1982,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.211772556673223,357.608520507812,6.3613657951355,3.97685670852661,0,0,1.86074343849717,365.431654494831,0.945788798699419
1982,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.215755898803767,357.648223876953,5.53194999694824,2.80404734611511,0,0,1.87979041636776,366.262955628491,0.963578640913342
1983,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22119069050288,358.958099365234,5.21913862228394,2.50767707824707,0,0,1.90555161468159,367.227380503341,0.987850742988482
1983,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.225810105230168,361.208221435547,3.04846906661987,2.90864014625549,0,0,1.92653298712868,368.28792953642,1.00848132314603
1983,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.228210259427671,363.186309814453,6.03385210037231,3.82983779907227,0,0,1.93643127451112,369.28598098623,1.01920055414938
1983,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229744944686114,365.251678466797,3.18787503242493,4.22915458679199,0,0,1.94145408049339,370.316960692027,1.02605454953842
1984,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229876591460556,367.186950683594,4.0190544128418,4.66107797622681,0,0,1.93890700238797,371.348989913763,1.02664249184128
1984,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.228615369833653,368.900909423828,4.65562963485718,6.14986610412598,0,0,1.92893766247671,372.385640712004,1.02100980125029
1984,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.225890696747993,369.8603515625,3.73766088485718,7.00095081329346,0,0,1.91181899127493,373.317322804341,1.00884124964466
