Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.1,0.868880368006434,0.0158264898144508,0.654300817943855,1.03430501495013
$\alpha_2$,Gaussian,-0.4,0.2,-0.0613683629473399,0.00516648361217164,-0.198369665677622,0.0440862966878397
$\alpha_r$,Gaussian,-0.3,0.001,-0.185686329386621,0.00103962767913993,-0.23960982245901,-0.133638250120217
$\beta_1$,Gaussian,0.6,0.2,0.57799886308677,0.00241816550134005,0.49714932136232,0.656876049375207
$\beta_2$,Gaussian,0.2,0.07,0.348328461302793,0.00336953151094316,0.252745366978165,0.44489066701842
$\beta_y$,Gaussian,0.2,0.001,0.0548972417815441,0.00516606116791587,-0.0196373056590249,0.168869745552944
$\theta_1^h$,Gaussian,1,0.2,1.03087563015706,0.199035077175691,0.331990745197849,1.79021598403135
$\sigma_{\hat{y}}$,Inv. Gamma,3,1,2.44402998718396,0.121914543593144,1.89494832499754,3.06820360484411
$\sigma_{\pi}$,Inv. Gamma,5,1,15.0449447245253,2.37386778400147,12.7149957448538,17.7409681173766
$\sigma_{zz}$,Inv. Gamma,0.2,1,0.212783211073432,0.034322290056687,0.0664564647815421,0.669296176764461
$\sigma_{{y^*}}$,Inv. Gamma,0.4,1,0.226906116187664,0.00723897121251055,0.11868029127866,0.3991495168173
$\sigma_{g}$,Inv. Gamma,0.2,1,0.297372206888028,0.0105147299648029,0.155318745912899,0.498031752345932
$\alpha_1_int$,Gaussian,1.5,0.1,0.793575698353586,0.00615141562941916,0.666415262687866,0.926144681945354
$\alpha_2_int$,Gaussian,-0.4,0.2,-0.1259821224387,0.00443135932222665,-0.246686273523256,-0.0223797884234945
$\alpha_r_int$,Gaussian,-0.3,0.001,-0.166075813839017,0.000964231908512929,-0.21533395113074,-0.113067679591847
$\alpha_4_int$,Gaussian,0.2,0.1,0.123732226281807,0.0185975286641929,-0.107118835141862,0.34023333557623
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.0756179548490621,0.015141003105315,-0.134384259634512,0.27704590933083
$\beta_1_int$,Gaussian,0.6,0.2,0.575895341678515,0.00234132506339021,0.496656966997729,0.656845272907431
$\beta_2_int$,Gaussian,0.2,0.07,0.352983999128578,0.00384645398869032,0.253333320073159,0.457279328472362
$\beta_y_int$,Gaussian,0.2,0.001,0.131372866660029,0.00106168152150696,0.0759096248936957,0.182802266378493
$\theta_1^h_int$,Gaussian,1,0.2,0.989881753695258,0.191011923962085,0.255802995427865,1.7249467860245
$\theta_2^h_int$,Gaussian,0,0.1,0.244085660296322,0.0337687662170018,0.0203842931220164,0.588115199381783
$\sigma_{\hat{y}}_int$,Inv. Gamma,3,1,2.52840073552192,0.0819741984577055,2.0754409881211,3.01722193694838
$\sigma_{\pi}_int$,Inv. Gamma,5,1,15.7124220117411,1.9349610658132,13.6112989492651,18.1051127314152
$\sigma_{zz}_int$,Inv. Gamma,0.2,1,0.371523490617365,0.0774334766969937,0.0825812464391311,0.90783859773879
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.4,1,0.269996976928907,0.0154975603038722,0.126166319833557,0.52998140386945
$\sigma_{g}_int$,Inv. Gamma,0.2,1,0.220665086942999,0.00513341231730019,0.124486379740315,0.361143836712127
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25602819296492,0.0035369715776432,1.15908944972733,1.3561466296801
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.300726121518508,0.00346834256874486,-0.400758891141343,-0.204367046417489
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.134036782546141,0.000623297341860859,-0.175540403056083,-0.0939480046600844
$\beta_1^*_int$,Gaussian,0.5,0.1,0.536991078892266,0.00455668124377116,0.423293130878536,0.646165600595354
$\beta_2^*_int$,Gaussian,0.3,0.1,0.431348501884638,0.0073345501493365,0.2904499983928,0.56420698053655
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0430529982492036,0.00127024929793122,0.00142375780948509,0.108384989222025
$\theta_f^h_int$,Gaussian,1,0.1,1.04755260646093,0.0986841014188529,0.546647119103264,1.58666846271554
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.405978213124216,0.00372099503325309,0.301285386065191,0.502783978763516
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.627260757673246,0.00353919796166124,0.537437302621489,0.728760354603208
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0073687096615357,1.51693425232726e-05,0.00324565545984347,0.0149633788715184
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0819138069315072,0.00173256879569814,0.0357095690154647,0.171723670578895
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00658297594059718,1.08970320940983e-05,0.00302499153250046,0.0137263507596161
