Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.3,0.005,1.03094488459022,0.00408216094128059,0.92558215047048,1.13592107052392
$\alpha_2$,Gaussian,-0.4,0.1,-0.423561193636788,0.00796357317182927,-0.573869426301512,-0.280989843267396
$\alpha_r$,Gaussian,-0.7,0.005,-0.187989135579194,0.00193884529524673,-0.262182402182865,-0.117072853421142
$\beta_1$,Gaussian,0.7,0.1,0.536691063929178,0.0045512335953,0.426953376532341,0.648106624412887
$\beta_2$,Gaussian,0.2,0.1,0.159178882089048,0.00719479163639545,0.0227561935454076,0.297963464209436
$\beta_y$,Gaussian,0.4,0.001,0.359191745668358,0.000967897208399981,0.307518969718799,0.409999046636718
$\theta_1^h$,Gaussian,1,0.02,1.00648696147804,0.0200195892528683,0.774160943606485,1.24165567129625
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,4.51777563848855,0.533535387707952,3.41547616965839,5.7989290911092
$\sigma_{\pi}$,Inv. Gamma,8,1,20.6475394851619,4.52038330900864,17.3909598800059,24.3150413843353
$\sigma_{zz}$,Inv. Gamma,0.35,1,0.293587965847775,0.0325107650368188,0.118581505319261,0.697999870127503
$\sigma_{{y^*}}$,Inv. Gamma,0.2,1,0.215802832396296,0.0363675163279229,0.0666362388399884,0.699159230760171
$\sigma_{g}$,Inv. Gamma,0.3,1,0.112983983335931,0.00110286362602501,0.0714870531033166,0.177969337368722
$\alpha_1_int$,Gaussian,1.4,0.004,1.18136511474567,0.00341400811088087,1.08612665844114,1.27921667334268
$\alpha_2_int$,Gaussian,-0.4,0.1,-0.48020928839841,0.00947840005515853,-0.644425972254572,-0.321288101969695
$\alpha_r_int$,Gaussian,-0.7,0.005,-0.181530544985792,0.00246950533987585,-0.26584420825771,-0.104622480034236
$\alpha_4_int$,Gaussian,0.2,0.01,0.136347300366203,0.0094598385306962,-0.0238083931826424,0.298100878117049
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,-0.114073673987396,0.0423208043825189,-0.433468240192257,0.23667319890769
$\beta_1_int$,Gaussian,0.7,0.1,0.535778331966734,0.00428933895696481,0.428489574213529,0.642983619014871
$\beta_2_int$,Gaussian,0.2,0.1,0.163975694191914,0.00603200196336181,0.0405344679818681,0.299561844587859
$\beta_y_int$,Gaussian,0.4,0.001,0.35944000084701,0.000981601886110965,0.308694042048312,0.41239267379227
$\theta_1^h_int$,Gaussian,1,0.02,1.00270859831423,0.0209969691344353,0.762542918961475,1.23263277550321
$\theta_2^h_int$,Gaussian,0,0.1,0.255297629335098,0.0357022165380541,0.0206528110476694,0.617721092556313
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,4.78398041233668,1.10511993422178,3.11272015835151,6.59901811272284
$\sigma_{\pi}_int$,Inv. Gamma,8,1,20.3910124292077,4.23044717602849,17.2482907630724,23.8978475262712
$\sigma_{zz}_int$,Inv. Gamma,0.35,1,0.308810995929699,0.0270624486328083,0.123558063500016,0.659542024999787
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.2,1,0.748408871598552,0.399459707983062,0.0793032335921412,1.79569027574631
$\sigma_{g}_int$,Inv. Gamma,0.3,1,0.141492169428363,0.00611248025848866,0.074820894199543,0.314778808981866
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25326083354023,0.0032567570547536,1.15645895076888,1.34777564352985
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.305987928691216,0.00325963460457519,-0.400532926791686,-0.210346567757197
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.126632445712096,0.000494460587905633,-0.162929274168439,-0.0902533461822335
$\beta_1^*_int$,Gaussian,0.5,0.1,0.539336179848726,0.00410256196023568,0.434375562750262,0.643485461352286
$\beta_2^*_int$,Gaussian,0.3,0.1,0.418484672653789,0.00803494909729633,0.273348427294118,0.56790621242726
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0571255891062478,0.000753624880653848,0.010475924938255,0.101306845169716
$\theta_f^h_int$,Gaussian,1,0.1,1.04633928448328,0.0968130379244997,0.521811956979715,1.54882928623589
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.415430629740049,0.00345821588939113,0.322762557476046,0.513752461722552
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.618623727883963,0.00321094229534206,0.530334813629526,0.715199784142814
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00906933241058349,4.35560018678674e-05,0.00338498325481861,0.0227846220190752
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.07617285088016,0.00100337082025496,0.0359769137596135,0.137637791466908
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00627394855592619,9.91885997920793e-06,0.00299263901095703,0.0129124276106659
