Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.45849446074681,0.000981141159696786,1.40615870338572,1.5109950502792
$\alpha_2$,Gaussian,-0.5,0.1,-0.576516500675996,0.00664642796544315,-0.721099987154526,-0.460676505284552
$\alpha_r$,Gaussian,-0.6,0.001,-0.465831916443877,0.000972370830178783,-0.51834532974411,-0.416341713585119
$\beta_1$,Gaussian,0.5,0.1,0.347521433918414,0.00408238988242804,0.243270519100106,0.452300634848659
$\beta_2$,Gaussian,0.2,0.1,0.400207721571129,0.0061685082182646,0.272010994842898,0.530224104877024
$\beta_y$,Gaussian,0.4,0.001,0.378714377558502,0.00102874725487002,0.325397993648966,0.430808852794474
$\theta_1^h$,Gaussian,1,0.02,1.00417390795962,0.0177369126679672,0.78153141576121,1.2171755116842
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.4690029854057,0.0844070730189719,1.05534966792195,1.98412452806087
$\sigma_{\pi}$,Inv. Gamma,15,1,16.1195220319678,0.976186173901938,14.5773072493545,17.8726413259923
$\sigma_{zz}$,Inv. Gamma,0.4,1,0.320962144681159,0.0238366344808078,0.152334070839679,0.61160261420829
$\sigma_{{y^*}}$,Inv. Gamma,3,1,1.62319504387555,0.0511101313802893,1.2872665365191,2.01832194348787
$\sigma_{g}$,Inv. Gamma,0.5,1,0.199309259971371,0.00308717358653187,0.127214874965976,0.302387603006207
$\alpha_1_int$,Gaussian,1.5,0.001,1.45619239907169,0.000905829255155059,1.40697764187543,1.50585220869217
$\alpha_2_int$,Gaussian,-0.5,0.1,-0.586015752527711,0.00634801540748007,-0.722916300572197,-0.466024246015666
$\alpha_r_int$,Gaussian,-0.6,0.001,-0.460587034564471,0.000977766524220315,-0.512535266937179,-0.410498906207618
$\alpha_4_int$,Gaussian,0.2,0.005,0.109968360078351,0.00408335408593668,0.00604322968157594,0.215300351525176
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.005,-0.10101949809062,0.00420746357812556,-0.204819058019932,0.00904108857473732
$\beta_1_int$,Gaussian,0.5,0.1,0.373915128160746,0.00383410773070362,0.271632352558724,0.475567544163714
$\beta_2_int$,Gaussian,0.2,0.1,0.393364897063683,0.00608228827839114,0.264359515465887,0.524528290173435
$\beta_y_int$,Gaussian,0.4,0.001,0.377826109170329,0.00104870161433055,0.324628430607651,0.430719819991375
$\theta_1^h_int$,Gaussian,1,0.02,1.00772914371863,0.018744015357615,0.778508797444143,1.22761545890719
$\theta_2^h_int$,Gaussian,0,0.1,0.291042690824817,0.0429838800123268,0.0247137919594936,0.681729260162481
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.64273806538672,0.0907223747419015,1.18844483717476,2.18211818150221
$\sigma_{\pi}_int$,Inv. Gamma,15,1,16.401713185875,0.980258834022909,14.8695911776709,18.1396742670805
$\sigma_{zz}_int$,Inv. Gamma,0.4,1,0.304938996607359,0.0189374149722772,0.146315935877653,0.582440825777548
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,3,1,1.63503081303776,0.0551118281649078,1.2968606658566,2.05379888376611
$\sigma_{g}_int$,Inv. Gamma,0.5,1,0.206591459956613,0.0037744934638084,0.128804908301637,0.330259623930117
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24951741383118,0.00364210569423497,1.15383052475156,1.3479430415728
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.3043373011314,0.00356773830944956,-0.402358957601703,-0.210980434302793
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.126503964890762,0.000480286203372334,-0.163104163614417,-0.0905718426668392
$\beta_1^*_int$,Gaussian,0.5,0.1,0.534004066428407,0.00404253858276334,0.431430860459468,0.638901166113006
$\beta_2^*_int$,Gaussian,0.3,0.1,0.418678365439803,0.00774913986390609,0.271243347873644,0.56404643038305
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0606687992049799,0.000658123744703645,0.0173307915736093,0.102782388729766
$\theta_f^h_int$,Gaussian,1,0.1,1.07396866331107,0.0976291483044475,0.564621050404107,1.58630320198191
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.407901599054039,0.0040349010411366,0.294972038460864,0.51031879618123
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.60659075427334,0.00293347312030488,0.524267168269213,0.703888263227611
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0102924459484079,4.48431342249425e-05,0.00352423548932202,0.0239561427361645
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0813341450719763,0.00228359213478516,0.0336803922943674,0.190898262993264
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00575847393738953,7.82261691157247e-06,0.00291527316507609,0.0119875795475764
