Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.1,0.003,0.986630617999455,0.00229819201344144,0.906633501333128,1.06454688893553
$\alpha_2$,Gaussian,-0.5,0.005,-0.310291161400676,0.00212335497494021,-0.389621184561187,-0.235986359379678
$\alpha_r$,Gaussian,-0.5,0.001,-0.303113253893976,0.000867427851786566,-0.353530798680047,-0.255806182294714
$\beta_1$,Gaussian,0.5,0.05,0.438823109079779,0.00299560665392869,0.347711102040274,0.529165804832818
$\beta_2$,Gaussian,0.2,0.1,0.439657209670226,0.00742552813693206,0.301878130678942,0.584988769354037
$\beta_y$,Gaussian,0.4,0.001,0.322719200519614,0.00103380021015654,0.269863173436104,0.376161759409371
$\theta_1^h$,Gaussian,1,0.2,1.25228580275464,0.19207019980545,0.512562527960832,1.96012151133418
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,0.775085494336391,0.00960951702294017,0.628005446766654,0.950071693421729
$\sigma_{\pi}$,Inv. Gamma,10,1,12.5893141275912,0.80458758584471,11.2002427207146,14.1504638548082
$\sigma_{zz}$,Inv. Gamma,0.1,1,0.0852979021267248,0.00244311472151638,0.0340080826731128,0.187095624359348
$\sigma_{{y^*}}$,Inv. Gamma,2,1,0.703138419200093,0.00848485189780424,0.566382226889237,0.867842730995075
$\sigma_{g}$,Inv. Gamma,0.2,1,0.0870558555483402,0.00055032368030712,0.0556635678144996,0.131199562910687
$\alpha_1_int$,Gaussian,1.1,0.003,0.955356307447714,0.00232132389445201,0.873763246833927,1.03179348483934
$\alpha_2_int$,Gaussian,-0.5,0.005,-0.325585530921225,0.00250081525399794,-0.404695347763353,-0.241520959487981
$\alpha_r_int$,Gaussian,-0.5,0.001,-0.320331758535415,0.000951247370945233,-0.369855281488127,-0.26740654215778
$\alpha_4_int$,Gaussian,0.2,0.1,0.0891206131915921,0.0143310191783849,-0.106998825524361,0.287133726998374
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.000847196017842335,0.0145066579329767,-0.201593746350282,0.192347580076217
$\beta_1_int$,Gaussian,0.5,0.05,0.446234353437206,0.00277681745007265,0.359409273775137,0.533156348836204
$\beta_2_int$,Gaussian,0.2,0.1,0.409448344942233,0.00719527542391174,0.272066960233641,0.545758777240509
$\beta_y_int$,Gaussian,0.4,0.001,0.318928365808167,0.00101353812943432,0.268131068094325,0.373120612197707
$\theta_1^h_int$,Gaussian,1,0.2,1.17820520680495,0.197292253999442,0.466232927248762,1.94305650264444
$\theta_2^h_int$,Gaussian,0,0.1,0.277945246638778,0.0428111507931275,0.0214315565960929,0.669149948191372
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,0.873378748375065,0.0152607323010717,0.697878141962108,1.10082558347511
$\sigma_{\pi}_int$,Inv. Gamma,10,1,12.5676667913814,0.710386932943912,11.2570873204837,14.0251602579762
$\sigma_{zz}_int$,Inv. Gamma,0.1,1,0.081956331344534,0.00164253525846233,0.0337938619230748,0.163697488826309
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,2,1,0.736076238283802,0.00942907304490983,0.593070855044677,0.905281849585321
$\sigma_{g}_int$,Inv. Gamma,0.2,1,0.0901211831049818,0.000655671388975047,0.0563571587951857,0.135261975080987
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25169569729233,0.00318742618004294,1.15806620968976,1.34526965996281
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.307438069603731,0.00321749815062192,-0.40067533016048,-0.216068930264697
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.127459565955629,0.00049618629948319,-0.165073498469049,-0.0917985200059565
$\beta_1^*_int$,Gaussian,0.5,0.1,0.534831520807998,0.00366050720652397,0.433801899743499,0.633411004622137
$\beta_2^*_int$,Gaussian,0.3,0.1,0.422027314658007,0.00697560084538566,0.287128715395669,0.559309128349476
$\beta_y^*_int$,Gaussian,0.13,0.001,0.062860658211087,0.00063764072224717,0.0207026747286952,0.103748935254317
$\theta_f^h_int$,Gaussian,1,0.1,1.06632140589673,0.0959336619670867,0.570717977731759,1.57846469427648
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.412985745219442,0.00348140901235908,0.317035691151887,0.511850762281423
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.609051750910927,0.00281861012988192,0.529511814045829,0.70285452227404
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00912564801047465,2.97170278868954e-05,0.00335539790102992,0.0193318343762099
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0781911477271031,0.0012546511036588,0.0341970060196716,0.147593107216187
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00561335440280503,5.04771304521161e-06,0.00287546029924853,0.010163502811652
