Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.45408952312598,0.000917388457206376,1.40430338965546,1.5033873054207
$\alpha_2$,Gaussian,-0.6,0.1,-0.487862545552077,0.00158407512401949,-0.556454753540433,-0.426273364522614
$\alpha_r$,Gaussian,-0.3,0.001,-0.101900869951596,0.000699093063975363,-0.146386556660083,-0.0591544380076459
$\beta_1$,Gaussian,0.5,0.1,0.602615143405311,0.00338516237588179,0.50541832167273,0.698777174433393
$\beta_2$,Gaussian,0.2,0.1,0.0690085304396618,0.00555197197610551,-0.0558982745323456,0.188953230625019
$\beta_y$,Gaussian,0.4,0.001,0.371655461642197,0.000955413936181076,0.320121292862556,0.421792262579554
$\theta_1^h$,Gaussian,1,0.2,1.08527953875635,0.193742856502881,0.349571408926152,1.81930618252587
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.8773586679559,0.200721668318191,1.15883243075113,2.63470266587846
$\sigma_{\pi}$,Inv. Gamma,7,1,10.1746167909194,0.996633173381015,8.65855712717928,11.92696104049
$\sigma_{zz}$,Inv. Gamma,0.1,1,0.0989986395452586,0.00477962575023079,0.0340966018020796,0.243488759835774
$\sigma_{{y^*}}$,Inv. Gamma,0.2,0.1,0.434348569187738,0.0813664099950197,0.0935385669045317,0.958286563004766
$\sigma_{g}$,Inv. Gamma,0.2,0.1,0.103496632104765,0.00142042018937727,0.0601888757233034,0.168815347581508
$\alpha_1_int$,Gaussian,1.5,0.001,1.45221566464153,0.00106015770357556,1.39853233349741,1.50437365276798
$\alpha_2_int$,Gaussian,-0.6,1,-0.492018326741453,0.00175975644568273,-0.564577522068592,-0.428288294822271
$\alpha_r_int$,Gaussian,-0.3,0.001,-0.114267890546791,0.000686074255230475,-0.157426591900345,-0.0699164468459417
$\alpha_4_int$,Gaussian,0.2,0.01,0.14142565781404,0.00546850404717311,0.0175087663968807,0.258985125910022
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,-0.0657157156794519,0.00526560858237541,-0.189353529233661,0.0535556753881193
$\beta_1_int$,Gaussian,0.5,0.5,0.62324391296931,0.00288913659916651,0.534369901355725,0.709828857026658
$\beta_2_int$,Gaussian,0.2,0.5,0.0844981775741671,0.00337423915656305,0.00812883333734457,0.193912834589883
$\beta_y_int$,Gaussian,0.4,0.001,0.367186578535365,0.00101653838185091,0.315386104073618,0.419038559444407
$\theta_1^h_int$,Gaussian,1,0.2,1.02742735065992,0.189019383937296,0.331546763463583,1.75986144295699
$\theta_2^h_int$,Gaussian,0,0.1,0.240071814925097,0.0350183476211638,0.0178222191206091,0.59792028119266
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,2.10828204814697,0.160923402070798,1.37564016074342,2.74860039589206
$\sigma_{\pi}_int$,Inv. Gamma,7,1,10.4768168106603,0.923483064643728,8.9612307760157,12.175839418479
$\sigma_{zz}_int$,Inv. Gamma,0.1,1,0.0688205325092103,0.000980404965378225,0.0321140543959545,0.12647011671196
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.2,0.1,0.336468151553744,0.077599560713314,0.0854673572862366,0.982678276525008
$\sigma_{g}_int$,Inv. Gamma,0.2,0.1,0.103516432536513,0.00129748109746676,0.0599976963219377,0.173731921299381
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25104504541837,0.00312670689309896,1.16319045649258,1.34604592118933
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.30739370589301,0.00300259350833134,-0.401889401896262,-0.219341052480204
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.127469672491081,0.000480441326481028,-0.165873230209652,-0.093372352942929
$\beta_1^*_int$,Gaussian,0.5,0.1,0.535142026784638,0.0041214221227294,0.428531200543554,0.641227838185721
$\beta_2^*_int$,Gaussian,0.3,0.1,0.424177887097301,0.00755642111002918,0.278542637513726,0.564039812566786
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0599384974840139,0.00061704312071116,0.0191646185657624,0.100923448475946
$\theta_f^h_int$,Gaussian,1,0.1,1.05954138085416,0.10540834986148,0.52767341852372,1.59815682031288
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.400319638475825,0.00357306419555444,0.300574363070231,0.497153750940481
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.612366486743129,0.00311020105985169,0.528861350258946,0.712122548374917
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0106825672081952,4.74925084147907e-05,0.00342853476887379,0.0254847614514182
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0886033110333231,0.00188715074253851,0.0355209632271616,0.172725946417417
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00616571441301149,6.24246918740876e-06,0.00312206439408182,0.0108769509052233
