Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.05,0.89173885654142,0.011320039378159,0.713434522594244,1.06601112951483
$\alpha_2$,Gaussian,-0.4,0.1,-0.122412545376536,0.00840423218674694,-0.275581916892499,0.0254918096066558
$\alpha_r$,Gaussian,-0.7,0.005,-0.280214577915145,0.00386441731580905,-0.385287752078105,-0.180453979187246
$\beta_1$,Gaussian,0.5,0.1,0.43938024388652,0.00387858674282153,0.336796342562524,0.54326159969438
$\beta_2$,Gaussian,0.2,0.1,0.324755379807287,0.00640825500680569,0.193132963694511,0.455417781554066
$\beta_y$,Gaussian,0.3,0.005,0.134623049558488,0.00543462305460605,0.0135151071124181,0.257369841980472
$\theta_1^h$,Gaussian,1,0.2,0.973391815067484,0.178390019945347,0.290928124666227,1.68940738980198
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.11372068610869,0.0270399002071032,0.870332401926775,1.4119326987643
$\sigma_{\pi}$,Inv. Gamma,6,1,11.1547768130217,1.04438387287426,9.5519233172998,12.9235255591275
$\sigma_{zz}$,Inv. Gamma,0.3,1,0.203297108694739,0.0100616218879653,0.0933976508344163,0.410533741913546
$\sigma_{{y^*}}$,Inv. Gamma,1,1,0.480466867645596,0.0141042141613107,0.316085366334273,0.701023930720099
$\sigma_{g}$,Inv. Gamma,0.3,1,0.120185553750924,0.00110984951941661,0.0768788035946388,0.181853572195226
$\alpha_1_int$,Gaussian,1.5,0.05,0.956787330232746,0.0118838918183348,0.769118202918075,1.12364033915761
$\alpha_2_int$,Gaussian,-0.4,0.001,-0.370096609398434,0.000879528874600911,-0.419403606646037,-0.32163086955687
$\alpha_r_int$,Gaussian,-0.7,0.005,-0.276883243644763,0.00365994434377231,-0.379327712732075,-0.178851000789112
$\alpha_4_int$,Gaussian,0.2,0.005,0.15888675512396,0.00378172686386381,0.0582642649244103,0.262067992299072
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.005,-0.0731529089765647,0.00334261095006264,-0.167085891619714,0.024413423611493
$\beta_1_int$,Gaussian,0.5,0.1,0.425316661174338,0.00379725797998167,0.327657390039603,0.530059451393174
$\beta_2_int$,Gaussian,0.2,0.1,0.329257584755244,0.00653418713377437,0.198252568342932,0.465704594143333
$\beta_y_int$,Gaussian,0.3,0.001,0.275449025764362,0.000934927434257748,0.22440518351448,0.325966602223908
$\theta_1^h_int$,Gaussian,1,0.2,0.936862753122409,0.167672596685619,0.263798344773247,1.63016766898384
$\theta_2^h_int$,Gaussian,0,0.1,0.252772525994393,0.037334345247902,0.0189136393817648,0.623970725910959
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.17001205288069,0.0286524723254034,0.909605048230364,1.46680319640418
$\sigma_{\pi}_int$,Inv. Gamma,6,1,11.2382305984311,1.03479395081985,9.66596556594053,12.9948379206799
$\sigma_{zz}_int$,Inv. Gamma,0.3,1,0.20176134768321,0.0114088661432553,0.0936640422195955,0.435674593860748
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,1,1,0.507398573768272,0.0185105004713431,0.328965977959519,0.760612954500992
$\sigma_{g}_int$,Inv. Gamma,0.3,0.5,0.131250756369403,0.00148544417147513,0.0839631936790533,0.202281248865838
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25136361967052,0.00307280850109793,1.16276747490543,1.34367100748816
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.308005636951407,0.00314256357229666,-0.403139961479847,-0.220311303937615
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.124596720137195,0.000452220539389297,-0.159736868293927,-0.0896155250974293
$\beta_1^*_int$,Gaussian,0.5,0.1,0.542146479297202,0.00408351797664031,0.439096786069728,0.64840920440073
$\beta_2^*_int$,Gaussian,0.3,0.1,0.412928134715966,0.00824186955288827,0.266692293001349,0.559683725311096
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0626756384861477,0.000638010321874029,0.0211490630521462,0.104940733593351
$\theta_f^h_int$,Gaussian,1,0.1,1.06663789598241,0.0974256873422432,0.542180730507029,1.57309544452704
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.414318599380414,0.00367194722080188,0.317831065891319,0.515688238817018
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.614625095022977,0.00316727343353933,0.528128851601251,0.712110615799234
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00748275189250091,1.25439972054527e-05,0.00333126180850762,0.0148691843863755
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0770458050630427,0.00133408520466371,0.0349739370537075,0.147441795566271
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00543507261149705,4.84537713450467e-06,0.00294079153554735,0.00947423010870449
