Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.4,0.001,1.31043974855019,0.000864402027852421,1.26169944962226,1.35814063986434
$\alpha_2$,Gaussian,-0.5,0.1,-0.392804635033719,0.00267198832071523,-0.482122037366495,-0.312189283882244
$\alpha_r$,Gaussian,-0.6,0.002,-0.306577379312327,0.00274690258543731,-0.394133265058484,-0.221695379259484
$\beta_1$,Gaussian,0.5,0.1,0.56177301011076,0.00351089668348048,0.464688290058333,0.658680000068674
$\beta_2$,Gaussian,0.2,0.1,0.463810092122799,0.0069978713058764,0.322616314460454,0.597223726596663
$\beta_y$,Gaussian,0.4,0.002,0.199968266573252,0.00196313224446844,0.126105409019674,0.273569755659794
$\theta_1^h$,Gaussian,1,0.02,0.989412865089434,0.019712556546172,0.755840297758437,1.22593528630543
$\sigma_{\hat{y}}$,Inv. Gamma,3,1,4.24818628130429,0.313190981868418,3.38518977909024,5.23280846703955
$\sigma_{\pi}$,Inv. Gamma,12,1,12.5801836417659,0.736504225896902,11.2539783453778,14.0694625853208
$\sigma_{zz}$,Inv. Gamma,3,2,4.20386623276875,1.71752077856329,2.44484222563171,6.79070360927844
$\sigma_{{y^*}}$,Inv. Gamma,0.1,0.1,0.125881963941129,0.00950649344282434,0.0358418709517632,0.32858870739718
$\sigma_{g}$,Inv. Gamma,0.05,0.1,0.0320911939436553,0.000129512857587051,0.0171927656256536,0.0533888073093653
$\alpha_1_int$,Gaussian,1.4,0.001,1.32794064318716,0.00101496826568464,1.27474833849249,1.38107102657851
$\alpha_2_int$,Gaussian,-0.5,0.1,-0.461923187709094,0.00378492593047512,-0.563154650722496,-0.359767068360318
$\alpha_r_int$,Gaussian,-0.7,0.003,-0.215018392184345,0.00515334626617706,-0.345103981918118,-0.113771423629109
$\alpha_4_int$,Gaussian,0.2,0.1,0.0421797522428236,0.0400603601652103,-0.291200789373576,0.323827955611515
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.001,-0.070044918657707,0.000964632692389792,-0.118934925314724,-0.0185065590794519
$\beta_1_int$,Gaussian,0.5,0.01,0.544530074256088,0.00237393758050071,0.465672246696474,0.625795021525083
$\beta_2_int$,Gaussian,0.2,0.1,0.4753901888394,0.00591605759163282,0.350483023949327,0.601198787994298
$\beta_y_int$,Gaussian,0.3,0.001,0.207286877956654,0.00103059944851614,0.154641018228997,0.26168861058653
$\theta_1^h_int$,Gaussian,1,0.04,0.941583216905154,0.037905726514625,0.618611866462432,1.26254607548719
$\theta_2^h_int$,Gaussian,0,0.1,0.245658897496969,0.0377129483974764,0.0187705409769797,0.614305096270011
$\sigma_{\hat{y}}_int$,Inv. Gamma,3,1,2.70280282512099,0.272900506958041,1.9396427438518,3.67269099579104
$\sigma_{\pi}_int$,Inv. Gamma,12,1,12.3727334798507,0.624308453697821,11.150514400812,13.7329347807837
$\sigma_{zz}_int$,Inv. Gamma,1,1,2.70375670292874,3.34710738383433,0.499719774707027,5.80515856731
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,1,0.1,1.47326675262879,0.220708418372289,0.827251348605319,2.37861559975105
$\sigma_{g}_int$,Inv. Gamma,0.2,0.1,0.0924735461767693,0.000699396270983092,0.0578226983726347,0.144413786754796
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24939513422832,0.00302363086477356,1.15998141368203,1.33953723416295
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.29145490429511,0.00321097093253484,-0.384292955144606,-0.197836131601091
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.131102665097485,0.000569907439324593,-0.171445307852382,-0.0941069063329736
$\beta_1^*_int$,Gaussian,0.5,0.1,0.556900851931565,0.00449772025380238,0.446422472485653,0.670387193872645
$\beta_2^*_int$,Gaussian,0.3,0.1,0.427480155284917,0.0082671647028273,0.283419146518269,0.58601023034992
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0404863469115212,0.00111007051851609,0.000418991816073515,0.0992018919161277
$\theta_f^h_int$,Gaussian,1,0.1,1.09260549955471,0.109583189936735,0.54377839174513,1.63034115118191
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.396895961239029,0.00335449382489682,0.300273690489971,0.491026421951083
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.613786143670268,0.00253454410338045,0.537659171462305,0.702335197845515
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0085597691466567,2.19074990623483e-05,0.00358639171438234,0.0180077062838054
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0819885915722172,0.00170754926168856,0.0343891759314117,0.164018214862678
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00660013114575893,7.63082826865816e-06,0.00327808600567762,0.0123734827662487
