Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.47538565235524,0.000951652926673596,1.42426598960221,1.5260970762173
$\alpha_2$,Gaussian,-0.6,0.1,-0.520886637481843,0.00214721735442998,-0.60597573854967,-0.452171388577237
$\alpha_r$,Gaussian,-0.6,0.01,-0.19214124601813,0.00471472341155379,-0.305569813971304,-0.0815323896961272
$\beta_1$,Gaussian,0.6,0.1,0.463300857462522,0.00547856924367045,0.341948556560412,0.586978117937407
$\beta_2$,Gaussian,0.2,0.1,0.278287440976739,0.0086949070247155,0.123822561250221,0.428690308364667
$\beta_y$,Gaussian,0.4,0.01,0.275647550513853,0.011474622746242,0.0993067455976563,0.45458479917778
$\theta_1^h$,Gaussian,1,0.2,0.831234650950523,0.153459687898508,0.189425572029457,1.50097112519904
$\sigma_{\hat{y}}$,Inv. Gamma,3,0.1,2.44709640974635,0.03773436462527,2.14671928656139,2.78718981198137
$\sigma_{\pi}$,Inv. Gamma,10,1,12.7426302873181,1.3085218112921,10.9797487581825,14.7056011570845
$\sigma_{zz}$,Inv. Gamma,0.05,0.5,0.0398002222973166,0.000744462018885215,0.015666900312576,0.100711164091299
$\sigma_{{y^*}}$,Inv. Gamma,1,0.15,0.615095495799499,0.0135870563488399,0.452371303525195,0.825684869160247
$\sigma_{g}$,Inv. Gamma,0.1,0.2,0.0493662009474256,0.000414626039863373,0.0271517616841959,0.0877084988229234
$\alpha_1_int$,Gaussian,1.5,0.001,1.48272482486364,0.000902990223022485,1.43213326799957,1.52979933400602
$\alpha_2_int$,Gaussian,-0.6,0.01,-0.540495980609797,0.00240681998565746,-0.629071864932802,-0.468624685492735
$\alpha_r_int$,Gaussian,-0.6,0.01,-0.202615886641664,0.00400917297209322,-0.306436882151948,-0.0983073583746338
$\alpha_4_int$,Gaussian,0.2,0.1,-0.356365841513661,0.0147079581517875,-0.550072596737173,-0.15264712541898
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.381748754303814,0.0154038354541823,0.179152416935735,0.58851050100527
$\beta_1_int$,Gaussian,0.6,0.1,0.459375441174902,0.00556451778592488,0.337117443624448,0.580180821345619
$\beta_2_int$,Gaussian,0.2,0.1,0.261690158559144,0.00861074605369936,0.107443855500597,0.410176257768078
$\beta_y_int$,Gaussian,0.4,0.005,0.333419635074911,0.00543107047917682,0.212815303753183,0.458690625045158
$\theta_1^h_int$,Gaussian,1,0.2,0.905332574068346,0.168599904881972,0.23573832896014,1.59664592402375
$\theta_2^h_int$,Gaussian,0,0.1,0.237476183263547,0.0350885262290892,0.0173847252147253,0.598063147526939
$\sigma_{\hat{y}}_int$,Inv. Gamma,3,0.1,2.3741392178604,0.0315490914863466,2.10389552444197,2.67639678534228
$\sigma_{\pi}_int$,Inv. Gamma,10,1,12.885467560118,1.30926536890049,11.1506347896699,14.8620264258467
$\sigma_{zz}_int$,Inv. Gamma,0.05,0.5,0.0305130905143634,0.000155449700703362,0.0155488357740365,0.0541788692343627
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.1,0.5,0.0621157612823909,0.000655981289527313,0.0299826164197262,0.108730006377027
$\sigma_{g}_int$,Inv. Gamma,0.1,0.2,0.0461860611304402,0.000247857898355722,0.0262932640769389,0.0774907934430739
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.2476900622076,0.00317222393374939,1.15566885658013,1.34137543939527
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.305648432026978,0.00301346689412284,-0.397247676984225,-0.216328604418188
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.124124497422239,0.000502563400429662,-0.161666155741193,-0.0879669803988931
$\beta_1^*_int$,Gaussian,0.5,0.1,0.535109432402258,0.00408766968321771,0.432411518322557,0.645010066864162
$\beta_2^*_int$,Gaussian,0.3,0.1,0.406024998061265,0.00670635444843968,0.264996137602952,0.539580867168049
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0648319780147858,0.000690319890530109,0.0206302861089937,0.108189353129359
$\theta_f^h_int$,Gaussian,1,0.1,1.06058271957838,0.0940332600019664,0.538945093596829,1.56290885957011
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.413868315083777,0.00319741209208063,0.319190323342022,0.505387418324388
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.616408493674422,0.00293524727726411,0.528410621351777,0.709629622348564
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00782115600190377,1.42799794507216e-05,0.00348218860013657,0.0157764651477894
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0759853845916872,0.00121805117182278,0.0349719544897426,0.145412175087269
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00583253285572716,6.58743477348226e-06,0.00297431226151798,0.0114844702737749
