Parameter,Distribution,Mean,Std.Dev.,Mean ,Std.Dev. ,Lower,Upper
$\alpha_1$,Gaussian,1.3,0.01,1.067041383,0.005136182,0.949174587,1.186557611
$\alpha_2$,Gaussian,-0.2,0.1,-0.186763429,0.005381559,-0.312375062,-0.069948891
$\alpha_r$,Gaussian,-0.37,0.002,-0.041336912,0.000367674,-0.07403849,-0.011493211
$\beta_1$,Gaussian,0.6,0.01,0.626671526,0.003101404,0.533424598,0.716350827
$\beta_2$,Gaussian,0.2,0.1,0.20246659,0.004520362,0.090034821,0.311740184
$\beta_y$,Gaussian,0.5,0.01,0.532217073,0.005199336,0.413463215,0.650353482
$\theta_1^h$,Gaussian,1,0.2,0.943344554,0.16969503,0.268819462,1.642711614
$\sigma_{\hat{y}}$,Inv. Gamma,1,0.1,6.712474736,1.241646104,5.085682327,8.703294603
$\sigma_{\pi}$,Inv. Gamma,15,1,16.8850382,1.158180363,15.18941321,18.73507443
$\sigma_{zz}$,Inv. Gamma,0.04,0.1,0.042242167,0.000814236,0.013714517,0.108322118
$\sigma_{{y^*}}$,Inv. Gamma,0.3,0.1,0.27449936,0.021028576,0.120298593,0.588552315
$\sigma_{g}$,Inv. Gamma,0.4,0.1,0.241432281,0.006052836,0.147301614,0.387937759
