Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.3,0.01,1.06704138312259,0.00513618174883112,0.949174587446893,1.18655761088373
$\alpha_2$,Gaussian,-0.2,0.1,-0.186763428642089,0.00538155875895177,-0.312375062338474,-0.0699488913173984
$\alpha_r$,Gaussian,-0.37,0.002,-0.0413369121050667,0.000367673711106644,-0.0740384895618469,-0.011493210627768
$\beta_1$,Gaussian,0.6,0.01,0.626671525904298,0.00310140374924482,0.533424598338011,0.716350826502768
$\beta_2$,Gaussian,0.2,0.1,0.202466589605084,0.00452036195704155,0.0900348209733876,0.311740183844022
$\beta_y$,Gaussian,0.5,0.01,0.5322170730022,0.005199335926218,0.413463214617096,0.650353481545644
$\theta_1^h$,Gaussian,1,0.2,0.943344553590725,0.169695030291531,0.268819462282425,1.64271161399097
$\sigma_{\hat{y}}$,Inv. Gamma,1,0.1,6.71247473557292,1.24164610351937,5.08568232672878,8.70329460261392
$\sigma_{\pi}$,Inv. Gamma,15,1,16.8850382020532,1.15818036341265,15.1894132140939,18.7350744319312
$\sigma_{zz}$,Inv. Gamma,0.04,0.1,0.042242167216205,0.000814235827859561,0.0137145168265439,0.108322118390972
$\sigma_{{y^*}}$,Inv. Gamma,0.3,0.1,0.274499359765801,0.0210285757245409,0.12029859344605,0.588552314543263
$\sigma_{g}$,Inv. Gamma,0.4,0.1,0.241432280800659,0.0060528362406174,0.147301614426801,0.387937758831543
$\alpha_1_int$,Gaussian,1.3,0.01,1.04631267941936,0.00464132457704037,0.933171689349938,1.15847053300839
$\alpha_2_int$,Gaussian,-0.2,0.1,-0.18244431212516,0.00506190513555766,-0.299895975142136,-0.0636979476003724
$\alpha_r_int$,Gaussian,-0.4,0.002,-0.0640135618731035,0.000478196468401466,-0.100049814777922,-0.0286508280643956
$\alpha_4_int$,Gaussian,0.2,0.001,0.19849895793446,0.000916827771089454,0.148423662479079,0.248417901974565
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.001,-0.0622893838846096,0.00101866702873081,-0.114731416126681,-0.0102287367304287
$\beta_1_int$,Gaussian,0.6,0.001,0.603928185698859,0.000771127169415097,0.55791316910442,0.649218025421966
$\beta_2_int$,Gaussian,0.2,0.1,0.194388955587719,0.00351298041530455,0.0966087369784361,0.292203070386141
$\beta_y_int$,Gaussian,0.5,0.01,0.517518784870792,0.00525411758849415,0.39898607640148,0.636581301606109
$\theta_1^h_int$,Gaussian,1,0.2,0.934389202629564,0.171444188042709,0.253574122489679,1.62832002472355
$\theta_2^h_int$,Gaussian,0,0.1,0.249371244177521,0.0357693715306209,0.019704004659199,0.618482649899056
$\sigma_{\hat{y}}_int$,Inv. Gamma,1,0.1,7.79670910854725,1.4225826219788,6.01350947764907,9.81266574921897
$\sigma_{\pi}_int$,Inv. Gamma,15,1,16.9507079935029,1.1621728689826,15.2612527060228,18.7880951099015
$\sigma_{zz}_int$,Inv. Gamma,0.04,0.1,0.037316823357199,0.000621966865964618,0.0130474878082165,0.0901780648364757
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.3,0.1,0.253362323508215,0.0178142290529416,0.118647408840872,0.578060538148981
$\sigma_{g}_int$,Inv. Gamma,0.3,0.1,0.170635504169797,0.00238634643704319,0.103667437997983,0.260041917834456
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24721323301902,0.00295780921127406,1.15569349449081,1.33667941626494
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.292703893414355,0.00311713813320821,-0.386497902621843,-0.198926654004105
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.130362561577322,0.000506350976550696,-0.168305106019894,-0.0940601346278048
$\beta_1^*_int$,Gaussian,0.5,0.1,0.546822332072136,0.0040168890819678,0.442333793350201,0.649381203850384
$\beta_2^*_int$,Gaussian,0.3,0.1,0.429757911081351,0.00743919042117762,0.289649250972129,0.573288705038648
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0478133304602326,0.000849790193269389,0.00584247683278708,0.0971963614107295
$\theta_f^h_int$,Gaussian,1,0.1,1.0733867010239,0.0998540542916631,0.559892584040919,1.59580551452351
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.417690012430911,0.00301244429026695,0.325779991997164,0.507164708659036
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.615073416829105,0.00302539582147524,0.527256420907599,0.710214710104996
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00896869469732164,3.64671362972668e-05,0.00332794980735758,0.0210247381633789
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0721131656655031,0.000913872174551689,0.0345065713865451,0.130545623103967
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00558661718104724,4.24219040302156e-06,0.00303627224152891,0.00978897786900051
