Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.43049740361998,0.000891462369387587,1.38164733494791,1.48076684289193
$\alpha_2$,Gaussian,-0.6,0.005,-0.756572514250778,0.00347539119666248,-0.851593502096572,-0.656700962917734
$\alpha_r$,Gaussian,-0.7,0.0005,-0.218331529249961,0.00151200963619742,-0.286076360420271,-0.158150102057476
$\beta_1$,Gaussian,0.6,0.01,0.718176683011617,0.00281717639474666,0.630534236459107,0.806076120273224
$\beta_2$,Gaussian,0.2,0.1,0.258715568681548,0.00584415089877846,0.135024595398505,0.389331571047716
$\beta_y$,Gaussian,0.4,0.001,0.333054120288392,0.00108801771734728,0.278431502124281,0.388627966802052
$\theta_1^h$,Gaussian,1,0.02,0.957261161606947,0.0197244613373069,0.730789639071877,1.19196266928296
$\sigma_{\hat{y}}$,Inv. Gamma,6,1,6.74621203777627,2.63220524203666,4.57528396618216,9.84298951982073
$\sigma_{\pi}$,Inv. Gamma,20,1,19.1809817403727,0.680253999569126,17.8333610822908,20.5438031955709
$\sigma_{zz}$,Inv. Gamma,2,0.01,2.01729336915475,0.00925070809000117,1.86141936383701,2.17781101548718
$\sigma_{{y^*}}$,Inv. Gamma,0.05,0.1,0.0428921832967403,0.000912159238680389,0.0161224156716499,0.116590860355878
$\sigma_{g}$,Inv. Gamma,0.05,0.1,0.0311868989107197,0.00014513928945217,0.0166266229966929,0.0559219815386491
$\alpha_1_int$,Gaussian,1.5,0.001,1.43629963429083,0.000900892346334128,1.38816076583568,1.48526070241347
$\alpha_2_int$,Gaussian,-0.6,0.003,-0.698147728741145,0.00246681002814903,-0.778811807681718,-0.61436462168568
$\alpha_r_int$,Gaussian,-0.7,0.0005,-0.229332759129508,0.00123023067736498,-0.29002863123042,-0.175277488549442
$\alpha_4_int$,Gaussian,0.2,0.01,0.0532989408304179,0.00895020558316835,-0.0997216594258424,0.216084264474711
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,-0.202158601650436,0.00692558119889845,-0.340662972388389,-0.070761837497796
$\beta_1_int$,Gaussian,0.6,0.01,0.709052022743102,0.00322126591733838,0.615393953122177,0.803508120486367
$\beta_2_int$,Gaussian,0.2,0.1,0.243422651559623,0.00662426025356132,0.108017549945425,0.378399864018727
$\beta_y_int$,Gaussian,0.4,0.001,0.338705086418519,0.000842311696256658,0.289300422734669,0.3854635366523
$\theta_1^h_int$,Gaussian,1,0.02,0.981205318392393,0.0181823924619463,0.759888857148001,1.19532038386163
$\theta_2^h_int$,Gaussian,0,0.1,0.226920732520469,0.0305105887029626,0.016582448201526,0.571848136067858
$\sigma_{\hat{y}}_int$,Inv. Gamma,6,1,7.33551253298608,2.55589583174086,5.12607190404907,10.194938392074
$\sigma_{\pi}_int$,Inv. Gamma,20,1,19.0729809011597,0.727860558760948,17.7502607131319,20.5310529641439
$\sigma_{zz}_int$,Inv. Gamma,2,0.01,2.01632013347581,0.009330450863811,1.86140453352294,2.18066139685837
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.05,0.1,0.0326308220559257,0.000211554280571561,0.0155540944453675,0.0589954352618504
$\sigma_{g}_int$,Inv. Gamma,0.05,0.1,0.0286485693835171,0.000121106253268356,0.0159184029856372,0.0510291449693649
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25899655650082,0.00304264902856296,1.16655926890195,1.34757231876503
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.302028176508688,0.00305221680246057,-0.39142544469987,-0.211350612139489
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.130028200606819,0.000534818165818456,-0.16974526984354,-0.0926765754463568
$\beta_1^*_int$,Gaussian,0.5,0.1,0.550709367366235,0.00412247509496958,0.447548143210147,0.657047984400134
$\beta_2^*_int$,Gaussian,0.3,0.1,0.422537457458155,0.00841787665302336,0.272168655447779,0.577423899163135
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0465957999982079,0.000595793279167246,0.00799972680195168,0.0867656070677258
$\theta_f^h_int$,Gaussian,1,0.1,1.08766809583838,0.0915587616037307,0.580211332112541,1.59294864114651
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.420260175089967,0.00256308837341332,0.337365880868611,0.504606130378154
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.614349163669582,0.00296767529998462,0.527823020594471,0.705018892435195
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0109982692929715,3.17481329715703e-05,0.0037554828654864,0.0214841475777926
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0728114050547377,0.000998127536959793,0.0340621243469985,0.136791555693011
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00554723489345423,4.12336123370429e-06,0.00302439555723384,0.0096780249771782
