Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.4,0.001,1.33131265235471,0.000925003017512303,1.28217897548897,1.38058290714811
$\alpha_2$,Gaussian,-0.6,0.01,-0.452665448830873,0.00204471719013146,-0.527810265728495,-0.38090360264525
$\alpha_r$,Gaussian,-0.52,0.001,-0.166531342574685,0.00073023626828074,-0.211146796828569,-0.123185215542422
$\beta_1$,Gaussian,0.6,0.1,0.466566093163046,0.00417518203491632,0.365716660489181,0.576370194527782
$\beta_2$,Gaussian,0.2,0.1,0.234923096364335,0.00739183757440407,0.0959422199575388,0.381610293109406
$\beta_y$,Gaussian,0.4,0.001,0.362513422036204,0.00103703210458745,0.309697508127425,0.414630265577958
$\theta_1^h$,Gaussian,1,0.1,1.08509151228082,0.108841725603486,0.538378430645677,1.62337123988484
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.66204652456753,0.0405438269713374,1.35966969363995,1.99968598966532
$\sigma_{\pi}$,Inv. Gamma,10,1,8.92265704914491,0.381800303052417,7.97092244382397,10.0117913994454
$\sigma_{zz}$,Inv. Gamma,0.1,0.0001,0.102647078515186,0.000111204209534737,0.0864927628747087,0.120662334001472
$\sigma_{{y^*}}$,Inv. Gamma,0.04,1,0.0339398001270087,0.000462405908364577,0.0132966627541293,0.0876969355908179
$\sigma_{g}$,Inv. Gamma,0.02,0.01,0.023734794448658,0.000117685053791642,0.0102107878351944,0.0439417330766875
$\alpha_1_int$,Gaussian,1.4,0.001,1.33184481074183,0.000884238704112427,1.28391808375849,1.37914545951572
$\alpha_2_int$,Gaussian,-0.6,0.01,-0.424296230373794,0.00171219276668047,-0.491986604095707,-0.358414743032209
$\alpha_r_int$,Gaussian,-0.6,0.002,-0.078883341556336,0.000496093100994484,-0.117737717682767,-0.044416552867614
$\alpha_4_int$,Gaussian,0.2,0.01,0.136943336004346,0.00388977473159768,0.0347430495585017,0.240502251370269
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,-0.119857903604886,0.00422906515619624,-0.224379145051173,-0.00947065725679744
$\beta_1_int$,Gaussian,0.6,0.1,0.465828966093811,0.00324300016478292,0.372301470148442,0.561943552874921
$\beta_2_int$,Gaussian,0.2,0.1,0.250935170806568,0.00623919058524472,0.117077223527962,0.379757128777841
$\beta_y_int$,Gaussian,0.4,0.001,0.366649636551879,0.000993567266087888,0.315235892698367,0.418739651959397
$\theta_1^h_int$,Gaussian,1,0.1,1.0045261666304,0.0939922053182002,0.5047961843214,1.50060448696994
$\theta_2^h_int$,Gaussian,0,0.1,0.251539813892463,0.0342293106387713,0.0205019734597006,0.602525613299728
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.46151140207829,0.0242177854539506,1.23023816891381,1.74321220535088
$\sigma_{\pi}_int$,Inv. Gamma,10,1,9.10835444340291,0.376764411829416,8.1458835122686,10.1608161308793
$\sigma_{zz}_int$,Inv. Gamma,0.07,0.01,0.0863532620015355,0.00440931149934442,0.0283163648353834,0.244243512778018
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.02,1,0.0240275918330554,0.000215090962179719,0.00695024497447356,0.0522808646764508
$\sigma_{g}_int$,Inv. Gamma,0.02,0.1,0.0158623597050372,4.42493861537785e-05,0.00783223628547857,0.0292508069671471
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24508702887846,0.00308415378807547,1.15534076241534,1.33948508039692
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.300412239263575,0.00310336167966164,-0.394961844332561,-0.210808735169155
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.124595490647681,0.000498185860717759,-0.161532045177217,-0.0885252924355234
$\beta_1^*_int$,Gaussian,0.5,0.1,0.539198916258936,0.00374694356252575,0.440406444261497,0.639689508035598
$\beta_2^*_int$,Gaussian,0.3,0.1,0.431746655057599,0.00761109137560888,0.289397606280105,0.573460810424703
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0595287691909854,0.000603792383609292,0.0183019374472474,0.099025200114505
$\theta_f^h_int$,Gaussian,1,0.1,1.06809259096723,0.0994982112126515,0.532622062962748,1.59026482836518
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.421384275600223,0.00333492429084513,0.323884878507771,0.512310784632754
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.603930846736144,0.00297037329819509,0.522277542101733,0.69673294891858
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0148816004489792,0.000141182870374172,0.00363335824544419,0.0413031717352896
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0766166218138244,0.00146305982659899,0.0327870523283887,0.153349192821124
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00558898259821224,6.94767669620983e-06,0.00289499088120747,0.0103770936210651
