Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.01,1.23941656279631,0.00633329498329742,1.11118744114243,1.37249100015568
$\alpha_2$,Gaussian,-0.3,0.5,-0.33892691914435,0.00730612844865036,-0.478791231701406,-0.200420657832977
$\alpha_r$,Gaussian,-0.8,0.006,-0.0697480729605155,0.000475696205598837,-0.107011429341597,-0.0356477937866896
$\beta_1$,Gaussian,0.3,0.5,0.49252651486944,0.00364711495535068,0.393305625143634,0.591044200036583
$\beta_2$,Gaussian,0.2,0.5,0.335582211175163,0.00587818555585342,0.206798994468612,0.458028566555379
$\beta_y$,Gaussian,0.5,0.01,0.38788373518108,0.0100138076441448,0.223023357274946,0.550594649487993
$\theta_1^h$,Gaussian,1,0.1,0.876876527300201,0.0964340702433102,0.362342343756421,1.38827506678827
$\sigma_{\hat{y}}$,Inv. Gamma,1,1,0.436980501990173,0.0080721819661514,0.307466363463674,0.602815695301016
$\sigma_{\pi}$,Inv. Gamma,10,1,15.6974382899262,1.80519470058084,13.6168350828181,17.9847728366366
$\sigma_{zz}$,Inv. Gamma,0.4,1,0.299395759857083,0.023825809940215,0.134294620244781,0.60794396587237
$\sigma_{{y^*}}$,Inv. Gamma,1,1,0.534697737733327,0.0110667131954533,0.377495307301812,0.715482989484957
$\sigma_{g}$,Inv. Gamma,0.05,1,0.0199215280222956,4.25052416403578e-05,0.0120160397157343,0.0322771159299296
$\alpha_1_int$,Gaussian,1.5,0.005,1.26172385656901,0.00493923119303378,1.14520286952983,1.37709294581512
$\alpha_2_int$,Gaussian,-0.3,0.5,-0.327403107228646,0.00699140052533687,-0.470879936026685,-0.192112147804717
$\alpha_r_int$,Gaussian,-0.9,0.004,-0.115495223375989,0.000723672191845931,-0.162856453221782,-0.0740506607257868
$\alpha_4_int$,Gaussian,0.2,0.01,0.168155754509863,0.00630788715123453,0.0355669132483348,0.295583681125617
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,-0.082152212104904,0.00811788232163004,-0.227045215325061,0.0739178680637197
$\beta_1_int$,Gaussian,0.3,0.5,0.475787121937765,0.00363260634720727,0.373544681223786,0.575418245982888
$\beta_2_int$,Gaussian,0.2,0.5,0.327426399147163,0.00571107334198408,0.206077963036349,0.45348952399834
$\beta_y_int$,Gaussian,0.5,0.001,0.48625768763483,0.000956451279808698,0.435164359944315,0.537229730000535
$\theta_1^h_int$,Gaussian,1,0.1,0.899392259541883,0.087357790514198,0.410549985343805,1.37943532659993
$\theta_2^h_int$,Gaussian,0,0.1,0.240494861212255,0.0328474564260484,0.0193561171390467,0.591960738739982
$\sigma_{\hat{y}}_int$,Inv. Gamma,1,1,0.726719978672293,0.0414319194041378,0.414017970520795,1.06786817450937
$\sigma_{\pi}_int$,Inv. Gamma,10,1,15.095472536189,1.59043871045947,13.1482444966818,17.2808587077697
$\sigma_{zz}_int$,Inv. Gamma,0.4,1,0.249706350535243,0.0198677225804847,0.121806020658691,0.463692015268769
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.1,1,0.254557581787559,0.0277077687948545,0.0445711656172889,0.569364853030559
$\sigma_{g}_int$,Inv. Gamma,0.05,0.1,0.021313142053798,4.83234695480256e-05,0.0126188989209042,0.0346797846682106
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24927519480138,0.0029159417165421,1.16063964319293,1.33805210595481
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.299658645104076,0.00290585227691429,-0.386219513489616,-0.210265653848876
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.130276966929058,0.000491028530487619,-0.167891264473581,-0.0951409991752704
$\beta_1^*_int$,Gaussian,0.5,0.1,0.536388953337527,0.00420248448760606,0.426564259756919,0.641377389254168
$\beta_2^*_int$,Gaussian,0.3,0.1,0.419243799685394,0.00740362751171045,0.274787939933596,0.559656451920451
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0519030751278826,0.000621024048604838,0.0125903729661767,0.0949041023773156
$\theta_f^h_int$,Gaussian,1,0.1,1.10227276280354,0.0922146454925752,0.60035612635292,1.59038283503355
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.413832763761088,0.00366075456257596,0.314476946990151,0.513007247379222
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.614273909450617,0.00306190400384221,0.529748060829529,0.710098882664822
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00908684453802598,2.77468869673953e-05,0.00337621202736733,0.019541021397443
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0810283287379533,0.00150903209941261,0.035369337915281,0.163055818006997
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00592947452949492,6.06506352372156e-06,0.00307087289417047,0.0107919169491021
