Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.01,1.40342316156329,0.00755436115755688,1.25981792766627,1.5452833620181
$\alpha_2$,Gaussian,-0.6,0.1,-0.459411085719592,0.00807647321139038,-0.607965180424667,-0.310957986947373
$\alpha_r$,Gaussian,-0.4,0.04,-0.00152960085433064,0.00106756346290102,-0.0537502154709803,0.0521127267457825
$\beta_1$,Gaussian,0.5,0.1,0.471674608903189,0.0045127952686744,0.361910147939783,0.584882423217949
$\beta_2$,Gaussian,0.1,0.1,0.218286863517968,0.00670082898081652,0.0844008055616606,0.352072459445552
$\beta_y$,Gaussian,0.5,0.05,0.845142050244061,0.042657437031364,0.48622627562256,1.17564253603022
$\theta_1^h$,Gaussian,1,0.2,1.02866390809744,0.19082460219498,0.331826876577113,1.78104163466513
$\sigma_{\hat{y}}$,Inv. Gamma,1,0.5,0.55126774757164,0.0119329907102796,0.39308329674028,0.746726946717915
$\sigma_{\pi}$,Inv. Gamma,15,1,17.5236762926972,1.5279910222187,15.6149209535058,19.678956686123
$\sigma_{zz}$,Inv. Gamma,0.2,0.2,0.210760144973625,0.0496651777553002,0.0703159128278712,0.660474181399097
$\sigma_{{y^*}}$,Inv. Gamma,0.7,1,0.314266728333788,0.00596255680246151,0.20752668976986,0.458221436994952
$\sigma_{g}$,Inv. Gamma,0.2,0.2,0.0971878903265805,0.000931907239569647,0.0578912316534253,0.155442332204664
$\alpha_1_int$,Gaussian,1.5,0.01,1.41794041054748,0.00815258827673034,1.26758612093171,1.56578485248208
$\alpha_2_int$,Gaussian,-0.6,0.1,-0.495423862716719,0.00860256504057487,-0.644614918327378,-0.334243586554151
$\alpha_r_int$,Gaussian,-0.4,0.03,-0.00251082167382591,0.00100355704838799,-0.0548443979453979,0.0506614391829944
$\alpha_4_int$,Gaussian,0.2,0.01,0.0750526961698081,0.00481021530931977,-0.041383236309491,0.185677163960042
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,-0.142536843916137,0.00615485142827835,-0.268111614010703,-0.0149035941883468
$\beta_1_int$,Gaussian,0.5,0.1,0.466340912278308,0.00463260585252315,0.35342592032382,0.577666099359862
$\beta_2_int$,Gaussian,0.1,0.1,0.227348825596909,0.00643692511677868,0.0932139391436302,0.361629225650787
$\beta_y_int$,Gaussian,0.5,0.05,0.850393559366507,0.0407575081061649,0.516952339695921,1.18403786515411
$\theta_1^h_int$,Gaussian,1,0.02,0.992440336267032,0.0185410583829888,0.762274959138747,1.21755816799337
$\theta_2^h_int$,Gaussian,0,0.1,0.251110818308185,0.0371776968096709,0.018816720803163,0.617106751305784
$\sigma_{\hat{y}}_int$,Inv. Gamma,1,1,0.513630311328876,0.0136008451178895,0.351091609670333,0.733623204117385
$\sigma_{\pi}_int$,Inv. Gamma,15,1,17.3041121672109,1.3620048070952,15.5113921681788,19.3317694017849
$\sigma_{zz}_int$,Inv. Gamma,0.3,1,0.28953645960087,0.0454041535564256,0.101677392557051,0.795219694156868
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,1,1,0.438728396528184,0.00907963509245474,0.301792945847297,0.60878317683409
$\sigma_{g}_int$,Inv. Gamma,0.3,1,0.128577301543118,0.00162120115560273,0.0786892945181013,0.205245302317576
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24688903677706,0.00330943414627748,1.15422107243367,1.3421183787116
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.305993906054551,0.00341121742992798,-0.401620785719164,-0.20882526253522
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.122145932196492,0.000467980613361012,-0.158325525768185,-0.0879611777749616
$\beta_1^*_int$,Gaussian,0.5,0.1,0.540736946620805,0.00401335802970516,0.436456900922229,0.647256210705722
$\beta_2^*_int$,Gaussian,0.3,0.1,0.411021578385991,0.00711835122856062,0.271091089324287,0.549474931180443
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0623594544353193,0.000594876479693641,0.0214327668320665,0.101732654062687
$\theta_f^h_int$,Gaussian,1,0.1,1.09080226338875,0.0955633992288963,0.57894925535783,1.60103607281326
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.402797884366816,0.00403713428496483,0.290706751653859,0.500008944825008
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.610700640446336,0.00276946982585782,0.526529493182217,0.701592453180196
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00803007866551301,2.19069254762441e-05,0.00338409844370691,0.0179058519791855
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0941210367756679,0.00285925222558001,0.0361939097638886,0.205327163983368
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00545433000008314,3.80983818178982e-06,0.00299220709179504,0.00923589831173666
