Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.462285907591,0.000973451655086523,1.41039762500984,1.51287176049934
$\alpha_2$,Gaussian,-0.6,0.1,-0.556063810808993,0.00497382246942191,-0.686696554087519,-0.456895588524269
$\alpha_r$,Gaussian,-0.6,0.002,-0.477160262495294,0.00201769811266639,-0.549597217165224,-0.400177452561338
$\beta_1$,Gaussian,0.6,0.01,0.541118143800109,0.00359379915345875,0.444130011701573,0.642256408268724
$\beta_2$,Gaussian,0.2,0.01,0.107312750045346,0.0049531717955062,-0.00778426961623686,0.223089870434025
$\beta_y$,Gaussian,0.4,0.001,0.378665046758963,0.000984071725819109,0.32641063698741,0.429677984554451
$\theta_1^h$,Gaussian,1,0.2,0.928061702230263,0.171610235705419,0.24615630980677,1.63348307093051
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.44115542118704,0.0521622994108301,1.10040638465201,1.85216063601222
$\sigma_{\pi}$,Inv. Gamma,7,1,8.99728104662419,0.903108787324057,7.55671988691015,10.6813018594415
$\sigma_{zz}$,Inv. Gamma,0.03,1,0.0341801428424014,0.000552920398509986,0.0105593510863045,0.0862933685391744
$\sigma_{{y^*}}$,Inv. Gamma,0.1,1,0.0760697147520732,0.00158149008909849,0.032774852746631,0.16149347547216
$\sigma_{g}$,Inv. Gamma,0.03,1,0.0176496533531367,6.57154857938434e-05,0.0088862866922533,0.033616660864145
$\alpha_1_int$,Gaussian,1.5,0.001,1.46553807040596,0.000989342779554876,1.41598871285892,1.51873076569704
$\alpha_2_int$,Gaussian,-0.6,0.5,-0.620273435003773,0.00791985336897423,-0.776080078543916,-0.480961813219716
$\alpha_r_int$,Gaussian,-0.7,0.005,-0.436744809341767,0.00464931126438219,-0.553908046242854,-0.325306583679452
$\alpha_4_int$,Gaussian,0.2,0.1,-0.0153633851143461,0.0298747888141271,-0.304798928624907,0.272035886761889
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.104693956909498,0.023455827455878,-0.152643118917318,0.357061688997413
$\beta_1_int$,Gaussian,0.5,1,0.510372217735045,0.00573393956321994,0.382535434561768,0.635318461409136
$\beta_2_int$,Gaussian,0.2,0.5,0.097609415016865,0.0047687782697736,0.00840571147378663,0.228482155711315
$\beta_y_int$,Gaussian,0.4,0.001,0.376220334425465,0.00104826459583768,0.322638537332766,0.428790921460478
$\theta_1^h_int$,Gaussian,1,0.02,0.984211448094299,0.018712047487663,0.76320442007798,1.21347943515461
$\theta_2^h_int$,Gaussian,0,0.1,0.253899798350828,0.0359857498116056,0.0204041844538634,0.621906297382854
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.29263254256186,0.0473779429531349,0.979488034367296,1.68272188973524
$\sigma_{\pi}_int$,Inv. Gamma,3,1,9.66829248918813,1.61374826267001,7.75830348283808,11.9491377579104
$\sigma_{zz}_int$,Inv. Gamma,0.05,1,0.0423345086999097,0.000577339298703976,0.0165151404339298,0.0901085394845901
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.3,1,0.201952855603532,0.00845871770961964,0.0964392126816659,0.371826245342715
$\sigma_{g}_int$,Inv. Gamma,0.1,1,0.0509006271762994,0.000464454492438169,0.0265081772309744,0.098223079114482
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.23817626844892,0.00295638730460083,1.15173417751855,1.33108251583403
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.295241042422291,0.00296168869282039,-0.388404804834911,-0.207707300376406
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.129710702452687,0.000490327934552322,-0.166979333889395,-0.095361067172491
$\beta_1^*_int$,Gaussian,0.5,0.1,0.534646559932418,0.00407047619232088,0.429358237601545,0.638547343827401
$\beta_2^*_int$,Gaussian,0.3,0.1,0.42032895056137,0.0083789397466532,0.272434695475378,0.575230675135705
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0634565343837683,0.000560734948511671,0.0250039769236317,0.102919092995516
$\theta_f^h_int$,Gaussian,1,0.1,1.05726891254592,0.100540264475591,0.538067559242226,1.5849892368269
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.409286348821565,0.00309963645292363,0.318091872053412,0.499933792472823
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.61199958748372,0.00273592166793865,0.530673091526303,0.70280511243896
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0288271722638672,0.000558642846342649,0.00376052628761508,0.0728294891661035
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0795182396779135,0.00136190627687097,0.0347200225345602,0.151322591891809
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00599820048246825,1.14538095813908e-05,0.00301421446066681,0.0142497145815879
