Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.004,1.35960743475942,0.00290994599232176,1.27143193380982,1.44900805349681
$\alpha_2$,Gaussian,-0.6,0.01,-0.540466207554264,0.00379290282292065,-0.641611536290696,-0.439183604280005
$\alpha_r$,Gaussian,-0.6,0.002,-0.353699304295613,0.0019011910474769,-0.42515874117842,-0.282311848632755
$\beta_1$,Gaussian,0.5,0.1,0.292117751120962,0.00319693197557142,0.198896411450279,0.385038653362446
$\beta_2$,Gaussian,0.2,0.1,0.42532878504525,0.00706320366678419,0.288754556767733,0.563406305614847
$\beta_y$,Gaussian,0.3,0.003,0.249328686965847,0.00247891718748683,0.169324523017932,0.330741813540937
$\theta_1^h$,Gaussian,1,0.1,1.05504645360884,0.0979605968615093,0.52912405585727,1.56891392097988
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.24729577089714,0.0468174436617367,0.933865079765681,1.63203717005874
$\sigma_{\pi}$,Inv. Gamma,10,1,15.6358505135401,1.93539026699185,13.5075532104118,18.0791195904351
$\sigma_{zz}$,Inv. Gamma,0.3,1,0.380169545206911,0.0452634011819929,0.125560197215139,0.808310778087574
$\sigma_{{y^*}}$,Inv. Gamma,0.7,1,0.373736160565732,0.0127178570221045,0.223696489994769,0.589481783454462
$\sigma_{g}$,Inv. Gamma,0.05,1,0.0409771468486937,0.000812671635373949,0.0161557581524863,0.0969178506216303
$\alpha_1_int$,Gaussian,1.5,0.004,1.3231142744559,0.00346490883976228,1.2252997194388,1.41974205368455
$\alpha_2_int$,Gaussian,-0.6,0.01,-0.557142091897008,0.0043560350625704,-0.662047131444862,-0.448069207323693
$\alpha_r_int$,Gaussian,-0.6,0.002,-0.360417125257421,0.00178335290193718,-0.4325259397927,-0.292172210731673
$\alpha_4_int$,Gaussian,0.2,0.1,0.00208691526101084,0.0316809956585028,-0.288517569348014,0.300884062218258
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.260270635949439,0.0330021131721354,-0.0467577933398863,0.558345467266887
$\beta_1_int$,Gaussian,0.5,0.1,0.292479716184092,0.00324197779947658,0.198123363860716,0.385395432971609
$\beta_2_int$,Gaussian,0.2,0.1,0.422502107078503,0.00747614013913744,0.279369619396512,0.564119439373513
$\beta_y_int$,Gaussian,0.3,0.003,0.253352401566799,0.00220360263687185,0.174934927327449,0.330049795014971
$\theta_1^h_int$,Gaussian,1,0.1,1.02316370454972,0.0998494129598363,0.500709065451745,1.55254993035188
$\theta_2^h_int$,Gaussian,0,0.1,0.274840297622377,0.0414795728931656,0.0239325232671382,0.666261586519991
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.31397766964146,0.0452014811921173,1.00001944000131,1.69986673989467
$\sigma_{\pi}_int$,Inv. Gamma,10,1,15.6238875414612,1.78842971017703,13.5194135213159,17.9822619751243
$\sigma_{zz}_int$,Inv. Gamma,0.3,1,0.229473890412482,0.0116656307278065,0.101785297262592,0.443166000412188
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.7,1,0.354188370610689,0.0101094773630857,0.21782465170962,0.544874172839555
$\sigma_{g}_int$,Inv. Gamma,0.05,1,0.0358058681921629,0.000328484925449218,0.016093546806614,0.0705032775709591
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.2523384365859,0.00338539685320095,1.16075590859618,1.35359462558111
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.310797656728894,0.00340820821321244,-0.411595018827817,-0.215400546504626
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.123411633029631,0.000491998828511098,-0.160564387931345,-0.0880699645802815
$\beta_1^*_int$,Gaussian,0.5,0.1,0.534324762125655,0.00356933543993021,0.43459912448528,0.632973127232834
$\beta_2^*_int$,Gaussian,0.3,0.1,0.409198353095644,0.00648865511499962,0.273326350185454,0.540451344627511
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0692399694380212,0.000603477143713051,0.0290662002697417,0.110105817082827
$\theta_f^h_int$,Gaussian,1,0.1,1.09221829461638,0.102868382733289,0.573885470767195,1.6262374988949
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.394867354302435,0.00350126657370109,0.292026146565795,0.486998447585526
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.612959024828428,0.00322491205832635,0.524755808287611,0.710189169783081
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0103677764664401,5.04256523012314e-05,0.00348194434983601,0.0271015014952475
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0957924654410481,0.00243982389066386,0.0379791046557077,0.185431553528677
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00573527738297292,4.82688033208594e-06,0.00307322426919507,0.010129599960955
