Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.01,1.34177509756913,0.00472082624989525,1.21972654909037,1.44513210851015
$\alpha_2$,Gaussian,-0.6,0.001,-0.551814208399047,0.000885166005318376,-0.59986205406098,-0.502559973376269
$\alpha_r$,Gaussian,-0.85,0.002,-0.082505648265391,0.000282049545332384,-0.110634184507725,-0.0557587972951347
$\beta_1$,Gaussian,0.5,0.05,0.788541002868861,0.00570395815746752,0.669530589296751,0.917326461187598
$\beta_2$,Gaussian,0.2,0.05,0.159137852076035,0.00671801733394861,0.0241856588262127,0.294910150434656
$\beta_y$,Gaussian,0.5,0.001,0.45661948928368,0.000906059953194918,0.405774186522731,0.504829745098262
$\theta_1^h$,Gaussian,1,0.2,0.981589260813548,0.157748001130132,0.333511678128952,1.64808359438418
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,1.50408554896566,0.0403780928991795,1.19012291974676,1.85472901506915
$\sigma_{\pi}$,Inv. Gamma,14,1,11.9912204690389,0.448668397673046,10.9541925572389,13.1292669696693
$\sigma_{zz}$,Inv. Gamma,0.4,0.1,0.302587594281322,0.012791780601704,0.165625753939225,0.524950796589933
$\sigma_{{y^*}}$,Inv. Gamma,0.1,1,0.0791881210558832,0.00286974247848606,0.031989089408314,0.171934513762308
$\sigma_{g}$,Inv. Gamma,0.1,0.1,0.0908599904906874,0.00244895028141102,0.0374832974231978,0.203518995652944
$\alpha_1_int$,Gaussian,1.5,0.001,1.43653785748221,0.000898031169550957,1.38700237189766,1.48532449805595
$\alpha_2_int$,Gaussian,-0.6,0.05,-0.495870629467888,0.00162667597276355,-0.562909576676784,-0.429529995543039
$\alpha_r_int$,Gaussian,-0.85,0.002,-0.0799091263810969,0.000228369021192473,-0.10463074105665,-0.0551297128643665
$\alpha_4_int$,Gaussian,0.2,0.01,0.0963106162545668,0.00451484394361757,-0.0162961532593363,0.205852121354517
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,-0.0393866073176729,0.00446185851760846,-0.149194433867298,0.0694801996586547
$\beta_1_int$,Gaussian,0.5,0.05,0.791331640187723,0.00437004085178603,0.677452276263506,0.893763608517634
$\beta_2_int$,Gaussian,0.2,0.05,0.139308696323533,0.00542367042430627,0.024594606034617,0.271193364638814
$\beta_y_int$,Gaussian,0.5,0.001,0.445800588824188,0.00114966064753681,0.390238752761828,0.50246976645286
$\theta_1^h_int$,Gaussian,1,0.2,0.977607477190263,0.176383085008709,0.299175040993007,1.69484077157797
$\theta_2^h_int$,Gaussian,0,0.01,0.0799724894838894,0.00372327182240964,0.00630248942524837,0.199672263612737
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,1.73402205156857,0.0503983616580268,1.3975675815915,2.13139644395058
$\sigma_{\pi}_int$,Inv. Gamma,14,1,12.0968722339106,0.437162969826113,11.0384793044702,13.1703504302548
$\sigma_{zz}_int$,Inv. Gamma,0.1,0.1,0.0621887091241999,0.000646957690813161,0.0322081989602145,0.115167418875215
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.1,1,0.0673663191187575,0.00102709679036075,0.0315398456838878,0.131523322508028
$\sigma_{g}_int$,Inv. Gamma,0.1,0.1,0.0538679366093369,0.000651004348879071,0.0283434107097398,0.103994408297045
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.26103100853613,0.00324606403561173,1.16778308980733,1.35439231044811
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.320689336922033,0.00329000592681938,-0.415149109818222,-0.228618421788361
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.124562989318623,0.000493380665861713,-0.16113552313927,-0.0887237205335874
$\beta_1^*_int$,Gaussian,0.5,0.1,0.539115024124595,0.00434949720495952,0.42974889519106,0.646952177300574
$\beta_2^*_int$,Gaussian,0.3,0.1,0.416592645781352,0.00800551769521989,0.268314822375905,0.566196037267259
$\beta_y^*_int$,Gaussian,0.13,0.001,0.062464026195057,0.000513345079650385,0.0257868173875264,0.0999417632976543
$\theta_f^h_int$,Gaussian,1,0.1,1.03060685203025,0.0944120205517597,0.511569375724601,1.51167604339462
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.402125411878062,0.00348825707895322,0.304083353472496,0.50111078879303
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.610996338721767,0.00318728213920514,0.525038814611091,0.711176428156252
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0126374030483844,8.93119013122475e-05,0.00355546476490992,0.0345668600072296
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0906783919854558,0.00217538981949525,0.036078368746075,0.185629310794094
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00591976837993539,6.14445678098511e-06,0.00296497610706625,0.0109865523482757
