Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.44949449332831,0.000917435072509948,1.3998569630939,1.49974816462534
$\alpha_2$,Gaussian,-0.6,0.07,-0.788752710778005,0.00451745015458133,-0.90064153377104,-0.677117433976275
$\alpha_r$,Gaussian,-0.8,0.001,-0.682441181886838,0.00106867307197864,-0.735568399130812,-0.628286860065449
$\beta_1$,Gaussian,0.7,0.01,0.496815833211993,0.00385319507046972,0.394095782962612,0.597161477145853
$\beta_2$,Gaussian,0.2,0.1,0.382787115250821,0.010525890143757,0.212963514649813,0.551345225477401
$\beta_y$,Gaussian,0.4,0.001,0.320665617813204,0.00102674165458032,0.268103085786243,0.373008355961832
$\theta_1^h$,Gaussian,1,0.2,0.959362009417168,0.184533136005598,0.249707748850824,1.6873763050055
$\sigma_{\hat{y}}$,Inv. Gamma,5,1,2.87365615132374,0.0711898221725023,2.46154198495512,3.34005570339349
$\sigma_{\pi}$,Inv. Gamma,15,1,13.9209065690947,0.549022275719856,12.7239061530898,15.138814126216
$\sigma_{zz}$,Inv. Gamma,0.1,1,0.15532137009726,0.0141697054084921,0.0377389519978275,0.437188132012905
$\sigma_{{y^*}}$,Inv. Gamma,0.3,1,0.131328496399597,0.00176907122408382,0.0785144226996612,0.212391598059154
$\sigma_{g}$,Inv. Gamma,0.1,1,0.0562090077784992,0.000486398801276916,0.0300933399021577,0.0981109041466493
$\alpha_1_int$,Gaussian,1.5,0.001,1.44856196201099,0.000925260978018448,1.39878010548749,1.49837967486156
$\alpha_2_int$,Gaussian,-0.6,0.07,-0.795136905637474,0.00466573067722349,-0.908469409667199,-0.682901221882385
$\alpha_r_int$,Gaussian,-0.8,0.001,-0.684172036733337,0.0010365882415314,-0.735075594930087,-0.629639208811486
$\alpha_4_int$,Gaussian,0.2,0.1,0.293797773643952,0.0259992908121309,0.0192430968369825,0.55786478282651
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,-0.0472916954603543,0.0274810812177728,-0.3095484883024,0.242657968583758
$\beta_1_int$,Gaussian,0.7,0.01,0.486030710146628,0.00389801733945875,0.383600569124492,0.588941655978473
$\beta_2_int$,Gaussian,0.2,0.1,0.377750634091732,0.0113998541897004,0.198385651447774,0.550995590249444
$\beta_y_int$,Gaussian,0.4,0.001,0.315701204654069,0.00109657037148436,0.26201063226003,0.368625264243479
$\theta_1^h_int$,Gaussian,1,0.2,0.903462596356694,0.169051679974511,0.242075484882944,1.60008090157555
$\theta_2^h_int$,Gaussian,0,0.1,0.261089165734952,0.0393851447487927,0.0215119883534243,0.655183934912145
$\sigma_{\hat{y}}_int$,Inv. Gamma,5,1,2.95204743194983,0.0698621326600387,2.54369828055886,3.39527532596405
$\sigma_{\pi}_int$,Inv. Gamma,15,1,13.8316336818284,0.52124010881849,12.7161833545728,15.1013611334379
$\sigma_{zz}_int$,Inv. Gamma,0.1,0.7,0.121764286806655,0.00859687091694204,0.0359989030665536,0.348454122508654
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.3,1,0.137009339109934,0.00261104328656907,0.078899610252196,0.237843092680946
$\sigma_{g}_int$,Inv. Gamma,0.1,1,0.0534357660552275,0.000364350320663432,0.029867614432952,0.0922088760779987
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24776722047463,0.00319619769485425,1.15382705580884,1.33963188973007
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.306842448622464,0.00321396147672289,-0.402196418413092,-0.21418027337948
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.122709282262532,0.000517045200262102,-0.159981081435518,-0.0851261042944726
$\beta_1^*_int$,Gaussian,0.5,0.1,0.536026510719631,0.00406455494112727,0.432471443186481,0.640206191048312
$\beta_2^*_int$,Gaussian,0.3,0.1,0.409782998284258,0.00781811442057021,0.266931053572194,0.553236630573167
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0667742708792432,0.000568620089574987,0.0284568137498998,0.105639118092796
$\theta_f^h_int$,Gaussian,1,0.1,1.07121786130498,0.0961845662077355,0.56453279849829,1.58515187222917
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.409161115204965,0.00357852729109008,0.307055643584985,0.508740099265542
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.615244719979476,0.00284368810609285,0.531576384331363,0.705425641951859
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0183623876725567,0.000133114297474264,0.00406617552138754,0.0391955345622727
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0845298148029237,0.00165877451183733,0.0357336649218952,0.165271520836908
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00519546990149729,3.40359092370616e-06,0.00288757074005799,0.0089339119471228
