Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.43110945483522,0.00095695727804506,1.37816579709553,1.47959082823949
$\alpha_2$,Gaussian,-0.5,0.001,-0.513825904115215,0.0007120384512992,-0.55771383706272,-0.46892103549836
$\alpha_r$,Gaussian,-0.85,0.001,-0.0723435865784313,0.000191395184213539,-0.0960351577520093,-0.0507736979901033
$\beta_1$,Gaussian,0.6,0.1,0.682191911827432,0.00375079323403353,0.58022303469981,0.782844565306645
$\beta_2$,Gaussian,0.2,0.1,0.341326940045595,0.00667815811132553,0.207780038472249,0.481260376664584
$\beta_y$,Gaussian,0.4,0.001,0.324245431120326,0.000922089234358698,0.274083741505789,0.374568904897697
$\theta_1^h$,Gaussian,1,0.1,0.972542267799296,0.0998279668499137,0.453538830959425,1.49395392796923
$\sigma_{\hat{y}}$,Inv. Gamma,3,1,4.08819317505422,0.326998482262115,3.23138222656097,5.0777712886088
$\sigma_{\pi}$,Inv. Gamma,20,1,19.5469956397378,0.755003307626555,18.2015376968277,21.0738470285808
$\sigma_{zz}$,Inv. Gamma,0.1,0.1,0.0866384741707757,0.00275662573156225,0.0337348582967249,0.169697531138638
$\sigma_{{y^*}}$,Inv. Gamma,0.6,1,0.335373707166001,0.0128438474452769,0.191515330891136,0.552383220491059
$\sigma_{g}$,Inv. Gamma,0.1,0.1,0.057196699968372,0.00057820434663545,0.0286748447332267,0.107257522237333
$\alpha_1_int$,Gaussian,1.5,0.001,1.43031038936205,0.00059727547911069,1.38989668268942,1.47103902510603
$\alpha_2_int$,Gaussian,-0.5,0.001,-0.521261250034204,0.000606000556053692,-0.561933158178479,-0.481330088590811
$\alpha_r_int$,Gaussian,-0.7,0.005,0.00975860352515218,9.18261940157287e-05,-0.00600317520962252,0.0257121952813174
$\alpha_4_int$,Gaussian,0.2,0.1,0.0246538020622194,0.0204118713305507,-0.197691438969237,0.265529111531195
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.1,0.0382521962008933,0.0200200770263223,-0.19825049015181,0.266695422586707
$\beta_1_int$,Gaussian,0.6,0.1,0.643140019172001,0.0040990775773427,0.536141450091452,0.748969278125145
$\beta_2_int$,Gaussian,0.2,0.1,0.307163215396146,0.00763689959299821,0.158613945500713,0.446709343053363
$\beta_y_int$,Gaussian,0.4,0.001,0.347216300871615,0.000839171360460534,0.299604626345377,0.395981548371803
$\theta_1^h_int$,Gaussian,1,0.1,1.02578005288322,0.0952724502835983,0.526828497098782,1.53632681427534
$\theta_2^h_int$,Gaussian,0,0.1,0.250421610832281,0.0334511298059996,0.019444699745756,0.608872654309348
$\sigma_{\hat{y}}_int$,Inv. Gamma,3,1,3.14918568250963,0.138977706479441,2.58686081593634,3.79627966572774
$\sigma_{\pi}_int$,Inv. Gamma,20,1,19.2832316693653,0.647715141038753,18.0358790340558,20.6835913349129
$\sigma_{zz}_int$,Inv. Gamma,0.1,0.1,0.110251593771983,0.00768162992985057,0.0341292656783463,0.307962682457227
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.5,1,0.310230577288846,0.0183227114957518,0.160414624964002,0.59713146449375
$\sigma_{g}_int$,Inv. Gamma,0.5,1,0.207517037539871,0.00398363166198444,0.126240830574079,0.330116471818777
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24642787980628,0.00326791305442747,1.15552408921584,1.341573882771
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.30679831860578,0.00299178745331528,-0.401697163883382,-0.219730025458743
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.125341239783664,0.000542131459628633,-0.163325174287142,-0.0859224458281405
$\beta_1^*_int$,Gaussian,0.5,0.1,0.532125889856479,0.00403138096846252,0.427697452541759,0.631748392550044
$\beta_2^*_int$,Gaussian,0.3,0.1,0.424232888998362,0.00683537836311728,0.291778173104135,0.565590705574534
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0652630350535463,0.000585340252538576,0.0259004271057979,0.104503452923384
$\theta_f^h_int$,Gaussian,1,0.1,1.06183095567034,0.0983445661644945,0.54545395689706,1.56436895463675
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.411550391646575,0.00301389968452017,0.325457153154341,0.503229391487377
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.616252654229564,0.00267587157640942,0.536153547435676,0.706765021421082
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0128430940171337,9.11135513711646e-05,0.00356551417489798,0.0349371682351217
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0748120706664888,0.000853568298272711,0.0366318207623517,0.132000386429684
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00671595183705763,1.48965965471567e-05,0.00312210773236943,0.0150835267371248
