Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.001,1.45406263642791,0.000935125179854548,1.40433366639776,1.50534100607817
$\alpha_2$,Gaussian,-0.6,0.1,-0.575472406487895,0.00464670341786412,-0.687792205436134,-0.466362171985159
$\alpha_r$,Gaussian,-0.5,0.002,-0.2514551290905,0.00200498860572909,-0.326098521309831,-0.178089450983911
$\beta_1$,Gaussian,0.6,0.1,0.487893241979895,0.00455981675887898,0.377932854010676,0.598232163036746
$\beta_2$,Gaussian,0.2,0.1,0.47980245952432,0.00957644861659164,0.318062484567855,0.63919465490671
$\beta_y$,Gaussian,0.3,0.005,0.214309205418548,0.00627355717055918,0.0786149844934702,0.343793541228999
$\theta_1^h$,Gaussian,1,0.02,0.958509004761314,0.0203482051700884,0.719047630578517,1.19873132802529
$\sigma_{\hat{y}}$,Inv. Gamma,1,1,1.32640925115678,0.0949452590369613,0.832585825365269,1.86132411031083
$\sigma_{\pi}$,Inv. Gamma,13,1,14.4493174829569,1.05942162872164,12.8609488539025,16.2243059002343
$\sigma_{zz}$,Inv. Gamma,0.05,0.1,0.0942261057909712,0.00589738580494088,0.0192615959567638,0.251079856505418
$\sigma_{{y^*}}$,Inv. Gamma,0.2,0.1,0.226150889629394,0.0185635439822144,0.079594714568584,0.523831952721704
$\sigma_{g}$,Inv. Gamma,0.02,0.1,0.0207386209509163,0.000180014341529763,0.0077015606705577,0.0494270280612909
$\alpha_1_int$,Gaussian,1.5,0.001,1.44467526276808,0.00101896971393941,1.39110652511656,1.49530891837412
$\alpha_2_int$,Gaussian,-0.6,0.1,-0.561022162518442,0.00403698663913902,-0.668554264360925,-0.463512598209975
$\alpha_r_int$,Gaussian,-0.5,0.003,-0.196622446138641,0.00224325266895343,-0.274712951044093,-0.119817696221791
$\alpha_4_int$,Gaussian,0.2,0.01,0.235228284160866,0.00512094311202649,0.117980720683377,0.353528645376634
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.001,-0.054149076178441,0.000980077600980842,-0.103714760950048,-0.00160755867859259
$\beta_1_int$,Gaussian,0.6,0.1,0.47040151875008,0.0042796675793592,0.360984783479871,0.575951090475665
$\beta_2_int$,Gaussian,0.2,0.1,0.467694554829419,0.0097389990315628,0.301786850465396,0.624472168126653
$\beta_y_int$,Gaussian,0.3,0.005,0.252757888964566,0.00509400243169087,0.135135144391992,0.367254628966785
$\theta_1^h_int$,Gaussian,1,0.02,0.976610228920453,0.01715000863601,0.757419721576267,1.19150651801871
$\theta_2^h_int$,Gaussian,0,0.1,0.264319180337917,0.0432476229380561,0.020810141001485,0.681074473695275
$\sigma_{\hat{y}}_int$,Inv. Gamma,1,1,1.36970486819342,0.0778803417632747,0.934086381395017,1.86913116473986
$\sigma_{\pi}_int$,Inv. Gamma,13,1,14.2384770862059,0.869749386387488,12.7919643841138,15.8563534834435
$\sigma_{zz}_int$,Inv. Gamma,0.06,0.05,0.0466426421954561,0.00056970247459489,0.0196625098100023,0.0994686364550977
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.12,0.05,0.173366385034502,0.0132328468332986,0.049387483065471,0.424523486927904
$\sigma_{g}_int$,Inv. Gamma,0.03,0.1,0.0228419100154802,0.000151792215766171,0.0103556107116601,0.0444032430505206
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.26173042072892,0.00313124003372647,1.17027913129022,1.3542649412636
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.307914711628935,0.00299864145628862,-0.401223615115879,-0.220504957691604
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.12514575854745,0.000465086224323846,-0.161140822602912,-0.0900196693645495
$\beta_1^*_int$,Gaussian,0.5,0.1,0.53189261947154,0.00376132342627008,0.431582965311642,0.633370087174041
$\beta_2^*_int$,Gaussian,0.3,0.1,0.419252702419468,0.00799967241313961,0.275535619005893,0.568970100090961
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0581705266350464,0.000504810245710035,0.0230708513549366,0.0952793029475712
$\theta_f^h_int$,Gaussian,1,0.1,1.07326978675861,0.0956655805583944,0.574309749823848,1.57604856524936
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.415448320630444,0.00336615202888872,0.316528434588845,0.50904992094149
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.616725867310728,0.00329951431054062,0.528282217616299,0.711949257355989
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0135683698175745,8.81431128671998e-05,0.00392027508226379,0.0352282129299586
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0796716858277454,0.00148467440549083,0.0349100419298663,0.159575248945343
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00520070728415869,3.74223320828069e-06,0.00282551050034483,0.0091090816144369
