Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.003,1.31833298639741,0.00273551326609435,1.23410138851686,1.40595165766946
$\alpha_2$,Gaussian,-0.6,0.1,-0.355678029539844,0.00339929620399224,-0.454783614830663,-0.263778217493297
$\alpha_r$,Gaussian,-0.5,0.005,-0.159125612026111,0.0030991065883576,-0.25193782134781,-0.0674075333901263
$\beta_1$,Gaussian,0.4,0.1,0.379663742435829,0.00352158165860158,0.281278133533057,0.479304687087713
$\beta_2$,Gaussian,0.2,0.1,0.297053620173351,0.00643057375876575,0.163132527370378,0.426530738544194
$\beta_y$,Gaussian,0.4,0.01,0.164819818446341,0.0162231201795497,-0.0198773967443816,0.368475823151305
$\theta_1^h$,Gaussian,1,0.2,0.863208181763332,0.162764856121981,0.215173084209135,1.54851783527733
$\sigma_{\hat{y}}$,Inv. Gamma,2,1,5.63007974670945,0.624697052757802,4.45108272493589,7.05593660334157
$\sigma_{\pi}$,Inv. Gamma,10,1,19.7307549145009,2.976815010215,17.0642468750385,22.7261320907342
$\sigma_{zz}$,Inv. Gamma,0.2,1,0.144621856896292,0.0056589619341817,0.0657069828075653,0.29741823827828
$\sigma_{{y^*}}$,Inv. Gamma,0.01,1,0.00910111550495889,6.60141915724406e-05,0.0031862042150554,0.0296336497064839
$\sigma_{g}$,Inv. Gamma,0.3,1,0.129660086219095,0.00187964639297399,0.0775115171270899,0.211306292486481
$\alpha_1_int$,Gaussian,1.5,0.001,1.44141126938055,0.00114533000044731,1.38492229819112,1.49694670243955
$\alpha_2_int$,Gaussian,-0.6,0.1,-0.519128702844667,0.00401346773362163,-0.634274807816914,-0.42974739049037
$\alpha_r_int$,Gaussian,-0.55,0.002,-0.386784204611667,0.00181319032907483,-0.457664632215838,-0.317741193222022
$\alpha_4_int$,Gaussian,0.2,0.01,0.230218299043405,0.00709538178033213,0.0949759000246884,0.367047072431198
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,0.00221634204111103,0.00683377201032122,-0.130068792626903,0.14053214667855
$\beta_1_int$,Gaussian,0.6,0.01,0.418808112518535,0.00277170130161519,0.332153964953836,0.505361592217813
$\beta_2_int$,Gaussian,0.2,0.1,0.262134543069262,0.00605821020872387,0.134961574934481,0.390727312535189
$\beta_y_int$,Gaussian,0.4,0.001,0.379601329354032,0.00103585050588086,0.327745052443861,0.432967581656557
$\theta_1^h_int$,Gaussian,1,0.16,0.865792097235416,0.141971801181899,0.242794770819944,1.47816816727171
$\theta_2^h_int$,Gaussian,0,0.1,0.245696122488698,0.0371267229036649,0.0174555464154857,0.626044323342072
$\sigma_{\hat{y}}_int$,Inv. Gamma,2,1,7.66180615356336,1.09175748697996,6.03652351400005,9.45177690568139
$\sigma_{\pi}_int$,Inv. Gamma,15,1,18.8046065176082,1.52423050636709,16.9328968393701,20.975897932197
$\sigma_{zz}_int$,Inv. Gamma,0.2,1,0.12539614421353,0.00309018972788253,0.0607867816323254,0.237445641474943
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.005,0.01,0.003819731346111,4.00602829810537e-06,0.001624711457362,0.00781252983084253
$\sigma_{g}_int$,Inv. Gamma,0.3,1,0.209431027503413,0.0316776704965068,0.0849723755924913,0.656517219085829
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.24617711838795,0.00313522576468626,1.15546454582431,1.3403044737689
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.289079085424572,0.00305424398688437,-0.381338864683632,-0.197731574122917
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.13334460524554,0.000488511572222162,-0.170117262282909,-0.0976519394296613
$\beta_1^*_int$,Gaussian,0.5,0.1,0.555375212772244,0.00411953015643949,0.450365651849077,0.665324452518563
$\beta_2^*_int$,Gaussian,0.3,0.1,0.426283852921441,0.00722305867781258,0.284704030584459,0.563195258371507
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0382487770968587,0.000554446258568955,0.00492452388524166,0.0802464540437662
$\theta_f^h_int$,Gaussian,1,0.1,1.09266851899108,0.102408000363531,0.578593507967426,1.62121512478357
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.404431028950379,0.0034088606061713,0.306824373342009,0.499275592186274
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.616285504878131,0.00342661495143396,0.529537912555585,0.722298563601633
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.00824649514139457,2.134916321032e-05,0.00323810181915065,0.0180086241135346
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0800942259701553,0.00161573067661106,0.0338166926571424,0.16371610120821
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00613468420558287,5.68963714112287e-06,0.00314146611477234,0.0108179851002377
