Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.45,0.001,1.40513038926397,0.00102109262069407,1.35298819490897,1.45842331879853
$\alpha_2$,Gaussian,-0.6,0.1,-0.645229029374893,0.0173030422107732,-0.862388324583184,-0.436125459862253
$\alpha_r$,Gaussian,-0.6,0.001,-0.491099996352014,0.00106507464755445,-0.544945811868753,-0.436805252799368
$\beta_1$,Gaussian,0.5,0.5,0.492557373253372,0.00669539941743917,0.357728460959092,0.626674061637349
$\beta_2$,Gaussian,0.2,0.5,0.451213355591441,0.0103057989534846,0.284966045247989,0.620110517950529
$\beta_y$,Gaussian,0.4,0.001,0.374295394145945,0.0010789482484159,0.319264380755762,0.427036254843786
$\theta_1^h$,Gaussian,1,0.2,0.98506531306488,0.190855744673967,0.284232987063843,1.72864289080209
$\sigma_{\hat{y}}$,Inv. Gamma,6,1,8.27552211317034,1.0333251955037,6.76926179427325,10.0905987217552
$\sigma_{\pi}$,Inv. Gamma,12,1,12.9352938679016,1.02066048607041,11.3760916738844,14.6927257180721
$\sigma_{zz}$,Inv. Gamma,0.05,0.06,0.192188915490186,0.0174715566863001,0.0252810893540012,0.44461403519833
$\sigma_{{y^*}}$,Inv. Gamma,0.1,1,0.0984866396618236,0.00861799813662023,0.0332574229812681,0.327206907983044
$\sigma_{g}$,Inv. Gamma,0.2,1,0.128349171820983,0.00488940353838552,0.0626748387005776,0.246018054535402
$\alpha_1_int$,Gaussian,1.5,0.001,1.4556620341709,0.00097849579635245,1.40433198420873,1.50732844493813
$\alpha_2_int$,Gaussian,-0.6,0.1,-0.567627854337099,0.00989197030253245,-0.761805818783004,-0.444418420923975
$\alpha_r_int$,Gaussian,-0.65,0.001,-0.54474635465533,0.00101657809439295,-0.598545948488406,-0.495097553962302
$\alpha_4_int$,Gaussian,0.2,0.05,-0.062281142416746,0.133675107401372,-0.570024158364526,0.473936387835881
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,-0.0867587252862127,0.0161772896686087,-0.292116833872385,0.119769526542423
$\beta_1_int$,Gaussian,0.5,0.5,0.4777002892542,0.00682985356911876,0.339136742414186,0.613456181213158
$\beta_2_int$,Gaussian,0.2,0.5,0.438394647486871,0.0117212892903958,0.264338702678775,0.620088599741896
$\beta_y_int$,Gaussian,0.4,0.001,0.375449969639428,0.000972832146373918,0.324520423988692,0.426548117624965
$\theta_1^h_int$,Gaussian,1,0.2,1.07421328769625,0.197672997617008,0.326012561290229,1.80224299085628
$\theta_2^h_int$,Gaussian,0,0.1,0.222831835954978,0.0296000445435691,0.0177381065874951,0.547827570071855
$\sigma_{\hat{y}}_int$,Inv. Gamma,6,1,8.74751600254656,1.25754619387705,6.99918526746381,10.7049513078422
$\sigma_{\pi}_int$,Inv. Gamma,12,1,12.8650352054654,0.906582116525834,11.3963959468003,14.5030243862951
$\sigma_{zz}_int$,Inv. Gamma,0.05,0.06,0.131829500112744,0.00796013268235107,0.0198687902731741,0.273166253524562
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.1,1,0.0737416109320311,0.00168087563232446,0.031677552938176,0.163685778499846
$\sigma_{g}_int$,Inv. Gamma,0.2,1,0.119378530866157,0.00337639898468994,0.0601227260402961,0.230086776030355
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.25844474045025,0.00316418768492621,1.16636006347274,1.35115373322602
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.289191530296675,0.00284878223052499,-0.376494886633277,-0.200779808795845
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.133857403203208,0.00058381230218241,-0.174157701330829,-0.09460624190986
$\beta_1^*_int$,Gaussian,0.5,0.1,0.563862502153877,0.00467091422446624,0.451167465365384,0.675991511503191
$\beta_2^*_int$,Gaussian,0.3,0.1,0.428431977211576,0.00726444976979306,0.289873192187686,0.56776628447749
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0339617372770731,0.00105409628139503,-0.00119714564873464,0.0963841996510514
$\theta_f^h_int$,Gaussian,1,0.1,1.03450713068512,0.103937787471492,0.484588440522512,1.54868779394348
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.428268039780127,0.00292898626440453,0.339877374407741,0.519079897630671
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.620407088777434,0.00299919184749748,0.532178484347753,0.710980447691073
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0109680179835563,5.05475142928341e-05,0.00359525430304375,0.0255923823317763
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0692234791958964,0.000763747772532539,0.0338766006208941,0.123740690125802
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00695126866719973,9.00237313313329e-06,0.00333748274961138,0.0128491283838681
