Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.5,0.002,1.38441926831475,0.00193831728836948,1.31113017898057,1.45706345395005
$\alpha_2$,Gaussian,-0.6,0.01,-0.531253935749345,0.00825938445184878,-0.693321843971628,-0.400357475100952
$\alpha_r$,Gaussian,-0.6,0.003,-0.197804586212129,0.00209431705147061,-0.282421728026677,-0.132351572505752
$\beta_1$,Gaussian,0.6,0.1,0.580239950574568,0.00504970272069876,0.462447295961936,0.697025329642296
$\beta_2$,Gaussian,0.2,0.01,0.272661138647735,0.00556764213359962,0.148448790978216,0.39471839694104
$\beta_y$,Gaussian,0.4,0.003,0.308896589699053,0.0037654955004176,0.205471450026937,0.407426715046103
$\theta_1^h$,Gaussian,1,0.2,0.828184960366497,0.167132584490987,0.182083101812977,1.53285164095297
$\sigma_{\hat{y}}$,Inv. Gamma,6,1,9.65345324960022,1.91165732484017,7.63467369403666,12.1180534621402
$\sigma_{\pi}$,Inv. Gamma,15,1,16.7487131481087,1.06961519021537,15.1309731111877,18.5481091033541
$\sigma_{zz}$,Inv. Gamma,0.09,0.08,0.106957349102164,0.0166682604492979,0.0310474273466277,0.398382468368714
$\sigma_{{y^*}}$,Inv. Gamma,0.09,0.1,0.169999664167008,0.0336697836262564,0.0335397571974129,0.636555664578324
$\sigma_{g}$,Inv. Gamma,0.09,0.1,0.0869373043159167,0.0074685932494032,0.0301759102547665,0.322559292441672
$\alpha_1_int$,Gaussian,1.5,0.001,1.44365760514455,0.000996758365117197,1.39273306386576,1.4956246777803
$\alpha_2_int$,Gaussian,-0.6,0.01,-0.581299505776539,0.00977175886835834,-0.767979076163439,-0.455924949039408
$\alpha_r_int$,Gaussian,-0.65,0.002,-0.357665466202725,0.00247707746456088,-0.434215557477251,-0.276528185694599
$\alpha_4_int$,Gaussian,0.2,0.01,0.273022425185136,0.0106029279285177,0.0911684962258001,0.438612698429587
$\alpha_5_int$,Gaussian,-0.0666666666666667,0.01,0.0985983798583599,0.0107068282174701,-0.0677442767252679,0.271412011873398
$\beta_1_int$,Gaussian,0.6,0.1,0.580141785201193,0.00485227658282554,0.46860066688377,0.695745942642302
$\beta_2_int$,Gaussian,0.2,0.01,0.26528395844281,0.00586035942872897,0.138433202262607,0.390267854297215
$\beta_y_int$,Gaussian,0.4,0.002,0.338695059664878,0.00205165546510365,0.263022358464059,0.411659276992874
$\theta_1^h_int$,Gaussian,1,0.1,0.885614731348063,0.0965679305681963,0.333673616694919,1.39697167518392
$\theta_2^h_int$,Gaussian,0,0.1,0.245996870318439,0.0353601483402679,0.0200490270926819,0.618677599581831
$\sigma_{\hat{y}}_int$,Inv. Gamma,6,1,12.3881617823771,2.97036498841371,9.8761045804472,15.4508921925518
$\sigma_{\pi}_int$,Inv. Gamma,15,1,16.995190852062,1.20743817932278,15.1674118600732,18.7610041608935
$\sigma_{zz}_int$,Inv. Gamma,0.1,1,0.0919658792209996,0.00298790365204287,0.0339473182917736,0.204660268941176
$\sigma_{{\bar{y}}}_int$,Inv. Gamma,0.1,1,0.1137684093897,0.00607182154415076,0.0366588579958547,0.258843351349883
$\sigma_{g}_int$,Inv. Gamma,0.1,1,0.0634436678698008,0.000746004150029283,0.0309392020324989,0.117685831147704
$\alpha_1^*_int$,Gaussian,1.4,0.01,1.26147496167544,0.00346936763278371,1.15200336825463,1.35466322084683
$\alpha_2^*_int$,Gaussian,-0.5,0.01,-0.297014190245095,0.00319711442959562,-0.389271328924641,-0.204619769088718
$\alpha_r^*_int$,Gaussian,-0.17,0.001,-0.138055261345341,0.000515243644381026,-0.176675980724192,-0.1003058373521
$\beta_1^*_int$,Gaussian,0.5,0.1,0.561374921930804,0.00364438925109023,0.459231270410843,0.661189546684294
$\beta_2^*_int$,Gaussian,0.3,0.1,0.417657829739619,0.00740247784198234,0.275135273322574,0.554907407112756
$\beta_y^*_int$,Gaussian,0.13,0.001,0.0239956031284668,0.000415681004912224,0.0015863216458683,0.0705601183008233
$\theta_f^h_int$,Gaussian,1,0.1,0.970777949226386,0.111945471635892,0.444452278431693,1.56192732150694
$\sigma_{\hat{y}}^*_int$,Inv. Gamma,0.4,0.1,0.406642334622686,0.00447024883500022,0.282553090873242,0.505913899784876
$\sigma_{\pi}^*_int$,Inv. Gamma,0.6,0.1,0.611274672712415,0.00282276441828306,0.532945894333986,0.697469211300769
$\sigma_{zz}^*_int$,Inv. Gamma,0.01,0.08,0.0144353688253671,0.000195502265060649,0.0033715360175995,0.0482987575075843
$\sigma_{{\bar{y}}^*}_int$,Inv. Gamma,0.1,0.1,0.0867424832673643,0.00219711056274581,0.035316607776087,0.195078079378098
$\sigma_{g}^*_int$,Inv. Gamma,0.01,0.08,0.00770615268912769,1.56253321292876e-05,0.00352206533415835,0.0156171280939403
