Parameter,Distribution,Mean,Std_Dev_,Mean_1,Std_Dev__1,Lower,Upper
$\alpha_1$,Gaussian,1.4,0.01,1.2860579778354,0.00352710564757654,1.19112917025417,1.38629154107964
$\alpha_2$,Gaussian,-0.5,0.01,-0.342256269256417,0.00358639134428678,-0.441096884037493,-0.24450441333755
$\alpha_r$,Gaussian,-0.14,0.001,-0.108667915850792,0.000478904992195401,-0.145661079403334,-0.0738099002858109
$\beta_1$,Gaussian,0.5,0.1,0.538256170222643,0.00371151867507018,0.438180090153319,0.63929112436158
$\beta_2$,Gaussian,0.3,0.1,0.429926911793946,0.00803852504501733,0.284128271431138,0.583595257793185
$\beta_y$,Gaussian,0.12,0.001,0.0591576165427085,0.00060612735416383,0.0185967071286807,0.0998960687248737
$\theta_1^h$,Gaussian,1,0.1,1.06764909686665,0.104728322811088,0.526202066571624,1.58670677310915
$\sigma_{\hat{y}}$,Inv. Gamma,0.4,0.1,0.362113438921462,0.00524437489207384,0.239807600552308,0.476475099312254
$\sigma_{\pi}$,Inv. Gamma,0.6,0.1,0.605372546630436,0.00297984265317246,0.521319801692318,0.699201804549513
$\sigma_{zz}$,Inv. Gamma,0.01,0.08,0.0100630949420506,6.88999253490879e-05,0.00333569064624646,0.0290070779052878
$\sigma_{{y^*}}$,Inv. Gamma,0.1,0.1,0.114730038718549,0.00309432702023293,0.0410766436792592,0.217252272742364
$\sigma_{g}$,Inv. Gamma,0.01,0.08,0.00528259935859093,4.24594847291832e-06,0.002855262940496,0.00929915632131633
$\alpha_1_int$,Gaussian,1.4,0.01,1.2860579778354,0.00352710564757654,1.19112917025417,1.38629154107964
$\alpha_2_int$,Gaussian,-0.5,0.01,-0.342256269256417,0.00358639134428678,-0.441096884037493,-0.24450441333755
$\alpha_r_int$,Gaussian,-0.14,0.001,-0.108667915850792,0.000478904992195401,-0.145661079403334,-0.0738099002858109
$\beta_1_int$,Gaussian,0.5,0.1,0.538256170222643,0.00371151867507018,0.438180090153319,0.63929112436158
$\beta_2_int$,Gaussian,0.3,0.1,0.429926911793946,0.00803852504501733,0.284128271431138,0.583595257793185
$\beta_y_int$,Gaussian,0.12,0.001,0.0591576165427085,0.00060612735416383,0.0185967071286807,0.0998960687248737
$\theta_1^h_int$,Gaussian,1,0.1,1.06764909686665,0.104728322811088,0.526202066571624,1.58670677310915
$\sigma_{\hat{y}}_int$,Inv. Gamma,0.4,0.1,0.362113438921462,0.00524437489207384,0.239807600552308,0.476475099312254
$\sigma_{\pi}_int$,Inv. Gamma,0.6,0.1,0.605372546630436,0.00297984265317246,0.521319801692318,0.699201804549513
$\sigma_{zz}_int$,Inv. Gamma,0.01,0.08,0.0100630949420506,6.88999253490879e-05,0.00333569064624646,0.0290070779052878
$\sigma_{{y^*}}_int$,Inv. Gamma,0.1,0.1,0.114730038718549,0.00309432702023293,0.0410766436792592,0.217252272742364
$\sigma_{g}_int$,Inv. Gamma,0.01,0.08,0.00528259935859093,4.24594847291832e-06,0.002855262940496,0.00929915632131633
